date,Eve Ensler,David Deutsch,Richard Dawkins,Steven Levitt,Iraola,isPartial
2004-01-01,8,3,16,4,2,False
2004-02-01,9,4,10,4,4,False
2004-03-01,10,6,20,4,2,False
2004-04-01,5,5,24,2,4,False
2004-05-01,4,6,17,2,1,False
2004-06-01,8,3,6,2,4,False
2004-07-01,7,4,17,6,2,False
2004-08-01,3,5,11,1,3,False
2004-09-01,6,1,21,2,6,False
2004-10-01,6,4,17,4,4,False
2004-11-01,10,7,20,3,4,False
2004-12-01,8,5,25,3,4,False
2005-01-01,5,4,18,1,3,False
2005-02-01,10,5,17,1,1,False
2005-03-01,5,5,18,2,1,False
2005-04-01,5,5,20,8,2,False
2005-05-01,6,5,16,12,4,False
2005-06-01,5,4,17,6,3,False
2005-07-01,1,3,16,10,2,False
2005-08-01,5,2,13,8,1,False
2005-09-01,3,3,22,6,5,False
2005-10-01,5,4,19,4,4,False
2005-11-01,7,5,14,7,3,False
2005-12-01,5,3,18,5,3,False
2006-01-01,7,6,53,7,2,False
2006-02-01,10,3,22,5,3,False
2006-03-01,5,3,19,6,3,False
2006-04-01,5,3,24,6,3,False
2006-05-01,3,3,16,5,4,False
2006-06-01,4,4,15,4,3,False
2006-07-01,1,1,18,4,3,False
2006-08-01,2,2,19,2,2,False
2006-09-01,3,2,35,4,2,False
2006-10-01,4,3,65,2,2,False
2006-11-01,4,4,100,4,4,False
2006-12-01,3,4,65,5,3,False
2007-01-01,3,4,69,2,3,False
2007-02-01,6,6,60,3,4,False
2007-03-01,3,2,50,3,3,False
2007-04-01,2,3,66,3,3,False
2007-05-01,3,3,70,4,2,False
2007-06-01,1,2,60,3,3,False
2007-07-01,1,5,58,2,3,False
2007-08-01,1,5,79,4,3,False
2007-09-01,3,4,64,3,3,False
2007-10-01,3,4,72,4,3,False
2007-11-01,3,5,54,3,2,False
2007-12-01,2,4,64,3,2,False
2008-01-01,2,5,52,3,3,False
2008-02-01,5,3,49,3,3,False
2008-03-01,4,3,65,3,3,False
