date,Samantha Power,Charles Elachi,Ursus Wehrli,Isaac Mizrahi,Iraola,isPartial
2004-01-01,11,6,0,17,4,False
2004-02-01,9,0,2,21,9,False
2004-03-01,6,0,3,31,3,False
2004-04-01,12,2,0,11,3,False
2004-05-01,12,0,0,9,3,False
2004-06-01,4,0,0,14,3,False
2004-07-01,6,0,0,14,3,False
2004-08-01,12,2,0,15,3,False
2004-09-01,8,2,0,10,4,False
2004-10-01,10,2,2,13,4,False
2004-11-01,5,2,0,8,5,False
2004-12-01,4,0,3,11,3,False
2005-01-01,3,3,2,13,5,False
2005-02-01,6,2,2,15,4,False
2005-03-01,6,0,1,12,3,False
2005-04-01,7,1,1,14,4,False
2005-05-01,4,0,1,11,4,False
2005-06-01,3,1,1,8,5,False
2005-07-01,5,1,0,10,4,False
2005-08-01,5,0,2,11,3,False
2005-09-01,5,1,0,11,5,False
2005-10-01,4,0,2,10,4,False
2005-11-01,5,0,1,11,4,False
2005-12-01,2,0,0,25,3,False
2006-01-01,4,1,0,69,3,False
2006-02-01,5,1,1,29,3,False
2006-03-01,5,2,1,41,6,False
2006-04-01,3,1,0,18,4,False
2006-05-01,3,2,1,13,4,False
2006-06-01,2,1,1,16,4,False
2006-07-01,3,0,0,12,5,False
2006-08-01,3,0,1,12,3,False
2006-09-01,3,0,1,13,3,False
2006-10-01,2,1,1,14,4,False
2006-11-01,3,1,1,12,4,False
2006-12-01,4,1,1,12,3,False
2007-01-01,3,0,0,10,4,False
2007-02-01,2,1,1,14,4,False
2007-03-01,3,0,1,11,6,False
2007-04-01,3,0,1,12,4,False
2007-05-01,4,0,0,13,4,False
2007-06-01,2,1,0,11,4,False
2007-07-01,3,0,1,12,3,False
2007-08-01,4,0,0,9,3,False
2007-09-01,3,0,0,11,5,False
2007-10-01,6,0,0,10,4,False
2007-11-01,4,0,0,11,3,False
2007-12-01,5,1,0,11,4,False
2008-01-01,10,0,1,13,3,False
2008-02-01,15,0,0,13,5,False
2008-03-01,100,0,0,9,4,False
2008-04-01,9,0,0,10,4,False
2008-05-01,6,0,1,9,4,False
2008-06-01,7,0,0,9,4,False
2008-07-01,8,0,0,10,2,False
2008-08-01,7,0,1,8,5,False
2008-09-01,6,0,0,11,6,False
2008-10-01,7,0,1,11,5,False
2008-11-01,18,0,1,7,5,False
2008-12-01,8,0,0,8,4,False
2009-01-01,12,1,1,8,5,False
2009-02-01,8,0,1,9,5,False
2009-03-01,4,0,1,7,4,False
2009-04-01,5,0,0,14,5,False
2009-05-01,3,0,0,14,6,False
2009-06-01,3,0,0,10,4,False
2009-07-01,2,1,0,13,4,False
2009-08-01,2,0,0,8,5,False
2009-09-01,3,0,0,9,6,False
2009-10-01,2,0,0,9,4,False
2009-11-01,2,0,0,6,6,False
2009-12-01,2,0,0,7,4,False
2010-01-01,2,0,0,9,5,False
2010-02-01,1,0,0,8,3,False
2010-03-01,3,0,1,7,4,False
2010-04-01,3,0,0,8,4,False
2010-05-01,3,0,0,6,4,False
2010-06-01,3,0,0,7,5,False
2010-07-01,2,0,0,5,3,False
2010-08-01,3,0,0,6,4,False
2010-09-01,2,0,0,9,5,False
2010-10-01,2,0,1,8,5,False
2010-11-01,2,0,0,8,7,False
2010-12-01,2,0,0,7,5,False
2011-01-01,2,0,0,6,4,False
2011-02-01,3,0,0,8,6,False
2011-03-01,15,0,0,6,7,False
2011-04-01,9,0,0,5,5,False
2011-05-01,7,1,0,5,5,False
2011-06-01,6,0,0,5,5,False
2011-07-01,4,0,1,5,4,False
2011-08-01,2,0,4,4,7,False
2011-09-01,2,0,8,5,5,False
2011-10-01,2,0,4,5,5,False
2011-11-01,2,0,3,4,4,False
2011-12-01,2,0,4,5,4,False
2012-01-01,2,0,3,12,4,False
2012-02-01,1,0,2,7,5,False
2012-03-01,2,0,1,8,9,False
