date,Larry Burns,Nick Sears,David Holt,Eva Zeisel,Iraola,isPartial
2004-01-01,0,0,45,25,23,False
2004-02-01,30,0,60,25,60,False
2004-03-01,28,19,43,18,18,False
2004-04-01,19,22,48,24,19,False
2004-05-01,13,0,46,12,17,False
2004-06-01,25,12,33,12,19,False
2004-07-01,26,0,30,20,17,False
2004-08-01,30,12,48,24,20,False
2004-09-01,18,0,44,15,28,False
2004-10-01,11,0,40,17,26,False
2004-11-01,11,11,42,28,34,False
2004-12-01,16,21,32,21,21,False
2005-01-01,25,9,28,18,31,False
2005-02-01,10,10,29,20,24,False
2005-03-01,20,0,27,19,19,False
2005-04-01,12,9,15,24,24,False
2005-05-01,20,8,21,32,27,False
2005-06-01,19,24,29,45,29,False
2005-07-01,12,8,46,27,25,False
2005-08-01,16,12,24,16,21,False
2005-09-01,18,7,26,19,29,False
2005-10-01,11,0,34,27,27,False
2005-11-01,18,24,29,18,27,False
2005-12-01,11,7,23,13,22,False
2006-01-01,15,9,27,23,17,False
2006-02-01,14,8,20,15,22,False
2006-03-01,22,8,39,14,38,False
2006-04-01,0,17,44,8,24,False
2006-05-01,13,0,27,7,24,False
2006-06-01,11,5,30,46,27,False
2006-07-01,16,5,28,18,32,False
2006-08-01,10,7,28,23,20,False
2006-09-01,19,7,31,13,17,False
2006-10-01,11,6,28,17,27,False
2006-11-01,8,17,25,17,25,False
2006-12-01,13,4,32,19,22,False
2007-01-01,17,4,35,11,27,False
2007-02-01,17,4,30,16,24,False
2007-03-01,3,7,24,9,39,False
2007-04-01,7,4,28,11,25,False
2007-05-01,8,3,20,8,25,False
2007-06-01,14,6,35,11,27,False
2007-07-01,8,8,32,13,22,False
2007-08-01,12,6,29,11,17,False
2007-09-01,8,4,17,10,32,False
2007-10-01,10,3,24,11,24,False
2007-11-01,9,7,21,13,21,False
2007-12-01,9,5,21,10,28,False
2008-01-01,13,2,21,9,18,False
2008-02-01,14,9,24,12,29,False
2008-03-01,10,7,31,10,25,False
2008-04-01,13,5,27,8,27,False
2008-05-01,11,7,21,3,27,False
2008-06-01,8,4,27,4,24,False
2008-07-01,10,7,27,10,15,False
2008-08-01,6,6,28,8,32,False
2008-09-01,9,3,20,5,35,False
2008-10-01,10,3,28,6,30,False
2008-11-01,5,5,14,5,31,False
2008-12-01,10,8,30,12,25,False
2009-01-01,12,2,25,10,30,False
2009-02-01,8,4,23,8,35,False
2009-03-01,11,6,26,11,24,False
2009-04-01,9,4,28,7,32,False
2009-05-01,12,4,18,3,39,False
2009-06-01,10,2,26,5,27,False
2009-07-01,9,3,16,5,26,False
2009-08-01,10,7,28,5,32,False
2009-09-01,8,6,24,6,38,False
2009-10-01,8,4,20,9,28,False
2009-11-01,6,6,18,8,36,False
2009-12-01,9,6,23,4,27,False
2010-01-01,5,5,19,12,35,False
2010-02-01,10,3,24,7,18,False
2010-03-01,7,5,25,17,26,False
2010-04-01,10,5,22,7,27,False
2010-05-01,11,3,23,8,24,False
2010-06-01,9,4,21,6,29,False
2010-07-01,6,4,24,4,20,False
2010-08-01,9,6,23,4,27,False
2010-09-01,7,8,19,3,32,False
2010-10-01,4,7,40,5,34,False
2010-11-01,8,6,21,8,42,False
2010-12-01,8,9,17,5,34,False
2011-01-01,11,12,24,7,28,False
2011-02-01,7,11,23,5,38,False
2011-03-01,7,6,23,5,46,False
2011-04-01,6,5,17,7,34,False
2011-05-01,5,7,17,3,31,False
2011-06-01,6,6,21,3,33,False
2011-07-01,8,7,21,6,28,False
2011-08-01,9,13,18,5,42,False
2011-09-01,7,8,19,6,34,False
2011-10-01,7,5,15,4,32,False
2011-11-01,7,8,16,4,28,False
2011-12-01,6,12,17,14,27,False
2012-01-01,6,10,18,40,25,False
2012-02-01,6,9,19,7,30,False
2012-03-01,8,5,14,6,54,False
2012-04-01,6,4,17,5,34,False
2012-05-01,5,2,21,4,41,False
2012-06-01,10,4,14,7,32,False
2012-07-01,7,3,20,3,23,False
2012-08-01,8,5,15,3,24,False
2012-09-01,4,4,15,4,26,False
2012-10-01,5,5,18,4,25,False
2012-11-01,8,6,19,4,27,False
2012-12-01,10,4,19,6,23,False
2013-01-01,7,4,17,4,24,False
2013-02-01,5,2,20,5,25,False
2013-03-01,7,2,16,3,23,False
2013-04-01,6,4,16,3,25,False
2013-05-01,7,2,15,5,21,False
2013-06-01,8,3,20,3,23,False
2013-07-01,4,4,24,2,23,False
2013-08-01,7,5,19,3,24,False
2013-09-01,6,3,16,2,30,False
2013-10-01,10,4,17,2,26,False
2013-11-01,6,4,16,4,24,False
2013-12-01,10,4,16,3,25,False
2014-01-01,7,3,16,5,22,False
2014-02-01,7,3,17,4,25,False
2014-03-01,9,2,15,2,28,False
2014-04-01,8,2,21,4,22,False
2014-05-01,9,2,15,2,25,False
2014-06-01,10,3,20,2,21,False
2014-07-01,7,3,19,3,26,False
2014-08-01,7,4,15,3,34,False
2014-09-01,10,2,16,3,35,False
2014-10-01,9,2,13,2,27,False
2014-11-01,12,5,13,4,26,False
2014-12-01,7,3,14,4,22,False
2015-01-01,8,4,16,3,21,False
2015-02-01,6,4,19,3,26,False
2015-03-01,9,5,18,4,37,False
2015-04-01,8,3,19,3,38,False
2015-05-01,7,2,18,2,100,False
2015-06-01,9,4,19,1,44,False
2015-07-01,7,3,18,1,50,False
2015-08-01,5,3,14,3,34,False
2015-09-01,7,3,15,1,30,False
2015-10-01,6,2,13,3,24,False
2015-11-01,6,3,15,2,23,False
2015-12-01,5,3,16,3,20,False
2016-01-01,7,4,30,3,24,False
2016-02-01,6,3,15,2,23,False
2016-03-01,7,3,16,2,26,False
2016-04-01,7,1,18,2,18,False
2016-05-01,5,2,14,2,32,False
2016-06-01,5,3,14,2,26,False
2016-07-01,6,2,11,1,28,False
2016-08-01,6,1,15,2,18,False
2016-09-01,5,2,19,2,25,False
2016-10-01,8,2,15,2,24,False
2016-11-01,8,3,17,3,33,False
2016-12-01,6,2,14,1,19,False
2017-01-01,6,3,19,1,18,False
2017-02-01,4,4,16,2,21,False
2017-03-01,7,2,14,2,18,False
2017-04-01,5,2,14,2,19,False
2017-05-01,7,2,13,2,24,False
2017-06-01,7,1,14,1,19,False
2017-07-01,7,2,16,2,20,False
2017-08-01,6,1,12,2,18,False
2017-09-01,7,2,12,3,18,False
2017-10-01,6,3,14,3,16,False
2017-11-01,5,2,14,4,14,False
2017-12-01,5,2,11,3,14,False
2018-01-01,7,1,19,2,19,False
2018-02-01,8,1,26,2,17,False
2018-03-01,7,2,13,3,14,False
2018-04-01,5,1,14,2,16,False
2018-05-01,6,3,12,1,17,False
2018-06-01,6,1,11,2,17,False
2018-07-01,3,1,13,3,16,False
2018-08-01,6,2,15,2,17,False
2018-09-01,5,1,12,2,18,False
2018-10-01,5,2,15,2,20,False
2018-11-01,6,1,11,2,17,False
2018-12-01,6,1,13,2,16,False
2019-01-01,6,2,13,2,16,False
2019-02-01,5,1,13,3,19,False
2019-03-01,6,1,12,2,15,False
2019-04-01,6,2,8,2,19,False
2019-05-01,5,1,11,1,16,False
2019-06-01,5,1,13,1,17,False
2019-07-01,12,1,13,2,24,False
2019-08-01,6,1,12,1,20,False
2019-09-01,6,1,13,3,17,False
2019-10-01,4,1,11,2,16,False
2019-11-01,5,2,9,2,16,False
2019-12-01,7,1,11,2,19,False
2020-01-01,6,1,12,2,28,False
2020-02-01,5,1,16,2,54,False
2020-03-01,5,1,12,2,21,False
2020-04-01,5,1,18,3,17,False
2020-05-01,5,1,15,2,14,False
2020-06-01,4,1,15,2,16,False
2020-07-01,4,1,13,1,34,False
2020-08-01,5,1,12,2,27,False
2020-09-01,6,1,12,2,19,False
2020-10-01,5,1,14,1,21,False
