date,Tim Berners-Lee,Dan Ariely,Adam Savage,Bruce McCall,Iraola,isPartial
2004-01-01,62,4,9,4,7,False
2004-02-01,39,4,7,0,17,False
2004-03-01,41,5,13,11,5,False
2004-04-01,65,4,10,8,6,False
2004-05-01,32,4,7,0,5,False
2004-06-01,46,0,7,5,5,False
2004-07-01,31,0,7,0,5,False
2004-08-01,31,6,3,3,6,False
2004-09-01,45,3,6,7,8,False
2004-10-01,29,0,9,3,8,False
2004-11-01,30,0,5,6,10,False
2004-12-01,32,0,11,3,6,False
2005-01-01,44,3,8,4,9,False
2005-02-01,38,0,23,0,7,False
2005-03-01,33,2,17,2,5,False
2005-04-01,20,5,4,0,7,False
2005-05-01,25,0,9,0,8,False
2005-06-01,19,0,7,0,8,False
2005-07-01,15,2,15,2,7,False
2005-08-01,28,2,18,2,6,False
2005-09-01,48,2,20,3,8,False
2005-10-01,24,2,8,2,8,False
2005-11-01,32,2,15,3,8,False
2005-12-01,30,2,10,2,6,False
2006-01-01,29,2,18,2,5,False
2006-02-01,30,3,19,0,6,False
2006-03-01,23,0,15,1,11,False
2006-04-01,19,2,11,2,7,False
2006-05-01,32,0,9,1,7,False
2006-06-01,18,2,10,2,8,False
2006-07-01,8,2,9,3,9,False
2006-08-01,19,1,12,3,6,False
2006-09-01,24,1,11,1,5,False
2006-10-01,23,2,11,0,8,False
2006-11-01,24,2,10,0,7,False
2006-12-01,16,3,7,1,6,False
2007-01-01,23,2,15,2,8,False
2007-02-01,17,1,11,0,7,False
2007-03-01,23,1,12,1,11,False
2007-04-01,20,3,13,2,7,False
2007-05-01,14,1,14,2,7,False
2007-06-01,18,1,14,1,8,False
2007-07-01,8,3,14,1,6,False
2007-08-01,12,0,13,1,5,False
2007-09-01,21,1,11,2,9,False
2007-10-01,22,1,7,2,7,False
2007-11-01,19,2,14,1,6,False
2007-12-01,13,1,10,1,8,False
2008-01-01,16,2,15,1,5,False
2008-02-01,22,4,15,1,8,False
2008-03-01,23,8,10,1,7,False
2008-04-01,20,9,9,1,8,False
2008-05-01,20,7,60,0,8,False
2008-06-01,14,7,24,1,7,False
2008-07-01,14,6,13,1,4,False
2008-08-01,13,5,22,1,9,False
2008-09-01,32,7,19,1,10,False
2008-10-01,16,9,11,1,9,False
2008-11-01,14,5,14,3,9,False
2008-12-01,15,6,16,1,7,False
2009-01-01,16,8,15,1,9,False
2009-02-01,18,6,14,1,10,False
2009-03-01,34,12,18,1,7,False
2009-04-01,16,6,15,2,9,False
2009-05-01,19,16,13,1,11,False
2009-06-01,14,11,21,2,8,False
2009-07-01,11,8,21,1,8,False
2009-08-01,13,6,19,2,9,False
2009-09-01,20,10,17,2,11,False
2009-10-01,30,9,15,1,8,False
2009-11-01,19,8,19,1,10,False
2009-12-01,14,8,21,1,8,False
2010-01-01,22,7,28,0,10,False
2010-02-01,20,7,19,1,5,False
2010-03-01,21,9,16,1,7,False
2010-04-01,12,7,20,1,8,False
2010-05-01,15,7,24,1,7,False
2010-06-01,13,14,22,0,8,False
2010-07-01,9,13,20,0,6,False
2010-08-01,12,9,22,1,8,False
2010-09-01,24,10,16,1,9,False
2010-10-01,18,12,18,1,10,False
2010-11-01,23,12,28,1,12,False
2010-12-01,10,8,22,0,10,False
2011-01-01,17,12,19,1,8,False
2011-02-01,16,10,13,1,11,False
2011-03-01,18,8,12,1,13,False
2011-04-01,16,10,16,1,10,False
2011-05-01,11,9,20,1,9,False
2011-06-01,11,8,22,1,9,False
2011-07-01,10,11,20,0,8,False
2011-08-01,21,11,13,1,12,False
2011-09-01,48,9,17,1,10,False
2011-10-01,24,9,27,1,9,False
2011-11-01,18,10,20,1,8,False
2011-12-01,11,10,22,0,8,False
2012-01-01,18,8,20,1,7,False
2012-02-01,16,8,17,1,9,False
2012-03-01,12,8,24,1,16,False
2012-04-01,16,9,23,1,10,False
2012-05-01,12,10,25,0,12,False
2012-06-01,9,13,22,1,9,False
2012-07-01,100,13,27,0,7,False
2012-08-01,27,10,22,1,7,False
2012-09-01,26,12,25,1,7,False
2012-10-01,17,10,24,0,7,False
2012-11-01,13,12,15,0,8,False
2012-12-01,12,10,19,1,7,False
2013-01-01,25,11,15,1,7,False
2013-02-01,17,12,16,0,7,False
2013-03-01,20,13,17,1,7,False
2013-04-01,17,20,20,1,7,False
2013-05-01,16,13,20,0,6,False
2013-06-01,14,9,20,1,7,False
2013-07-01,12,11,27,1,7,False
2013-08-01,9,8,25,1,7,False
2013-09-01,14,11,17,1,9,False
2013-10-01,14,12,18,0,7,False
2013-11-01,16,13,23,3,7,False
2013-12-01,10,9,18,2,7,False
2014-01-01,12,10,21,1,6,False
2014-02-01,15,11,21,1,7,False
2014-03-01,52,14,21,0,8,False
2014-04-01,14,11,17,1,6,False
2014-05-01,13,10,19,1,7,False
2014-06-01,19,9,16,0,6,False
2014-07-01,11,9,35,0,7,False
2014-08-01,11,9,29,0,10,False
2014-09-01,17,8,19,1,10,False
2014-10-01,18,10,15,0,8,False
2014-11-01,13,10,19,1,7,False
2014-12-01,11,8,23,0,6,False
2015-01-01,15,9,22,0,6,False
2015-02-01,13,8,21,0,8,False
2015-03-01,15,7,18,1,11,False
2015-04-01,12,11,23,1,11,False
2015-05-01,11,9,18,1,29,False
2015-06-01,13,8,17,1,13,False
2015-07-01,9,7,32,0,14,False
2015-08-01,10,7,20,0,10,False
2015-09-01,16,10,26,1,9,False
2015-10-01,15,9,26,0,7,False
2015-11-01,13,9,26,0,7,False
2015-12-01,12,8,27,0,6,False
2016-01-01,13,8,26,1,7,False
2016-02-01,11,8,19,0,7,False
2016-03-01,10,8,42,0,7,False
2016-04-01,10,6,27,1,5,False
2016-05-01,8,7,20,1,9,False
2016-06-01,19,6,20,0,7,False
2016-07-01,7,6,24,0,8,False
2016-08-01,27,6,19,0,5,False
2016-09-01,9,9,17,1,7,False
