date,Nathaniel Kahn,Bruce Bueno de Mesquita,Bonnie Bassler,Emily Levine,Iraola,isPartial
2004-01-01,15,0,15,15,23,False
2004-02-01,30,15,15,0,60,False
2004-03-01,18,0,0,18,18,False
2004-04-01,14,0,14,14,19,False
2004-05-01,0,12,25,12,17,False
2004-06-01,0,0,12,12,19,False
2004-07-01,22,0,13,13,17,False
2004-08-01,12,12,12,12,20,False
2004-09-01,11,11,11,22,28,False
2004-10-01,11,0,11,11,26,False
2004-11-01,11,0,0,11,34,False
2004-12-01,0,0,0,0,21,False
2005-01-01,9,0,9,9,31,False
2005-02-01,10,10,0,0,24,False
2005-03-01,12,0,8,8,19,False
2005-04-01,18,9,9,27,24,False
2005-05-01,24,8,0,8,27,False
2005-06-01,0,0,8,8,29,False
2005-07-01,16,0,0,8,25,False
2005-08-01,8,16,8,0,21,False
2005-09-01,7,0,0,0,29,False
2005-10-01,7,14,10,0,27,False
2005-11-01,7,7,7,7,27,False
2005-12-01,0,7,7,13,22,False
2006-01-01,6,6,0,0,17,False
2006-02-01,6,6,0,0,22,False
2006-03-01,7,5,0,15,38,False
2006-04-01,5,6,0,16,24,False
2006-05-01,5,5,0,5,24,False
2006-06-01,0,5,8,11,27,False
2006-07-01,0,5,0,11,32,False
2006-08-01,5,0,5,5,20,False
2006-09-01,7,7,25,5,17,False
2006-10-01,4,8,4,4,27,False
2006-11-01,4,0,0,6,25,False
2006-12-01,4,0,0,0,22,False
2007-01-01,7,0,20,4,27,False
2007-02-01,12,4,8,0,24,False
2007-03-01,7,0,7,3,39,False
2007-04-01,4,4,0,4,25,False
2007-05-01,3,3,3,0,25,False
2007-06-01,3,0,0,24,27,False
2007-07-01,3,0,12,3,22,False
2007-08-01,6,6,6,6,17,False
2007-09-01,3,4,3,0,32,False
2007-10-01,3,10,8,3,24,False
2007-11-01,3,10,0,5,21,False
2007-12-01,4,3,3,11,28,False
2008-01-01,5,8,2,0,18,False
2008-02-01,2,6,5,4,29,False
2008-03-01,5,0,8,3,25,False
2008-04-01,2,5,2,5,27,False
2008-05-01,3,3,4,5,27,False
2008-06-01,2,0,2,3,24,False
2008-07-01,2,2,0,2,15,False
2008-08-01,2,2,9,4,32,False
2008-09-01,0,2,5,0,35,False
2008-10-01,4,4,4,4,30,False
2008-11-01,2,15,2,2,31,False
2008-12-01,5,48,4,10,25,False
2009-01-01,0,20,4,2,30,False
2009-02-01,2,7,3,3,35,False
2009-03-01,2,2,3,2,24,False
2009-04-01,2,39,22,12,32,False
2009-05-01,2,5,6,2,39,False
2009-06-01,0,13,4,3,27,False
2009-07-01,0,9,3,4,26,False
2009-08-01,2,10,3,3,32,False
2009-09-01,3,33,3,4,38,False
2009-10-01,3,23,3,1,28,False
2009-11-01,1,17,4,2,36,False
2009-12-01,1,5,3,1,27,False
2010-01-01,2,21,4,3,35,False
2010-02-01,1,6,8,3,18,False
2010-03-01,3,23,3,5,26,False
2010-04-01,3,11,4,4,27,False
2010-05-01,5,11,2,2,24,False
2010-06-01,1,4,3,3,29,False
2010-07-01,0,7,2,5,20,False
2010-08-01,2,8,2,4,27,False
2010-09-01,1,10,6,4,32,False
2010-10-01,1,7,3,3,34,False
2010-11-01,2,7,3,3,42,False
2010-12-01,1,4,4,3,34,False
2011-01-01,1,21,2,2,28,False
2011-02-01,2,13,3,1,38,False
2011-03-01,1,8,2,4,46,False
2011-04-01,1,5,4,3,34,False
2011-05-01,1,8,3,2,31,False
2011-06-01,0,8,2,3,33,False
2011-07-01,1,5,3,2,28,False
