Ashraf Ghani,Burt Rutan,Ben Saunders,Bono,Iraola,isPartial
0,0,0,6,0,False
0,0,0,6,0,False
0,0,0,6,0,False
0,0,0,6,0,False
0,0,0,7,0,False
0,2,0,6,0,False
0,0,0,6,0,False
0,0,0,6,0,False
0,0,0,6,0,False
0,1,0,8,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,9,0,False
0,0,0,9,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,10,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,9,0,False
0,0,0,8,0,False
0,0,0,9,0,False
0,0,0,9,0,False
0,0,0,11,0,False
0,0,0,9,0,False
0,0,0,8,0,False
0,0,0,9,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,9,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,8,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,6,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,8,0,False
0,0,0,7,0,False
0,0,0,6,0,False
0,0,0,7,0,False
0,0,0,9,0,False
0,0,0,10,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,14,0,False
0,0,0,11,0,False
0,0,0,13,0,False
0,0,0,9,0,False
0,0,0,9,0,False
0,0,0,10,0,False
0,0,0,7,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,17,0,False
0,0,0,12,0,False
0,0,0,13,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,1,8,0,False
0,0,1,7,0,False
0,0,1,8,0,False
0,0,2,8,0,False
0,0,3,7,0,False
0,0,1,7,0,False
0,0,1,10,0,False
0,0,1,9,0,False
0,0,0,12,0,False
0,0,0,9,0,False
0,0,0,8,0,False
0,0,0,9,0,False
0,0,0,16,0,False
0,0,0,12,0,False
0,0,0,10,0,False
0,0,0,8,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,6,0,False
0,0,0,9,0,False
0,0,0,10,0,False
0,0,0,18,0,False
0,0,0,10,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,9,0,False
0,0,0,8,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,13,0,False
0,0,0,20,0,False
0,0,0,11,0,False
0,0,0,8,0,False
0,0,0,10,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,25,0,False
0,0,0,11,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,10,0,False
0,0,0,10,0,False
0,0,0,9,0,False
0,0,0,11,0,False
0,0,0,9,0,False
0,0,0,8,0,False
0,0,0,16,0,False
0,0,0,18,0,False
0,0,0,8,0,False
0,0,0,9,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,9,0,False
0,0,0,9,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,10,0,False
0,0,0,8,0,False
0,0,0,12,0,False
0,0,0,14,0,False
0,0,0,8,0,False
0,0,0,9,0,False
0,0,0,7,0,False
0,0,0,7,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,7,0,False
0,0,0,9,0,False
0,0,0,10,0,False
0,0,0,8,0,False
0,0,0,9,0,False
0,0,0,12,0,False
0,0,0,7,0,False
0,0,0,8,0,False
0,0,0,7,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,14,0,False
0,0,0,12,0,False
0,0,0,12,0,False
0,0,0,12,0,False
0,0,0,16,0,False
0,0,0,10,0,False
0,0,0,9,0,False
0,0,0,9,0,False
0,0,0,10,0,False
0,0,0,10,0,False
0,0,0,12,0,False
0,0,0,10,0,False
0,0,0,11,0,False
0,0,0,11,0,False
0,0,0,10,0,False
0,0,0,12,0,False
0,0,0,10,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,10,0,False
0,0,0,11,0,False
0,0,0,10,0,False
0,0,0,11,0,False
0,0,0,21,0,False
0,0,0,13,0,False
0,0,0,13,0,False
0,0,0,49,0,False
0,0,0,100,0,False
0,0,0,96,0,False
0,0,0,43,0,False
0,0,0,35,0,False
0,0,0,68,0,False
0,0,0,34,0,False
0,0,0,43,0,True
