Qi Zhang,Katherine Fulton,Ray Zahab,Daniel Libeskind,Iraola,isPartial
10,0,0,100,11,False
7,7,7,41,22,False
18,18,0,36,13,False
7,7,0,68,14,False
18,0,0,52,14,False
18,0,0,32,12,False
10,0,0,69,13,False
15,6,0,52,23,False
16,0,0,56,13,False
9,6,0,73,11,False
15,0,0,68,6,False
15,0,0,34,8,False
7,0,0,48,10,False
14,5,0,55,14,False
7,0,0,53,11,False
13,0,4,52,13,False
12,4,0,61,9,False
8,0,0,46,13,False
9,4,4,31,12,False
10,4,4,47,8,False
7,3,0,57,14,False
10,3,3,44,13,False
12,0,0,57,10,False
5,0,3,24,13,False
9,0,6,46,8,False
10,0,0,39,10,False
10,0,5,27,17,False
5,3,0,40,10,False
9,2,2,46,16,False
8,3,0,29,16,False
5,0,3,24,16,False
7,0,0,26,10,False
8,0,0,30,11,False
10,2,0,27,10,False
7,0,2,30,12,False
4,2,2,28,12,False
10,0,2,28,10,False
9,2,4,26,12,False
7,3,6,25,13,False
4,3,4,27,12,False
7,2,2,25,15,False
7,2,2,23,12,False
5,2,2,18,13,False
10,1,1,18,12,False
10,0,4,26,15,False
6,1,3,33,10,False
7,0,2,24,12,False
7,0,2,18,12,False
7,1,2,19,11,False
10,0,2,26,10,False
8,0,1,25,12,False
9,0,1,26,13,False
5,1,4,25,14,False
7,0,1,21,9,False
7,1,0,20,8,False
10,1,2,17,16,False
6,1,2,21,16,False
7,0,1,26,15,False
6,1,1,18,17,False
5,1,3,15,15,False
7,0,6,20,13,False
8,1,1,21,13,False
6,1,2,31,12,False
6,1,1,23,16,False
4,0,2,25,14,False
7,2,3,19,15,False
8,1,2,18,14,False
7,1,2,17,16,False
6,2,1,25,19,False
5,1,1,24,15,False
7,1,2,27,18,False
9,1,1,18,17,False
5,1,3,19,17,False
7,1,2,20,11,False
5,1,1,25,14,False
5,3,3,22,13,False
7,1,1,22,12,False
6,1,2,16,15,False
4,3,1,12,10,False
6,1,1,14,12,False
6,1,1,17,13,False
6,0,1,20,16,False
3,1,1,23,22,False
4,1,1,14,17,False
4,0,1,13,15,False
5,0,1,20,21,False
6,1,2,18,20,False
7,0,2,16,17,False
5,0,2,18,18,False
5,1,1,12,16,False
5,0,2,14,12,False
7,0,1,14,18,False
7,0,2,35,17,False
5,0,2,25,15,False
6,1,1,18,12,False
6,1,0,15,11,False
6,0,1,15,14,False
7,1,1,21,16,False
6,0,1,20,24,False
5,1,1,21,15,False
5,1,1,21,24,False
5,1,0,14,11,False
6,1,1,11,12,False
5,1,1,12,12,False
6,1,1,17,13,False
5,0,1,19,11,False
5,0,1,17,12,False
6,0,1,14,12,False
7,0,1,15,12,False
6,1,1,17,12,False
6,0,1,16,10,False
5,0,1,18,11,False
7,0,1,20,11,False
6,0,1,15,11,False
5,1,1,11,11,False
5,0,1,13,13,False
5,0,1,18,13,False
5,1,1,19,12,False
4,0,1,21,12,False
4,0,1,12,12,False
4,0,0,12,12,False
6,0,1,15,14,False
5,0,1,16,13,False
5,0,1,18,11,False
4,1,0,18,13,False
6,0,1,15,11,False
6,1,1,9,12,False
5,0,0,11,16,False
5,0,0,14,18,False
3,0,0,16,13,False
4,0,1,16,13,False
5,0,1,13,11,False
5,0,1,12,12,False
10,0,1,13,12,False
10,1,1,17,17,False
5,0,1,16,21,False
5,0,0,16,46,False
6,0,1,14,22,False
5,0,1,9,23,False
4,1,0,11,18,False
5,0,1,13,12,False
5,0,1,16,12,False
3,0,1,15,12,False
5,0,0,12,11,False
4,0,0,12,12,False
7,0,0,13,9,False
5,0,0,14,11,False
5,0,0,15,9,False
5,0,0,16,14,False
5,0,0,10,13,False
4,0,0,7,13,False
3,0,0,7,9,False
4,0,0,10,10,False
3,0,0,10,14,False
4,1,1,13,15,False
4,0,0,9,13,False
4,0,0,9,8,False
5,0,0,10,9,False
3,1,0,14,9,False
4,0,1,11,9,False
4,0,0,10,10,False
4,1,1,7,9,False
6,0,0,6,8,False
2,0,0,7,9,False
3,0,0,9,8,False
4,1,0,11,9,False
4,0,0,12,8,False
3,0,0,8,6,False
4,1,1,8,8,False
3,0,0,10,9,False
3,0,0,11,8,False
2,1,0,10,7,False
4,0,0,8,9,False
4,0,0,7,8,False
3,0,0,5,8,False
3,0,0,8,9,False
2,0,0,8,10,False
3,0,0,9,10,False
3,1,0,11,9,False
3,0,0,8,9,False
4,0,0,6,8,False
4,0,0,9,9,False
3,0,0,11,7,False
3,0,1,9,8,False
3,0,0,8,8,False
3,0,0,7,8,False
2,0,0,6,11,False
2,0,0,7,9,False
6,0,0,6,9,False
9,0,0,9,8,False
2,0,0,8,9,False
3,0,0,6,8,False
4,0,0,6,13,False
3,1,0,8,25,False
4,0,0,5,10,False
3,0,0,7,8,False
3,1,0,6,8,False
3,0,0,5,7,False
3,0,0,4,16,False
2,1,0,5,14,False
4,1,0,5,10,False
3,0,0,4,9,True
