Daniel Kraft,Jim Fallon,Nina Jablonski,Gordon Brown,Iraola,isPartial
1,1,0,8,1,False
0,1,0,6,2,False
0,1,0,15,1,False
0,1,0,6,1,False
1,1,0,6,1,False
1,1,1,7,1,False
0,1,0,8,1,False
0,1,0,5,2,False
0,0,0,6,1,False
1,0,0,8,1,False
0,1,0,8,0,False
0,0,0,9,1,False
0,0,0,10,1,False
0,0,0,8,1,False
1,1,0,8,1,False
1,0,0,11,1,False
1,1,0,12,1,False
0,0,0,8,1,False
1,1,0,6,1,False
0,0,0,4,1,False
0,0,0,7,1,False
0,0,0,8,1,False
0,0,0,6,1,False
0,0,0,10,1,False
0,0,0,10,1,False
0,0,0,9,1,False
0,1,0,13,1,False
0,0,0,7,1,False
0,0,0,8,1,False
1,0,0,7,1,False
1,0,0,8,1,False
0,0,0,5,1,False
0,0,0,17,1,False
0,0,0,9,1,False
0,0,0,10,1,False
0,0,0,8,1,False
0,0,0,12,1,False
0,1,0,9,1,False
0,0,1,16,1,False
0,0,0,10,1,False
0,0,0,33,1,False
0,0,0,43,1,False
0,0,0,34,1,False
0,0,0,16,1,False
0,0,0,23,1,False
0,0,0,23,1,False
0,0,0,22,1,False
0,0,0,16,1,False
0,0,0,22,1,False
0,0,0,17,1,False
0,0,0,17,1,False
0,0,0,23,1,False
0,0,0,23,1,False
0,0,0,18,1,False
0,0,0,18,1,False
0,0,0,16,1,False
0,0,0,25,1,False
0,0,0,25,1,False
0,0,0,22,1,False
0,0,0,19,1,False
0,0,0,21,1,False
0,0,0,27,1,False
0,0,0,35,1,False
0,0,0,26,1,False
0,0,0,27,1,False
0,0,0,33,1,False
0,0,0,15,1,False
0,0,0,12,1,False
0,0,0,26,2,False
0,0,0,22,1,False
0,0,0,25,2,False
0,0,0,16,1,False
0,0,0,19,1,False
0,0,0,29,1,False
0,0,0,22,1,False
0,0,0,81,1,False
0,0,0,100,1,False
0,0,0,12,1,False
0,0,0,10,1,False
0,1,0,8,1,False
0,0,0,11,1,False
0,0,0,10,1,False
0,0,0,8,2,False
0,0,0,9,1,False
0,1,0,8,1,False
0,0,0,7,2,False
0,0,0,8,2,False
0,0,0,9,1,False
0,0,0,9,2,False
0,0,0,6,1,False
0,0,0,11,1,False
0,1,0,7,2,False
0,1,0,6,2,False
0,0,0,6,1,False
0,2,0,6,1,False
0,1,0,6,1,False
0,1,0,6,1,False
0,1,0,6,1,False
0,1,0,7,2,False
0,0,0,6,1,False
0,0,0,6,2,False
0,1,0,6,1,False
0,1,0,5,1,False
0,1,0,4,1,False
0,0,0,5,1,False
0,1,0,5,1,False
0,0,0,6,1,False
0,0,0,5,1,False
0,0,0,4,1,False
0,1,0,4,1,False
0,1,0,5,1,False
0,1,0,5,1,False
0,1,0,4,1,False
0,1,0,4,1,False
0,0,0,4,1,False
0,1,0,4,1,False
0,1,0,6,1,False
0,0,0,5,1,False
0,0,0,4,1,False
0,1,0,4,1,False
0,1,0,5,1,False
0,1,0,4,1,False
0,1,0,5,1,False
0,1,0,4,1,False
0,1,0,5,1,False
0,2,0,4,1,False
0,1,0,4,1,False
0,1,0,4,1,False
0,1,0,17,2,False
0,1,0,5,1,False
0,2,0,5,1,False
0,1,0,6,1,False
0,1,0,5,1,False
0,2,0,15,1,False
0,1,0,8,1,False
0,1,0,6,2,False
0,1,0,8,4,False
0,1,0,4,2,False
0,1,0,8,2,False
0,1,0,7,2,False
0,1,0,4,1,False
0,1,0,4,1,False
0,1,0,4,1,False
0,1,0,3,1,False
0,1,0,4,1,False
0,1,0,3,1,False
0,0,0,4,1,False
0,1,0,4,1,False
0,1,0,5,1,False
0,1,0,7,1,False
0,1,0,5,1,False
0,0,0,3,1,False
0,1,0,4,1,False
0,1,0,3,1,False
0,1,0,4,1,False
0,1,0,3,1,False
0,1,0,4,1,False
0,0,0,4,1,False
0,0,0,4,1,False
0,0,0,3,1,False
0,0,0,4,1,False
0,0,0,5,1,False
0,0,0,3,1,False
0,0,0,3,1,False
0,0,0,3,1,False
0,0,0,5,1,False
0,1,0,5,1,False
0,0,0,3,0,False
0,1,0,3,1,False
0,0,0,3,1,False
0,0,0,3,1,False
0,1,0,3,1,False
0,0,0,4,1,False
0,0,0,3,1,False
0,0,0,3,1,False
0,0,0,3,1,False
0,0,0,8,1,False
0,0,0,4,1,False
0,0,0,4,1,False
0,0,0,3,1,False
0,0,0,4,1,False
0,0,0,4,1,False
0,0,0,4,1,False
0,0,0,3,1,False
0,0,0,4,1,False
0,0,0,4,1,False
0,0,0,5,1,False
0,0,0,4,1,False
0,0,0,10,1,False
0,0,0,4,1,False
0,0,0,5,1,False
0,0,0,5,1,False
0,0,0,7,1,False
0,0,0,4,2,False
0,0,0,5,1,False
0,0,0,5,1,False
0,0,0,4,1,False
0,0,0,4,1,False
0,0,0,3,1,False
0,0,0,3,1,False
0,0,0,5,1,False
0,0,0,4,1,True
