John Lloyd,Oliver Sacks,Imogen Heap,Jonathan Zittrain,Iraola,isPartial
15,6,2,0,1,False
10,8,2,0,3,False
12,6,1,0,2,False
10,10,2,0,2,False
10,5,1,0,2,False
10,6,2,0,2,False
12,3,2,0,2,False
13,7,5,0,3,False
11,8,4,0,2,False
11,6,2,1,1,False
10,4,3,0,1,False
10,9,7,1,1,False
12,4,6,1,1,False
10,6,3,0,2,False
9,7,5,1,1,False
10,5,6,0,2,False
9,7,75,1,1,False
14,4,51,0,2,False
10,2,53,0,2,False
7,2,48,0,1,False
7,5,45,0,2,False
9,4,49,0,2,False
7,5,73,1,1,False
10,4,75,0,2,False
11,3,88,1,1,False
10,4,70,1,1,False
8,5,73,0,2,False
8,4,80,0,1,False
8,4,100,0,2,False
14,4,84,0,2,False
9,4,76,0,2,False
9,3,72,0,1,False
7,3,80,0,1,False
8,3,79,0,1,False
9,3,78,0,2,False
8,2,79,0,2,False
9,3,69,0,1,False
9,3,81,0,2,False
10,3,54,0,2,False
7,4,69,0,1,False
8,3,60,0,2,False
8,3,53,0,2,False
10,3,46,0,2,False
7,3,50,0,1,False
7,4,52,1,2,False
9,7,48,0,1,False
12,7,46,0,2,False
9,5,47,0,2,False
7,5,41,0,1,False
8,5,40,0,1,False
8,4,39,0,2,False
8,5,39,0,2,False
8,4,34,1,2,False
9,4,33,1,1,False
9,3,29,0,1,False
10,3,35,0,2,False
11,4,34,0,2,False
8,5,32,0,2,False
8,4,29,0,2,False
9,4,32,0,2,False
9,3,28,0,2,False
12,3,27,0,2,False
13,3,27,0,2,False
10,4,29,0,2,False
11,3,28,0,2,False
11,4,26,0,2,False
12,6,44,0,2,False
10,4,73,0,2,False
12,4,77,0,2,False
10,4,76,0,2,False
10,4,73,0,2,False
9,3,64,0,2,False
10,4,54,0,2,False
11,3,56,0,1,False
12,3,41,0,2,False
10,3,39,0,2,False
10,3,36,0,2,False
12,3,36,0,2,False
9,3,28,0,1,False
9,3,26,0,1,False
41,3,25,0,2,False
14,5,26,0,2,False
12,4,31,0,3,False
11,4,24,0,2,False
13,5,24,0,2,False
9,4,25,0,3,False
9,4,22,0,2,False
10,3,28,0,2,False
9,3,27,0,2,False
10,4,19,0,2,False
9,4,20,0,2,False
8,4,20,0,2,False
8,4,18,0,2,False
11,4,19,0,2,False
11,3,19,0,2,False
8,3,17,0,1,False
9,3,17,0,2,False
9,3,15,0,2,False
9,3,14,0,3,False
9,5,13,0,2,False
10,3,12,0,3,False
12,3,12,0,1,False
12,2,13,0,1,False
14,4,11,0,2,False
24,4,12,0,2,False
16,4,12,0,1,False
14,7,11,0,2,False
9,5,12,0,2,False
11,4,11,0,1,False
10,4,12,0,1,False
12,4,11,0,1,False
17,4,9,0,1,False
11,3,8,0,1,False
12,3,9,0,1,False
11,5,8,0,1,False
10,3,9,0,2,False
10,4,12,0,2,False
10,4,9,0,1,False
10,3,9,0,2,False
16,3,8,0,2,False
11,4,9,0,1,False
11,3,8,0,2,False
9,3,9,0,2,False
10,3,10,0,1,False
10,3,10,0,2,False
14,2,8,0,1,False
12,2,9,0,2,False
18,4,13,0,2,False
8,3,8,0,2,False
11,2,9,0,2,False
10,3,8,0,2,False
9,3,8,0,1,False
9,2,8,0,2,False
10,27,8,0,2,False
9,6,7,0,2,False
11,5,6,0,3,False
10,10,6,0,6,False
11,7,6,0,3,False
12,9,5,0,3,False
10,47,5,0,2,False
8,29,5,0,2,False
8,8,6,0,1,False
11,7,5,0,1,False
11,8,6,0,1,False
15,6,6,0,1,False
14,7,5,0,1,False
10,5,5,0,1,False
10,8,4,0,1,False
13,4,4,0,2,False
10,4,4,0,2,False
9,3,4,0,2,False
8,5,4,0,1,False
6,4,4,0,1,False
7,4,4,0,2,False
7,4,4,0,2,False
6,4,4,0,2,False
7,4,4,0,1,False
7,4,5,0,1,False
6,4,4,0,1,False
7,4,4,0,1,False
7,4,4,0,1,False
6,3,48,0,1,False
12,3,3,0,1,False
10,3,3,0,1,False
17,3,3,0,1,False
13,4,3,0,1,False
10,5,3,0,1,False
7,4,4,0,1,False
9,3,3,0,1,False
7,3,3,0,1,False
7,3,3,0,1,False
6,3,4,0,1,False
8,3,3,0,1,False
16,3,3,0,1,False
7,3,3,0,1,False
6,3,5,0,1,False
8,4,4,0,1,False
7,3,3,0,1,False
6,3,5,0,1,False
6,3,4,0,1,False
6,3,3,0,1,False
6,3,4,0,1,False
8,3,3,0,1,False
9,3,4,0,1,False
7,3,4,0,1,False
7,3,5,0,1,False
9,3,3,0,1,False
16,3,3,0,1,False
11,3,3,0,1,False
6,3,3,0,1,False
6,3,3,0,1,False
5,4,3,0,1,False
6,3,3,0,2,False
7,3,3,0,3,False
6,3,2,0,1,False
11,3,3,0,1,False
8,3,5,0,1,False
6,2,3,0,1,False
5,3,3,0,2,False
5,2,3,0,2,False
5,4,3,0,1,False
5,3,2,0,1,True
