Evgeny Morozov,Taryn Simon,Parag Khanna,Garik Israelian,Iraola,isPartial
0,15,0,0,30,False
0,0,0,0,22,False
0,0,0,0,36,False
0,0,0,0,29,False
0,0,0,0,19,False
0,12,12,0,24,False
0,25,0,0,25,False
0,0,0,0,47,False
0,0,11,0,33,False
0,11,0,0,22,False
0,22,0,0,11,False
0,21,0,0,16,False
0,45,0,9,27,False
0,0,10,0,29,False
8,16,0,0,12,False
0,0,0,0,18,False
0,16,0,0,24,False
0,8,0,0,24,False
0,0,0,0,28,False
0,16,0,0,16,False
0,14,0,0,25,False
0,7,0,0,33,False
0,7,0,0,27,False
0,0,7,6,26,False
0,12,6,0,20,False
0,12,9,0,21,False
0,5,0,0,43,False
0,5,0,0,24,False
0,5,5,0,38,False
0,10,5,0,39,False
0,0,5,0,34,False
0,5,5,0,22,False
0,9,0,0,14,False
0,13,0,0,13,False
0,4,0,0,27,False
0,17,0,0,26,False
0,9,0,0,20,False
0,16,0,0,29,False
0,26,0,0,29,False
0,11,4,0,21,False
0,8,3,0,23,False
0,11,0,0,21,False
0,14,0,0,29,False
0,4,0,3,24,False
0,29,0,0,30,False
0,38,3,0,23,False
0,15,3,0,23,False
0,19,3,0,28,False
2,19,28,0,24,False
0,10,19,0,24,False
2,11,14,0,28,False
0,12,17,0,29,False
2,12,19,0,24,False
0,11,10,0,12,False
0,7,8,0,17,False
2,4,8,0,38,False
2,7,7,0,34,False
0,7,8,2,32,False
2,9,8,0,31,False
2,5,3,0,34,False
2,6,5,0,27,False
2,7,7,0,30,False
0,11,7,0,31,False
0,9,8,0,32,False
0,3,4,2,33,False
0,3,12,0,32,False
2,7,4,2,30,False
0,6,2,0,31,False
3,25,4,0,38,False
4,25,9,0,32,False
2,9,7,0,42,False
4,6,4,0,35,False
2,8,6,1,32,False
1,10,3,1,23,False
2,6,5,1,25,False
5,5,8,0,27,False
0,6,2,0,24,False
0,8,3,1,26,False
2,12,4,0,19,False
1,7,4,0,23,False
2,11,2,1,25,False
1,9,7,0,31,False
3,11,3,1,45,False
7,11,9,0,36,False
8,12,12,0,29,False
10,13,11,0,48,False
7,7,10,0,39,False
5,6,5,0,33,False
6,21,11,1,38,False
5,12,3,1,32,False
2,15,5,0,24,False
2,10,6,0,37,False
6,22,5,1,36,False
5,26,6,0,29,False
8,20,6,1,26,False
6,16,4,1,21,False
3,12,3,0,26,False
5,16,4,1,30,False
4,15,3,0,45,False
5,17,3,0,32,False
4,17,3,1,47,False
4,16,6,1,21,False
3,9,1,0,22,False
5,10,7,0,24,False
5,11,8,1,23,False
6,15,5,1,22,False
5,10,1,0,24,False
4,8,3,1,23,False
5,11,3,1,25,False
3,10,5,1,25,False
15,10,3,0,18,False
16,7,3,1,20,False
8,5,3,0,22,False
8,4,1,0,21,False
7,5,2,0,19,False
8,4,3,0,24,False
4,5,3,0,27,False
9,10,2,0,26,False
8,9,2,0,25,False
9,11,2,0,23,False
13,5,1,1,25,False
7,9,3,1,28,False
7,8,2,1,26,False
4,7,3,1,21,False
4,3,3,1,26,False
5,3,2,0,22,False
3,3,1,1,27,False
5,3,2,1,29,False
6,4,2,2,35,False
7,5,1,1,28,False
3,6,3,0,29,False
7,5,1,0,24,False
3,4,1,0,26,False
4,19,2,0,28,False
4,12,1,0,35,False
7,13,2,0,43,False
4,8,2,1,100,False
2,4,4,0,43,False
3,4,2,0,45,False
4,3,2,0,39,False
4,4,1,0,27,False
5,5,2,0,24,False
6,8,0,0,24,False
6,6,2,0,18,False
4,4,2,0,22,False
6,10,1,1,18,False
5,15,2,0,23,False
3,12,10,0,19,False
3,7,9,0,28,False
3,9,4,1,29,False
2,3,4,1,26,False
4,5,4,1,20,False
3,11,4,0,19,False
2,9,6,0,27,False
3,5,4,0,30,False
2,5,4,0,25,False
3,6,2,0,17,False
3,5,3,0,22,False
4,5,5,0,18,False
4,6,3,0,20,False
4,8,3,0,21,False
1,2,2,1,18,False
2,5,3,1,17,False
2,3,3,0,17,False
2,4,5,0,17,False
2,3,4,0,18,False
3,3,3,0,18,False
2,3,4,0,12,False
4,5,2,1,17,False
3,5,4,0,18,False
4,3,2,1,16,False
4,7,1,0,15,False
2,5,2,0,18,False
2,3,3,0,18,False
3,3,2,0,16,False
2,5,2,0,19,False
2,4,2,0,21,False
2,4,3,0,19,False
2,3,2,0,20,False
4,3,3,0,19,False
2,4,4,0,15,False
3,5,12,0,18,False
2,3,4,0,16,False
2,2,4,0,18,False
2,3,8,0,17,False
3,3,5,0,16,False
1,1,3,0,20,False
7,2,5,0,17,False
4,4,4,0,18,False
3,3,4,0,15,False
3,3,5,0,18,False
2,2,2,0,16,False
1,3,6,0,27,False
2,2,3,0,48,False
2,2,3,0,21,False
6,4,9,0,14,False
2,2,5,0,16,False
1,3,4,0,12,False
2,2,5,0,34,False
2,1,2,0,27,False
2,2,4,0,21,False
2,1,1,0,17,True
