Edward Burtynsky,Robert Fischell,Peter Donnelly,Michael Shermer,Iraola,isPartial
37,0,24,32,24,False
31,0,16,31,47,False
26,0,19,29,29,False
38,0,15,45,30,False
20,0,26,17,30,False
0,13,26,17,26,False
34,0,27,20,27,False
13,0,17,25,50,False
12,0,12,27,27,False
29,0,18,24,24,False
24,0,12,40,12,False
16,0,11,33,17,False
16,10,19,35,23,False
14,0,51,24,31,False
21,9,20,20,23,False
19,0,14,16,29,False
13,0,13,17,20,False
8,0,11,17,28,False
11,0,17,23,26,False
11,0,16,11,17,False
15,0,11,15,30,False
33,0,21,19,28,False
31,0,11,14,21,False
21,7,14,18,28,False
14,6,12,16,18,False
27,6,16,19,21,False
16,0,21,9,36,False
23,0,12,19,21,False
11,0,8,25,35,False
13,0,8,19,35,False
11,0,7,9,34,False
12,0,13,24,22,False
23,0,15,38,25,False
18,0,21,24,22,False
27,0,24,19,26,False
23,0,9,29,26,False
18,0,17,38,22,False
21,4,11,18,26,False
23,4,10,16,28,False
24,0,13,14,25,False
22,3,13,23,31,False
18,3,16,10,26,False
18,3,7,16,29,False
21,6,5,34,25,False
27,3,13,15,33,False
37,3,9,16,21,False
37,0,12,19,27,False
26,0,16,15,27,False
23,0,6,37,24,False
18,3,7,15,21,False
20,2,8,14,27,False
18,4,10,28,27,False
16,2,8,23,30,False
16,0,10,18,19,False
17,0,4,23,16,False
10,3,14,27,35,False
15,0,9,15,36,False
22,2,8,21,32,False
30,2,12,20,36,False
14,0,5,13,32,False
23,0,6,20,28,False
23,0,9,15,28,False
12,2,9,22,27,False
18,0,10,21,35,False
13,0,9,17,30,False
7,0,10,21,33,False
7,0,8,24,30,False
10,0,3,20,35,False
14,0,8,32,40,False
21,0,6,24,33,False
26,2,5,22,39,False
21,2,8,22,36,False
22,0,8,21,36,False
26,1,7,23,24,False
18,1,7,28,31,False
19,0,6,25,27,False
18,2,6,16,26,False
9,0,6,18,32,False
10,0,8,22,21,False
11,0,9,14,25,False
14,0,7,18,28,False
16,0,6,23,34,False
19,0,7,16,46,False
9,1,3,23,37,False
11,1,4,23,33,False
17,1,6,16,45,False
15,1,3,17,43,False
23,1,5,20,36,False
16,0,6,28,40,False
13,1,7,21,34,False
10,1,8,29,26,False
14,0,7,19,38,False
16,1,7,23,38,False
20,2,6,15,31,False
16,1,5,16,27,False
13,0,7,15,24,False
13,0,7,16,29,False
15,0,5,13,35,False
13,3,6,14,52,False
10,1,5,16,33,False
13,2,5,17,52,False
13,1,6,12,24,False
11,2,5,11,25,False
10,1,5,21,27,False
11,1,6,19,28,False
15,1,6,15,23,False
10,1,5,17,26,False
9,0,4,22,27,False
7,1,7,22,26,False
9,1,4,18,25,False
11,1,5,16,21,False
8,0,4,18,23,False
7,0,5,14,24,False
6,1,4,12,24,False
5,1,2,11,24,False
5,0,4,58,29,False
21,1,6,21,29,False
20,1,5,19,25,False
17,0,5,20,27,False
9,1,4,11,26,False
12,1,6,17,26,False
13,1,7,14,29,False
13,1,5,13,28,False
15,1,5,18,24,False
13,1,5,10,27,False
9,0,4,15,25,False
5,0,6,11,26,False
8,1,5,13,34,False
11,0,5,19,38,False
9,1,5,15,29,False
7,1,5,14,29,False
7,1,3,11,23,False
8,1,3,20,26,False
10,0,4,16,27,False
8,1,5,13,36,False
6,1,4,15,46,False
8,0,4,14,100,False
6,0,4,10,47,False
4,1,4,10,50,False
2,1,5,13,39,False
9,1,4,10,27,False
11,1,5,10,25,False
9,0,3,11,25,False
7,0,3,8,23,False
6,0,3,13,25,False
8,1,8,12,19,False
7,0,10,23,24,False
7,1,5,12,20,False
6,1,3,10,29,False
5,0,5,11,29,False
2,1,3,8,29,False
3,1,4,9,20,False
10,1,4,28,21,False
10,0,3,15,30,False
11,0,4,18,32,False
10,0,3,12,27,False
8,0,3,12,17,False
8,0,5,12,20,False
8,0,4,14,19,False
7,0,3,14,19,False
6,1,4,32,22,False
6,0,4,9,19,False
3,0,4,12,18,False
5,1,4,8,19,False
5,0,4,10,17,False
6,0,3,10,19,False
7,0,4,8,17,False
4,0,3,8,12,False
5,0,3,40,18,False
7,0,3,16,19,False
6,0,6,15,17,False
5,0,5,11,15,False
7,1,3,11,20,False
6,0,4,15,18,False
2,0,3,11,17,False
3,0,4,8,20,False
6,0,3,12,21,False
11,0,5,10,21,False
8,0,4,8,20,False
8,0,4,9,20,False
7,0,4,52,17,False
6,0,3,11,19,False
5,0,3,8,16,False
5,0,3,13,18,False
3,0,3,10,17,False
4,0,9,9,18,False
3,0,3,11,23,False
4,0,4,10,20,False
9,0,4,9,20,False
5,0,3,8,17,False
5,0,3,9,18,False
4,0,2,9,17,False
4,0,4,11,29,False
5,1,4,9,53,False
4,1,3,6,21,False
5,0,18,46,16,False
3,0,3,13,17,False
3,0,4,9,15,False
2,0,3,12,34,False
2,0,3,10,29,False
5,0,5,10,22,False
3,0,2,8,19,True
