Carolyn Steel,David Logan,Chimamanda Ngozi Adichie,Beau Lotto,Iraola,isPartial
0,28,0,10,16,False
0,28,0,0,31,False
0,30,0,0,19,False
0,20,0,10,20,False
9,29,8,0,20,False
0,20,13,9,17,False
0,40,9,0,18,False
0,29,8,0,33,False
0,15,8,0,18,False
8,16,8,8,16,False
8,23,8,0,8,False
0,22,0,0,11,False
0,21,6,0,15,False
0,29,7,0,20,False
0,20,6,6,15,False
0,25,0,0,19,False
0,24,5,0,13,False
6,24,0,0,19,False
0,36,8,0,17,False
0,40,0,0,11,False
0,21,0,5,20,False
0,26,7,0,19,False
0,23,5,0,14,False
5,21,5,5,18,False
4,23,4,0,12,False
4,25,6,4,14,False
0,28,4,4,24,False
4,23,8,0,14,False
3,22,0,0,23,False
4,23,7,0,23,False
0,23,6,0,22,False
0,15,5,3,15,False
3,18,8,3,16,False
3,16,10,3,15,False
0,16,7,0,17,False
0,15,4,3,17,False
0,14,6,0,15,False
0,18,3,3,17,False
0,14,6,0,18,False
0,12,4,5,17,False
0,18,7,2,21,False
2,22,17,0,17,False
2,14,5,2,19,False
2,19,8,2,16,False
2,11,6,2,21,False
2,23,6,0,14,False
2,15,3,0,18,False
2,21,8,2,18,False
3,21,5,0,16,False
3,23,4,2,14,False
0,17,4,3,17,False
2,17,7,2,18,False
2,20,4,2,20,False
2,16,9,0,13,False
2,19,7,2,11,False
2,17,5,2,23,False
1,17,5,1,23,False
1,13,5,1,21,False
2,22,4,0,23,False
1,21,5,1,21,False
2,15,5,0,18,False
1,15,4,0,18,False
1,20,5,1,18,False
1,21,6,1,23,False
1,19,8,0,20,False
1,16,5,1,21,False
3,20,11,2,20,False
2,25,7,1,23,False
2,46,5,1,27,False
4,24,14,6,22,False
2,25,11,3,26,False
2,23,12,3,24,False
1,19,5,1,23,False
1,20,7,1,15,False
1,23,7,1,20,False
1,32,6,1,18,False
2,21,4,2,17,False
1,26,8,0,21,False
1,24,2,2,14,False
1,27,6,1,17,False
1,25,5,2,19,False
1,23,9,1,22,False
1,21,7,1,31,False
1,23,6,2,24,False
1,23,7,1,22,False
2,28,7,2,30,False
2,20,6,2,28,False
1,23,5,2,24,False
2,24,4,1,26,False
2,23,4,1,23,False
2,21,4,2,17,False
2,27,5,2,25,False
3,17,5,2,25,False
4,19,4,2,21,False
2,23,4,3,18,False
1,16,3,1,16,False
1,23,4,2,19,False
2,22,6,2,23,False
1,21,4,1,34,False
1,20,6,3,22,False
2,21,5,1,34,False
2,21,3,2,15,False
0,22,6,2,16,False
2,20,5,2,18,False
1,22,4,1,19,False
1,21,6,4,15,False
1,19,5,6,17,False
1,22,4,2,18,False
2,26,5,2,17,False
1,19,6,2,17,False
1,21,6,1,13,False
1,18,15,2,15,False
1,22,15,1,16,False
1,17,13,2,16,False
0,23,8,1,16,False
1,21,11,1,19,False
0,20,12,2,19,False
1,19,14,2,16,False
1,21,13,2,17,False
1,19,81,1,17,False
1,20,44,1,17,False
1,18,48,2,19,False
1,18,65,1,19,False
1,20,55,1,16,False
1,18,45,1,18,False
1,18,44,2,16,False
1,20,35,1,17,False
1,15,47,1,22,False
1,17,56,3,25,False
1,20,53,1,19,False
1,15,45,2,19,False
1,17,52,2,15,False
0,21,48,1,17,False
1,22,55,3,18,False
1,19,48,2,24,False
0,19,45,2,30,False
1,20,44,1,66,False
1,28,46,1,31,False
0,22,35,1,33,False
1,18,35,1,26,False
1,19,38,1,18,False
2,21,37,2,17,False
1,19,36,2,16,False
1,17,43,1,15,False
1,23,37,2,17,False
1,21,40,1,13,False
1,17,46,1,16,False
1,17,39,1,13,False
1,19,37,1,19,False
1,16,33,1,19,False
0,19,37,1,19,False
0,15,37,1,13,False
0,15,39,1,14,False
1,21,55,1,19,False
0,16,62,2,21,False
1,17,44,1,18,False
0,20,46,1,11,False
1,29,47,1,13,False
1,37,100,0,12,False
1,25,50,3,12,False
1,20,45,2,14,False
1,27,37,2,12,False
0,25,34,3,12,False
0,24,38,2,13,False
1,20,47,2,11,False
1,22,45,2,12,False
0,19,46,1,11,False
0,20,37,1,8,False
1,37,53,2,12,False
1,18,48,2,13,False
0,18,50,2,11,False
0,17,54,1,10,False
1,17,50,2,13,False
1,17,52,2,12,False
1,16,47,1,11,False
1,21,46,1,13,False
1,17,51,1,14,False
1,18,52,2,14,False
1,15,46,2,13,False
0,16,41,1,13,False
1,14,39,1,11,False
0,18,49,1,12,False
1,16,56,2,10,False
0,17,38,2,12,False
0,15,41,1,11,False
1,22,33,1,12,False
1,17,31,1,15,False
1,40,37,1,13,False
1,17,44,1,13,False
0,15,43,1,11,False
1,23,44,2,12,False
1,16,36,1,11,False
1,19,41,1,19,False
1,21,43,1,35,False
1,17,39,2,14,False
1,24,36,1,11,False
1,24,39,1,11,False
1,22,54,1,10,False
1,20,38,0,22,False
1,19,39,1,19,False
0,19,49,1,15,False
1,14,34,1,13,True
