Rachel Pike,Cynthia Schneider,Pranav Mistry,Mathieu Lehanneur,Iraola,isPartial
0,5,0,5,10,False
5,0,0,0,13,False
6,6,0,6,6,False
0,5,0,0,11,False
4,4,0,0,10,False
4,4,0,0,12,False
0,0,0,0,10,False
0,4,0,0,14,False
4,0,0,0,11,False
0,0,0,0,7,False
0,4,0,0,5,False
0,3,0,0,12,False
3,0,0,0,9,False
0,0,0,0,8,False
3,0,0,0,6,False
0,0,0,0,6,False
0,0,0,0,6,False
5,3,0,0,5,False
3,0,3,0,5,False
3,5,0,3,5,False
2,0,0,2,10,False
0,0,0,0,11,False
2,2,2,0,10,False
2,0,2,0,8,False
2,0,0,2,6,False
2,0,0,4,7,False
3,2,0,0,14,False
2,2,0,0,7,False
0,2,0,0,9,False
2,2,0,0,9,False
3,2,0,0,10,False
3,2,2,0,9,False
2,2,2,2,7,False
1,0,0,1,7,False
1,2,0,2,7,False
1,1,0,0,11,False
2,1,0,2,8,False
1,1,1,4,11,False
1,0,0,1,12,False
1,1,0,0,7,False
1,0,0,2,8,False
1,0,0,2,10,False
1,2,0,1,6,False
1,1,0,1,8,False
1,2,0,1,11,False
1,1,0,1,9,False
1,1,0,1,6,False
1,1,0,1,9,False
1,2,0,3,8,False
2,1,1,2,10,False
2,1,0,1,9,False
1,1,0,3,11,False
1,1,0,1,10,False
1,1,1,2,6,False
1,1,0,1,7,False
1,0,1,0,12,False
2,1,0,1,12,False
1,1,1,2,10,False
2,1,0,1,10,False
1,1,0,1,9,False
1,1,1,1,10,False
1,3,1,1,10,False
1,1,32,1,8,False
1,1,16,2,10,False
2,1,6,1,10,False
1,2,4,1,8,False
1,0,5,1,9,False
2,1,5,1,9,False
1,1,5,1,13,False
2,1,5,2,11,False
2,0,100,3,11,False
2,0,71,1,11,False
2,1,61,1,12,False
2,1,53,1,8,False
0,1,36,1,9,False
1,1,25,2,9,False
1,1,26,3,9,False
1,1,22,1,9,False
1,0,26,2,6,False
2,1,36,1,8,False
1,1,33,2,12,False
1,1,22,1,12,False
1,1,22,0,14,False
1,1,22,1,10,False
1,1,18,1,9,False
2,1,14,1,11,False
2,1,18,1,14,False
1,1,14,1,10,False
1,1,15,1,11,False
1,1,15,1,10,False
1,0,16,1,8,False
0,1,18,0,12,False
1,1,23,1,11,False
1,0,23,2,9,False
1,0,20,1,10,False
1,0,21,1,8,False
1,0,20,1,8,False
1,0,22,2,9,False
1,0,17,2,19,False
1,0,15,1,10,False
1,0,14,0,14,False
1,0,15,1,9,False
1,1,16,1,9,False
2,0,15,1,8,False
1,0,15,3,9,False
1,0,12,1,9,False
1,0,10,1,7,False
1,0,12,1,9,False
2,0,14,1,9,False
1,0,15,2,9,False
1,1,12,1,8,False
1,1,10,1,9,False
1,1,10,1,8,False
1,0,12,1,8,False
2,0,13,1,8,False
1,1,12,1,8,False
1,0,34,1,9,False
1,0,15,1,9,False
1,0,13,1,9,False
1,0,11,1,9,False
2,1,17,1,8,False
1,0,14,1,8,False
1,1,11,1,9,False
1,0,9,1,7,False
1,1,18,1,7,False
1,0,15,1,7,False
1,0,11,0,7,False
1,1,12,1,10,False
1,1,14,1,11,False
1,1,9,1,9,False
2,0,8,1,9,False
1,0,11,1,7,False
2,0,9,1,8,False
1,0,8,1,9,False
2,1,9,1,11,False
1,0,6,1,13,False
1,0,7,1,35,False
1,0,7,1,14,False
1,0,8,0,17,False
1,0,9,0,12,False
1,0,10,1,10,False
1,0,8,1,8,False
1,0,5,1,7,False
1,0,5,1,8,False
1,0,4,1,8,False
1,0,6,1,6,False
0,0,4,1,8,False
1,1,4,1,7,False
1,0,4,1,9,False
1,0,4,1,9,False
1,0,6,0,10,False
1,1,5,0,6,False
1,0,5,2,8,False
1,0,3,1,8,False
1,0,3,1,10,False
1,0,3,1,7,False
1,0,4,1,6,False
1,0,4,0,7,False
1,0,3,1,6,False
1,0,3,1,6,False
0,0,3,1,7,False
1,0,3,1,6,False
1,0,6,1,6,False
0,0,3,0,5,False
1,0,3,1,5,False
1,1,2,1,5,False
1,0,3,1,5,False
1,0,3,1,4,False
0,0,3,1,6,False
0,0,3,1,6,False
0,0,3,1,6,False
1,0,2,1,4,False
1,0,3,1,6,False
0,0,2,1,6,False
1,0,5,1,5,False
1,0,3,0,6,False
1,0,3,1,6,False
0,0,3,1,7,False
1,0,2,0,5,False
1,0,2,0,5,False
1,0,2,1,5,False
1,0,2,1,6,False
1,0,2,1,5,False
1,0,2,1,6,False
1,65,2,1,7,False
1,1,1,1,5,False
1,0,3,1,7,False
0,1,3,1,7,False
0,0,2,1,5,False
0,0,4,1,6,False
0,0,3,1,6,False
0,0,2,0,5,False
1,0,5,1,9,False
0,0,2,1,16,False
1,1,2,0,7,False
1,0,1,1,5,False
1,0,1,1,4,False
1,0,1,1,6,False
1,0,2,0,10,False
0,0,4,0,9,False
1,0,2,1,7,False
1,0,2,0,6,True
