Mallika Sarabhai,Shashi Tharoor,Andrea Ghez,Anupam Mishra,Iraola,isPartial
3,2,0,2,3,False
2,5,0,0,4,False
2,3,0,0,2,False
1,4,0,0,3,False
1,5,0,0,3,False
1,3,0,0,4,False
1,1,1,3,3,False
1,2,1,1,4,False
1,2,0,0,3,False
2,2,1,0,2,False
1,2,0,0,2,False
0,1,0,0,4,False
1,2,1,1,3,False
1,4,0,0,2,False
1,2,0,0,2,False
1,2,0,1,2,False
1,2,0,0,2,False
1,1,1,1,2,False
1,2,0,1,2,False
0,2,0,1,2,False
1,3,0,1,3,False
2,2,0,0,3,False
1,2,0,0,3,False
1,1,1,1,2,False
1,2,0,1,2,False
1,1,0,0,2,False
1,2,0,0,4,False
1,2,0,0,2,False
1,1,1,1,3,False
0,19,0,0,3,False
1,6,1,0,3,False
1,4,1,0,3,False
0,8,0,0,2,False
1,8,0,0,2,False
0,3,0,0,2,False
1,2,0,0,4,False
0,3,0,0,3,False
0,4,0,0,3,False
0,3,0,0,4,False
0,2,0,0,2,False
0,3,0,0,2,False
0,2,0,0,3,False
0,1,0,0,2,False
0,2,1,0,2,False
1,1,1,0,3,False
1,2,0,0,3,False
1,2,0,0,2,False
1,2,0,0,3,False
0,2,0,0,2,False
0,2,0,0,3,False
0,3,0,0,3,False
0,1,0,0,4,False
1,1,0,0,3,False
0,2,0,0,2,False
0,2,0,0,2,False
1,2,0,0,4,False
1,2,0,0,4,False
0,2,0,0,3,False
1,1,0,0,3,False
0,1,0,0,3,False
0,2,0,0,3,False
1,2,0,0,3,False
2,4,0,0,3,False
4,7,0,0,3,False
2,14,0,0,3,False
1,6,0,0,3,False
1,4,0,0,3,False
1,4,0,0,3,False
1,18,0,0,4,False
0,9,0,0,4,False
1,7,0,0,4,False
1,11,0,0,4,False
1,10,0,0,4,False
1,7,0,0,3,False
0,8,0,0,3,False
1,73,0,0,3,False
1,10,0,0,3,False
1,4,0,0,3,False
1,5,0,0,2,False
1,27,0,0,3,False
1,7,0,0,4,False
1,4,0,0,4,False
1,4,0,0,4,False
0,4,0,0,3,False
1,4,0,0,3,False
1,3,0,0,3,False
0,4,0,0,4,False
2,4,0,0,3,False
1,3,0,0,3,False
1,3,0,0,3,False
1,3,0,0,3,False
1,3,0,0,4,False
3,3,0,0,4,False
1,2,0,0,3,False
1,3,0,0,3,False
1,5,0,0,3,False
1,4,0,0,3,False
1,3,0,0,3,False
1,4,0,0,6,False
0,3,0,0,3,False
0,2,0,0,4,False
1,2,0,0,3,False
1,3,0,0,3,False
1,4,0,0,3,False
1,3,0,0,3,False
1,12,0,0,3,False
1,9,0,0,2,False
1,4,0,0,3,False
1,5,0,0,3,False
1,4,0,0,3,False
1,4,0,0,2,False
1,3,0,0,3,False
1,3,0,0,2,False
1,3,0,0,2,False
1,4,0,0,3,False
1,3,0,0,3,False
1,4,0,0,3,False
1,3,0,0,3,False
1,4,0,0,3,False
1,4,0,0,3,False
5,100,0,0,3,False
1,8,0,0,3,False
1,7,0,0,3,False
1,7,0,0,2,False
1,10,0,0,2,False
1,7,0,0,2,False
1,7,0,0,2,False
1,4,0,0,3,False
1,4,0,0,3,False
0,12,0,0,3,False
0,4,0,0,3,False
0,3,0,0,2,False
1,23,0,0,2,False
1,6,0,0,3,False
0,4,0,0,3,False
0,3,0,0,4,False
1,3,0,0,11,False
1,3,0,0,4,False
1,43,0,0,5,False
1,12,0,0,4,False
1,7,0,0,3,False
1,5,0,0,2,False
0,4,0,0,2,False
1,6,0,0,2,False
4,5,0,0,3,False
1,4,0,0,2,False
1,5,0,0,2,False
1,3,0,1,2,False
0,4,0,0,3,False
1,3,0,0,3,False
1,3,0,0,3,False
0,3,0,0,2,False
0,3,0,0,2,False
0,4,0,0,2,False
0,5,0,0,3,False
0,5,0,2,2,False
0,5,0,0,2,False
0,5,0,0,2,False
0,15,0,0,2,False
0,7,0,0,2,False
1,26,0,0,2,False
0,7,0,0,2,False
1,7,0,0,2,False
1,9,0,0,2,False
0,25,0,0,1,False
1,13,0,0,2,False
1,17,0,0,2,False
1,18,0,0,1,False
1,16,0,0,2,False
1,16,0,0,2,False
1,15,0,0,2,False
0,10,0,0,1,False
1,18,0,0,2,False
0,10,0,0,2,False
1,14,0,0,2,False
1,13,0,0,2,False
1,10,0,0,2,False
1,29,0,0,2,False
1,14,0,0,2,False
0,11,0,0,2,False
1,13,0,0,2,False
0,11,0,0,2,False
1,15,0,0,2,False
0,20,0,0,2,False
0,25,0,0,2,False
0,13,0,0,2,False
1,15,0,0,2,False
1,18,0,0,2,False
1,13,0,0,2,False
0,12,0,0,2,False
0,25,0,0,2,False
1,17,0,0,2,False
1,13,0,0,3,False
1,11,0,0,5,False
1,12,0,2,2,False
0,15,0,0,1,False
1,10,0,0,1,False
0,11,0,0,2,False
0,12,0,0,3,False
0,17,0,0,3,False
0,19,0,0,2,False
0,14,18,0,2,True
