Steven  Cowley,Asher Hasan,Michael Sandel,Cat Laine,Iraola,isPartial
0,0,19,14,28,False
0,0,14,0,37,False
0,0,29,0,17,False
0,0,0,13,31,False
0,0,0,0,27,False
0,0,15,0,35,False
0,0,0,0,28,False
0,0,17,0,39,False
0,0,15,0,31,False
0,11,21,11,21,False
0,0,14,11,14,False
10,0,0,0,33,False
0,0,9,0,26,False
9,0,9,0,23,False
0,0,8,0,18,False
9,0,8,0,17,False
0,0,11,0,17,False
8,0,15,0,15,False
0,8,0,8,15,False
0,0,12,0,15,False
0,0,9,0,29,False
6,0,19,0,31,False
0,0,13,0,27,False
0,0,15,6,23,False
0,0,5,5,16,False
6,0,11,0,20,False
5,0,21,0,38,False
0,0,10,0,19,False
0,0,16,0,25,False
0,0,15,5,26,False
0,0,7,0,29,False
0,0,7,0,24,False
0,0,9,0,20,False
0,0,4,8,20,False
4,0,15,4,21,False
4,0,8,4,32,False
0,0,5,3,23,False
4,0,5,4,30,False
0,3,6,0,34,False
5,0,10,0,21,False
6,0,12,0,22,False
0,0,8,3,28,False
0,0,4,3,16,False
0,0,5,0,21,False
3,0,10,5,30,False
0,0,7,0,27,False
2,0,6,2,16,False
3,0,8,3,26,False
2,0,8,2,22,False
2,0,4,5,27,False
3,2,12,2,26,False
4,0,7,2,32,False
2,0,9,0,29,False
2,0,7,0,18,False
0,0,2,4,21,False
2,0,8,0,34,False
4,0,5,2,33,False
2,2,6,2,29,False
2,0,6,2,28,False
0,0,8,0,27,False
3,0,4,2,28,False
2,0,11,4,29,False
0,0,9,2,23,False
0,2,4,2,29,False
2,0,8,2,28,False
0,0,28,2,23,False
2,0,15,2,25,False
2,0,5,0,26,False
0,3,27,3,37,False
1,0,67,1,32,False
3,0,31,2,32,False
3,1,41,3,32,False
4,1,41,2,35,False
2,0,30,2,23,False
0,1,37,2,25,False
2,1,35,2,26,False
1,1,26,3,26,False
1,2,49,2,27,False
1,1,24,3,18,False
1,1,47,2,23,False
1,1,32,2,33,False
0,1,33,0,33,False
2,0,35,1,41,False
2,0,26,1,29,False
1,1,51,2,26,False
1,0,45,1,31,False
2,1,31,1,39,False
0,1,37,3,29,False
2,1,32,2,31,False
2,0,47,1,28,False
0,1,61,3,24,False
1,0,35,1,34,False
2,1,48,2,32,False
0,0,35,2,25,False
1,1,40,1,27,False
2,2,32,2,23,False
1,1,29,1,24,False
0,1,31,1,25,False
1,0,44,1,55,False
1,1,62,2,27,False
1,1,59,1,39,False
1,1,50,1,26,False
2,0,40,1,24,False
2,1,38,1,24,False
1,0,48,1,25,False
1,0,52,1,25,False
1,1,55,3,20,False
1,0,55,2,24,False
1,1,42,2,25,False
2,1,36,2,25,False
1,0,45,1,21,False
1,1,48,2,25,False
1,1,50,1,21,False
1,1,33,1,22,False
1,0,29,1,23,False
1,0,40,1,23,False
1,0,42,1,25,False
1,1,44,1,24,False
1,0,40,2,24,False
1,0,34,1,24,False
1,1,33,1,24,False
1,1,34,1,23,False
1,0,30,1,26,False
0,0,37,1,18,False
2,0,41,1,21,False
1,1,21,1,19,False
1,1,21,1,20,False
1,1,28,1,29,False
1,0,34,1,30,False
1,0,39,0,26,False
1,1,31,1,26,False
1,1,26,2,19,False
2,0,23,1,22,False
1,1,24,2,25,False
1,0,27,1,31,False
1,0,28,1,36,False
1,0,24,1,100,False
0,0,22,0,40,False
0,0,22,1,48,False
0,0,24,1,33,False
0,0,27,1,27,False
0,0,32,1,22,False
1,0,26,1,20,False
1,1,20,2,22,False
1,1,23,2,24,False
1,0,22,2,18,False
1,1,30,1,21,False
1,0,39,1,20,False
1,0,31,1,26,False
0,0,31,1,24,False
1,1,16,0,27,False
0,0,22,1,16,False
1,0,25,1,22,False
1,0,20,1,22,False
0,0,25,1,27,False
1,0,22,2,20,False
0,0,20,2,17,False
1,0,22,1,19,False
1,0,25,1,18,False
1,0,23,1,17,False
1,0,26,1,19,False
1,0,17,1,18,False
1,0,14,0,17,False
0,0,18,1,15,False
1,0,22,1,14,False
1,0,20,1,14,False
0,0,19,1,15,False
1,0,17,1,11,False
1,0,17,1,16,False
0,0,17,0,18,False
0,0,38,1,17,False
0,0,26,2,12,False
1,0,27,0,16,False
0,0,21,1,17,False
0,0,13,1,15,False
0,0,16,1,16,False
0,0,21,1,17,False
0,0,31,1,19,False
1,0,20,1,15,False
0,0,19,1,15,False
0,0,16,1,15,False
0,0,15,1,18,False
1,0,18,1,15,False
0,0,18,0,16,False
0,0,17,1,19,False
1,0,14,1,15,False
0,0,13,1,19,False
0,0,19,1,19,False
1,0,19,1,15,False
0,0,18,1,16,False
0,0,15,1,17,False
1,0,12,1,15,False
0,0,14,1,25,False
1,0,15,1,46,False
0,0,15,1,20,False
0,0,26,1,13,False
0,0,20,2,13,False
0,0,18,1,16,False
1,0,13,1,28,False
0,0,18,1,26,False
0,0,50,1,19,False
1,0,28,1,16,True
