Eric Dishman,Douglas Adams,Jane McGonigal,Ken Kamler,Iraola,isPartial
0,11,0,0,1,False
0,13,0,0,1,False
0,13,0,0,0,False
0,13,0,0,1,False
0,12,0,0,1,False
0,10,0,0,1,False
0,12,0,0,1,False
0,11,0,0,1,False
0,11,0,0,1,False
0,11,0,0,1,False
0,11,0,0,0,False
0,11,0,0,1,False
0,12,0,0,1,False
0,12,0,0,1,False
0,14,0,0,0,False
0,23,0,0,0,False
0,25,0,0,0,False
0,15,0,0,0,False
0,11,0,0,0,False
0,10,0,0,0,False
0,11,0,0,1,False
0,9,0,0,1,False
0,10,0,0,1,False
0,9,0,0,1,False
0,8,0,0,0,False
0,8,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,5,0,0,0,False
0,6,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,6,0,0,0,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,6,0,0,1,False
0,5,0,0,1,False
0,4,0,0,0,False
0,4,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,5,1,0,1,False
0,5,0,0,1,False
0,6,0,0,1,False
0,4,0,0,1,False
0,5,0,0,0,False
0,4,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,5,1,0,1,False
0,5,2,0,1,False
0,4,1,0,1,False
0,4,1,0,1,False
0,7,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,4,1,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,4,1,0,1,False
0,4,1,0,1,False
0,5,1,0,2,False
0,4,0,0,1,False
0,5,0,0,1,False
0,3,1,0,1,False
0,3,1,0,1,False
0,3,1,0,1,False
0,3,1,0,1,False
0,3,1,0,1,False
0,3,1,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,100,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,4,1,0,1,False
0,4,1,0,1,False
0,3,0,0,1,False
0,3,1,0,1,False
0,3,0,0,1,False
0,3,1,0,1,False
0,3,0,0,1,False
0,3,1,0,1,False
0,3,1,0,1,False
0,3,1,0,1,False
0,3,0,0,1,False
0,4,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,2,0,0,1,False
0,3,0,0,1,False
0,2,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,2,0,0,1,False
0,3,0,0,1,False
0,2,0,0,1,False
0,3,0,0,3,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,1,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,0,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,0,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,3,0,0,1,False
0,2,0,0,0,False
0,2,0,0,1,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,1,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,3,0,0,0,False
0,3,0,0,1,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,1,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,1,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,1,False
0,2,0,0,0,False
0,2,0,0,1,False
0,2,0,0,1,False
0,1,0,0,0,False
0,1,0,0,0,False
0,2,0,0,0,False
0,1,0,0,0,False
0,1,0,0,1,False
0,1,0,0,1,False
0,2,0,0,1,False
0,2,0,0,0,False
0,2,0,0,0,False
0,1,0,0,0,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,0,True
