Stephen Wolfram,Roz Savage,Sebastian Wernicke,Esther Duflo,Iraola,isPartial
12,0,0,7,9,False
16,0,0,0,12,False
11,0,0,5,5,False
12,0,4,4,10,False
10,0,0,4,8,False
18,0,0,4,11,False
8,0,0,4,9,False
5,0,0,4,12,False
6,3,0,6,10,False
13,3,0,3,7,False
12,0,0,0,4,False
4,0,0,12,10,False
4,0,0,5,8,False
11,3,0,4,7,False
7,2,0,5,5,False
7,0,0,4,5,False
5,0,0,2,5,False
11,0,0,2,5,False
6,0,0,7,5,False
7,3,0,2,5,False
5,2,0,3,9,False
10,0,0,4,10,False
12,0,0,4,8,False
8,3,0,4,7,False
7,2,0,4,5,False
2,2,0,2,6,False
2,3,0,4,12,False
7,2,0,2,6,False
4,1,0,3,8,False
3,0,0,2,8,False
4,2,2,2,9,False
3,1,0,4,8,False
5,0,0,1,6,False
4,1,0,3,6,False
2,0,0,4,6,False
4,1,1,1,10,False
4,1,0,3,7,False
3,1,0,1,9,False
3,1,0,4,11,False
2,4,0,1,7,False
4,1,0,3,7,False
2,2,0,1,9,False
1,6,0,3,5,False
2,30,0,1,7,False
2,2,1,3,9,False
3,1,0,2,8,False
3,1,1,1,5,False
4,0,1,3,8,False
1,1,0,1,7,False
1,0,0,2,8,False
3,0,1,1,8,False
2,1,0,2,10,False
2,5,0,2,9,False
2,13,0,2,6,False
2,6,0,1,7,False
1,10,0,2,11,False
2,12,0,1,10,False
1,2,0,1,9,False
3,1,0,2,9,False
3,1,0,1,8,False
4,1,0,14,9,False
3,2,1,4,9,False
14,1,0,3,7,False
6,1,0,3,9,False
35,4,0,3,9,False
7,5,0,2,7,False
3,5,0,1,8,False
3,4,0,1,8,False
3,9,0,2,12,False
3,4,0,3,10,False
4,2,0,1,10,False
4,1,0,3,10,False
2,2,0,7,11,False
3,1,0,4,7,False
2,2,0,3,8,False
6,4,0,7,8,False
6,3,1,8,8,False
3,6,0,5,8,False
3,1,0,3,6,False
3,1,1,2,7,False
3,1,1,2,10,False
3,1,0,4,10,False
3,0,0,4,13,False
2,1,1,4,9,False
5,1,0,3,8,False
4,2,0,3,10,False
4,2,0,5,12,False
3,11,0,8,9,False
3,2,0,6,10,False
3,2,0,4,9,False
2,3,0,4,7,False
2,2,0,3,11,False
2,1,0,4,10,False
4,3,0,3,8,False
3,1,0,3,8,False
3,1,0,5,7,False
2,1,1,8,7,False
4,1,0,5,8,False
9,1,1,4,17,False
3,1,0,3,8,False
5,2,0,2,12,False
2,1,0,2,8,False
6,0,1,2,7,False
2,1,0,2,7,False
4,0,0,2,8,False
3,0,0,3,8,False
3,0,0,3,6,False
2,0,0,3,8,False
2,1,1,16,8,False
3,0,0,3,8,False
3,1,0,4,7,False
4,1,0,3,8,False
3,2,0,4,7,False
3,0,0,2,7,False
2,2,0,2,7,False
2,1,0,2,7,False
2,1,1,2,8,False
2,1,0,3,7,False
5,1,0,2,8,False
4,1,0,2,8,False
2,1,0,2,7,False
3,1,1,2,7,False
5,1,0,2,8,False
3,0,0,2,6,False
2,0,0,2,7,False
2,0,0,1,6,False
2,1,0,1,6,False
2,1,0,3,9,False
2,0,0,2,9,False
2,1,0,3,8,False
2,1,0,2,8,False
2,1,0,1,6,False
2,0,0,6,7,False
2,0,0,2,8,False
3,0,0,2,10,False
1,1,0,1,11,False
2,0,0,3,31,False
2,0,0,1,12,False
1,0,0,1,15,False
1,1,0,1,10,False
1,0,0,2,8,False
2,1,0,2,7,False
2,0,0,2,6,False
2,0,0,2,7,False
2,0,1,2,7,False
3,0,0,2,6,False
2,0,0,2,7,False
2,0,0,1,6,False
2,0,0,1,8,False
1,0,0,1,8,False
1,0,0,1,8,False
2,0,0,1,5,False
2,0,0,1,7,False
2,1,0,2,7,False
2,0,0,1,8,False
2,0,0,1,6,False
2,0,0,2,5,False
1,0,0,1,6,False
2,0,0,2,5,False
2,0,0,1,5,False
2,0,0,1,6,False
2,0,0,1,6,False
1,0,0,1,5,False
2,0,0,1,5,False
2,1,0,2,4,False
1,0,0,2,5,False
1,0,0,3,5,False
1,0,0,2,4,False
1,0,0,1,5,False
1,0,0,1,6,False
2,0,0,2,5,False
2,0,0,1,4,False
1,0,0,1,5,False
1,0,0,1,5,False
1,0,0,1,5,False
2,0,0,1,5,False
1,0,0,1,5,False
1,0,0,1,6,False
1,0,0,1,5,False
1,0,0,1,5,False
1,0,0,2,5,False
2,0,0,1,6,False
1,0,1,1,5,False
2,0,0,1,5,False
1,0,0,1,6,False
1,0,0,1,5,False
1,0,0,1,6,False
1,0,0,1,6,False
1,0,0,1,5,False
1,0,0,100,5,False
1,0,0,19,5,False
1,0,0,18,5,False
1,0,0,8,8,False
1,0,0,9,14,False
1,0,0,9,6,False
10,0,0,14,4,False
6,0,0,9,4,False
3,0,0,5,5,False
2,0,0,5,9,False
3,0,0,3,8,False
4,0,0,7,6,False
2,0,0,7,5,True
