Nicholas Christakis,Enric Sala,Dan Meyer,Viktor Frankl,Iraola,isPartial
0,0,10,28,13,False
0,6,13,42,17,False
0,0,0,36,8,False
0,0,9,51,14,False
5,5,7,42,12,False
0,0,12,56,16,False
0,0,13,22,13,False
5,5,13,37,18,False
0,5,11,42,14,False
10,0,14,29,10,False
0,0,18,55,6,False
0,4,22,44,15,False
0,0,4,31,12,False
4,4,12,36,10,False
3,7,8,56,8,False
0,0,10,64,8,False
0,3,5,36,8,False
0,3,9,33,7,False
0,3,10,19,7,False
0,0,8,30,7,False
0,3,6,38,13,False
0,3,11,39,14,False
0,3,7,28,12,False
0,3,6,34,10,False
0,0,4,32,7,False
3,0,5,30,9,False
0,2,5,41,17,False
0,5,3,30,9,False
0,4,6,44,11,False
2,2,7,25,12,False
2,2,3,30,13,False
0,0,9,19,11,False
0,2,5,34,9,False
0,3,5,31,9,False
0,2,4,38,9,False
2,2,3,27,15,False
2,0,7,34,11,False
0,2,4,28,14,False
1,1,3,32,16,False
0,2,5,34,10,False
1,0,5,38,10,False
1,1,3,24,13,False
3,1,4,18,7,False
1,0,11,24,10,False
3,1,5,29,14,False
1,1,5,28,12,False
1,1,4,27,7,False
1,1,4,27,12,False
2,2,6,26,10,False
1,2,4,27,12,False
3,2,3,27,12,False
1,2,4,30,14,False
2,0,6,30,13,False
0,2,5,25,8,False
1,1,6,16,10,False
1,2,5,26,16,False
1,1,6,30,15,False
2,1,7,33,13,False
2,1,2,32,13,False
3,1,3,22,12,False
3,2,8,21,13,False
2,1,8,27,13,False
2,1,6,31,10,False
2,2,8,36,13,False
2,1,8,36,13,False
1,1,6,27,10,False
1,1,7,20,11,False
1,1,5,21,12,False
1,1,8,31,17,False
3,1,10,33,14,False
1,1,7,35,15,False
2,1,7,27,14,False
2,1,8,26,16,False
1,1,8,27,11,False
3,1,5,39,11,False
2,2,9,36,12,False
3,1,16,46,12,False
1,1,13,38,12,False
1,1,8,26,8,False
1,2,8,36,10,False
4,1,9,42,15,False
2,1,7,47,15,False
1,1,9,47,18,False
2,1,10,33,13,False
2,1,8,38,12,False
1,1,9,42,14,False
2,1,6,41,18,False
2,0,8,45,13,False
2,1,5,43,14,False
2,1,7,42,13,False
1,0,6,35,11,False
1,2,9,42,15,False
1,1,9,44,15,False
1,1,9,51,11,False
1,1,10,54,12,False
1,0,7,46,11,False
1,1,7,43,11,False
2,0,9,48,11,False
1,1,9,45,25,False
1,2,8,48,12,False
1,1,8,48,18,False
1,1,8,40,12,False
1,1,7,35,11,False
1,1,7,42,11,False
1,0,11,47,11,False
2,1,9,46,11,False
2,1,7,47,9,False
1,0,6,34,11,False
1,1,9,42,11,False
1,1,9,43,11,False
1,1,8,42,10,False
1,1,9,51,11,False
1,1,11,42,10,False
1,0,9,42,10,False
1,0,8,36,11,False
1,0,18,40,11,False
1,0,11,47,12,False
1,1,12,50,11,False
2,1,11,50,11,False
1,1,7,36,11,False
1,1,8,41,11,False
1,0,9,46,11,False
1,1,9,51,12,False
1,0,12,46,8,False
1,1,8,55,10,False
1,1,7,43,9,False
1,1,7,39,9,False
1,0,10,43,13,False
1,1,12,44,14,False
1,1,13,46,12,False
1,0,9,44,12,False
1,1,8,37,9,False
1,0,10,36,10,False
1,0,10,41,11,False
1,1,8,47,14,False
1,1,9,44,16,False
1,0,9,45,46,False
0,0,7,43,18,False
1,0,6,37,22,False
1,0,10,44,15,False
1,0,10,48,12,False
1,1,10,45,10,False
14,1,9,49,9,False
4,0,6,36,10,False
2,1,8,36,11,False
1,1,9,39,8,False
1,1,9,40,10,False
1,0,9,43,9,False
1,0,7,46,12,False
1,0,7,38,11,False
1,1,5,34,12,False
1,1,7,33,7,False
4,1,11,42,10,False
2,1,9,40,10,False
2,1,8,43,12,False
1,0,8,37,9,False
1,1,6,36,8,False
1,1,7,42,9,False
1,0,7,45,8,False
1,0,6,37,8,False
2,1,7,43,9,False
1,1,5,37,8,False
1,0,4,34,8,False
1,0,6,40,7,False
1,1,8,48,6,False
9,1,27,43,7,False
3,0,7,47,7,False
2,1,7,37,5,False
2,0,7,39,7,False
2,0,7,44,8,False
2,1,5,45,8,False
2,1,7,43,6,False
1,0,6,50,7,False
1,1,4,43,8,False
1,0,4,41,7,False
2,0,10,46,7,False
1,0,7,49,8,False
1,0,8,49,9,False
1,0,7,46,7,False
1,0,5,43,7,False
1,0,6,46,7,False
1,0,4,52,8,False
20,0,6,44,7,False
15,0,5,50,7,False
5,0,5,46,9,False
4,1,4,45,7,False
3,0,4,41,8,False
3,1,6,48,9,False
2,0,6,50,7,False
1,0,7,49,7,False
2,0,6,52,8,False
2,1,5,42,7,False
2,0,4,49,11,False
2,0,5,51,21,False
9,0,5,61,9,False
4,1,5,100,6,False
1,1,5,67,6,False
2,1,3,58,7,False
2,1,3,59,13,False
2,1,5,52,12,False
2,2,6,55,8,False
3,1,5,51,7,True
