William Li,Graham Hill,Dee Boersma,Richard Sears,Iraola,isPartial
19,28,0,14,28,False
28,65,0,32,37,False
0,40,0,17,17,False
20,45,13,27,31,False
11,84,0,38,27,False
11,54,0,17,35,False
16,43,0,20,28,False
11,37,0,30,39,False
20,58,0,31,31,False
21,53,10,16,21,False
18,42,0,25,14,False
10,49,0,29,33,False
23,51,0,26,26,False
12,48,0,21,23,False
11,63,0,23,18,False
17,42,0,28,17,False
11,59,0,32,17,False
8,83,0,40,15,False
15,38,0,8,15,False
11,52,0,15,15,False
11,60,0,31,29,False
16,90,0,27,31,False
19,59,6,29,27,False
16,35,0,27,23,False
13,29,5,29,16,False
11,46,0,20,20,False
24,45,5,14,38,False
10,55,0,14,19,False
11,75,5,30,25,False
16,51,0,28,26,False
16,56,0,11,29,False
5,46,0,12,24,False
10,32,4,16,20,False
11,56,4,22,20,False
15,61,0,23,21,False
10,39,4,21,32,False
8,46,3,24,23,False
16,35,4,15,30,False
10,47,0,19,34,False
8,36,3,16,21,False
6,39,3,22,22,False
9,47,0,10,28,False
9,41,0,19,16,False
8,47,3,7,21,False
5,34,0,13,30,False
6,53,0,15,27,False
9,47,0,13,16,False
13,32,0,19,26,False
9,39,0,16,22,False
5,38,0,19,27,False
8,56,0,14,26,False
9,37,2,18,32,False
8,60,0,17,29,False
11,58,0,19,18,False
8,42,0,15,21,False
4,42,0,9,34,False
5,39,2,12,33,False
5,37,0,13,29,False
12,40,2,13,28,False
11,41,0,17,27,False
10,58,2,16,28,False
5,44,0,14,29,False
11,47,2,8,23,False
12,62,2,18,29,False
9,40,2,9,28,False
12,54,0,14,23,False
7,44,0,10,25,False
9,44,2,14,26,False
10,44,1,16,37,False
10,47,1,6,32,False
11,44,1,12,32,False
8,39,0,10,32,False
12,40,0,9,35,False
13,36,3,10,23,False
10,43,0,11,25,False
11,47,1,9,26,False
19,47,1,21,26,False
18,45,0,17,27,False
9,38,1,14,18,False
13,36,1,10,23,False
23,48,0,17,33,False
13,40,0,11,33,False
11,37,0,17,41,False
13,32,2,15,29,False
14,33,0,21,26,False
15,84,0,12,31,False
14,44,0,9,39,False
12,43,1,8,29,False
11,50,0,15,31,False
11,40,0,12,28,False
10,47,0,11,24,False
9,46,1,10,34,False
14,56,0,11,32,False
11,55,0,11,25,False
12,46,0,13,27,False
10,40,0,12,23,False
11,41,1,13,24,False
12,38,0,8,25,False
10,45,0,10,55,False
13,44,1,8,27,False
14,48,0,11,39,False
12,36,0,8,26,False
15,40,1,10,24,False
13,39,1,12,24,False
10,51,1,8,25,False
11,39,0,7,25,False
9,32,0,12,20,False
10,30,1,11,24,False
11,43,1,11,25,False
9,36,1,11,25,False
9,84,1,6,21,False
13,46,1,7,25,False
12,48,1,8,21,False
10,44,0,7,22,False
9,44,0,10,23,False
11,42,1,7,23,False
16,42,1,10,25,False
12,43,0,10,24,False
13,41,1,12,24,False
10,42,0,12,24,False
11,44,0,11,24,False
9,48,1,10,23,False
11,45,0,9,26,False
9,40,0,10,18,False
11,52,0,8,21,False
12,44,0,7,19,False
10,47,0,8,20,False
11,48,0,6,29,False
13,50,0,7,30,False
7,47,1,8,26,False
8,48,1,9,26,False
6,42,0,7,19,False
10,75,1,10,22,False
10,39,1,10,25,False
15,66,0,6,31,False
11,42,0,8,36,False
9,42,0,7,100,False
11,37,0,6,40,False
9,39,0,6,48,False
11,39,0,8,33,False
10,42,0,11,27,False
9,43,0,9,22,False
8,41,0,10,20,False
9,38,0,6,22,False
8,33,0,7,24,False
10,41,1,6,18,False
12,33,0,5,21,False
10,39,1,7,20,False
10,39,0,7,26,False
8,33,0,6,24,False
9,33,0,5,27,False
10,34,0,5,16,False
11,41,0,8,22,False
8,34,1,6,22,False
10,40,0,7,27,False
8,39,0,8,20,False
9,37,0,6,17,False
11,39,0,8,19,False
9,38,0,6,18,False
11,42,0,6,17,False
11,49,0,6,19,False
10,37,0,4,18,False
10,37,0,6,17,False
9,43,0,6,15,False
7,42,0,5,14,False
6,37,0,8,14,False
7,40,0,7,15,False
8,37,0,7,11,False
7,34,0,5,16,False
8,43,0,5,18,False
8,37,0,5,17,False
9,31,1,4,12,False
10,35,0,5,16,False
7,40,0,4,17,False
9,34,0,6,15,False
8,32,0,5,16,False
9,45,0,6,17,False
9,42,0,9,19,False
7,37,0,5,15,False
7,34,0,4,15,False
9,64,0,4,15,False
8,37,0,4,18,False
15,33,0,4,15,False
17,36,0,4,16,False
12,41,0,4,19,False
14,32,0,4,15,False
10,33,0,3,19,False
13,33,0,5,19,False
16,33,0,4,15,False
12,73,0,4,16,False
9,38,0,6,17,False
10,29,0,5,15,False
14,30,0,5,25,False
14,32,0,3,46,False
14,28,0,4,20,False
10,36,0,3,13,False
10,31,0,5,13,False
12,36,0,3,16,False
16,35,0,4,28,False
13,36,0,2,26,False
15,40,0,5,19,False
14,36,0,2,16,True
