Ellen  Gustafson,Carl Safina,Matt Ridley,Ethan Zuckerman,Iraola,isPartial
0,0,44,0,15,False
0,0,29,0,44,False
0,0,36,0,18,False
0,14,21,0,42,False
0,0,24,0,30,False
0,12,18,0,42,False
0,0,25,0,25,False
0,0,12,0,58,False
0,0,21,11,32,False
0,0,33,0,11,False
0,0,33,11,11,False
0,10,20,30,36,False
0,9,22,9,22,False
0,9,28,0,23,False
0,8,31,8,12,False
0,17,31,0,18,False
0,8,19,8,23,False
0,0,27,0,16,False
0,8,24,8,20,False
0,0,31,0,8,False
0,0,21,0,28,False
0,7,20,7,39,False
0,7,19,6,39,False
0,0,32,6,22,False
0,0,11,0,14,False
0,0,17,0,20,False
0,0,15,0,40,False
0,0,24,0,19,False
0,0,15,5,32,False
5,10,13,5,21,False
0,5,10,0,28,False
0,5,19,5,21,False
0,5,34,0,18,False
0,12,8,6,16,False
0,4,12,0,24,False
0,8,12,12,39,False
4,0,5,7,29,False
0,0,9,4,38,False
0,3,12,3,35,False
3,3,16,7,17,False
0,3,10,3,24,False
3,3,6,3,25,False
0,3,9,3,12,False
0,0,19,4,23,False
0,6,17,6,28,False
0,3,28,10,33,False
0,0,16,5,17,False
0,0,13,8,29,False
0,0,8,3,22,False
0,0,10,4,30,False
2,4,9,2,23,False
2,7,10,3,36,False
2,7,6,4,26,False
2,2,7,2,18,False
2,2,3,2,22,False
2,0,10,4,41,False
0,2,12,2,35,False
0,2,10,4,33,False
2,2,13,6,31,False
0,4,8,0,31,False
0,3,17,3,29,False
0,5,9,3,30,False
2,3,10,2,29,False
0,2,12,5,31,False
2,2,14,2,32,False
0,2,12,3,23,False
0,3,16,2,27,False
0,2,9,3,29,False
0,3,10,3,39,False
0,1,6,4,36,False
1,0,13,3,33,False
2,0,10,1,33,False
0,0,10,1,39,False
0,0,12,2,24,False
2,1,15,2,21,False
1,4,12,3,28,False
3,2,22,1,30,False
0,4,32,2,28,False
8,5,25,7,18,False
4,2,18,3,26,False
1,2,19,4,31,False
2,2,17,1,32,False
0,0,18,3,41,False
2,2,18,4,31,False
1,5,15,3,26,False
2,4,18,4,31,False
1,2,14,2,36,False
2,5,15,3,28,False
0,3,14,2,33,False
1,1,16,3,28,False
1,2,9,4,25,False
3,5,13,1,33,False
3,1,12,2,32,False
1,2,14,3,25,False
2,1,23,3,28,False
2,1,19,3,25,False
1,2,13,1,22,False
2,2,14,2,27,False
2,1,17,3,52,False
1,2,10,3,28,False
1,1,10,2,37,False
1,1,9,2,26,False
3,1,14,1,24,False
2,0,18,2,23,False
1,4,20,1,23,False
1,1,15,1,23,False
1,3,16,0,21,False
2,2,24,1,24,False
1,1,16,1,28,False
1,1,14,2,29,False
1,2,16,1,20,False
1,2,14,1,24,False
1,1,10,2,23,False
1,1,11,3,24,False
1,1,11,3,22,False
1,1,25,2,23,False
1,2,21,2,24,False
1,1,16,2,24,False
2,2,14,4,25,False
1,1,10,2,26,False
3,1,13,1,22,False
1,2,7,1,24,False
2,0,13,1,27,False
1,2,10,3,20,False
2,1,14,1,20,False
2,1,12,1,21,False
2,1,11,1,22,False
2,1,12,15,30,False
2,1,21,3,33,False
1,1,17,1,28,False
1,1,11,3,29,False
1,0,10,3,19,False
1,2,21,2,22,False
0,2,12,1,27,False
0,1,13,2,33,False
1,1,9,2,36,False
1,0,9,2,100,False
1,1,10,2,40,False
1,4,11,2,49,False
0,1,15,1,35,False
0,3,19,2,28,False
0,3,31,1,23,False
1,6,26,3,19,False
1,5,26,2,19,False
1,2,23,2,24,False
0,3,16,0,19,False
1,2,13,1,22,False
1,3,13,3,20,False
0,3,11,3,24,False
1,2,14,1,25,False
0,2,12,1,27,False
0,3,13,1,16,False
0,2,9,1,22,False
0,2,15,1,24,False
0,2,12,2,29,False
1,1,13,1,19,False
1,3,11,1,19,False
0,3,16,2,21,False
0,2,9,1,21,False
0,2,12,2,19,False
1,2,10,2,17,False
0,2,9,0,19,False
1,1,8,1,17,False
1,2,9,1,14,False
0,2,14,1,15,False
1,2,11,2,14,False
1,2,12,3,15,False
0,1,13,0,12,False
1,1,12,2,16,False
0,2,14,2,20,False
0,3,7,2,17,False
1,2,10,1,14,False
0,3,9,2,18,False
0,1,8,1,16,False
0,2,6,6,17,False
0,1,10,1,17,False
0,1,14,1,17,False
0,2,12,3,19,False
1,1,10,1,16,False
0,2,10,0,17,False
0,0,7,1,15,False
1,2,7,1,17,False
0,1,7,1,15,False
1,2,8,2,15,False
0,2,7,2,21,False
0,2,5,1,15,False
0,1,8,1,19,False
0,3,7,6,18,False
0,2,14,5,16,False
1,2,13,13,16,False
1,1,11,3,17,False
1,1,14,1,17,False
0,2,11,3,25,False
1,2,11,2,50,False
0,1,15,1,21,False
0,2,12,3,13,False
0,3,20,2,12,False
0,2,14,4,18,False
1,1,15,1,31,False
1,2,13,2,26,False
0,2,18,2,19,False
0,1,12,2,16,True
