Johan Rockstrom,His Holiness the Karmapa,Rachel Sussman,Alwar Balasubramaniam,Iraola,isPartial
0,0,0,0,15,False
0,0,0,0,44,False
0,0,18,0,18,False
0,0,0,0,42,False
0,0,12,0,30,False
0,0,0,0,42,False
0,0,0,0,25,False
12,0,12,0,58,False
0,0,0,0,32,False
0,0,0,0,11,False
0,0,11,0,11,False
0,0,10,0,36,False
0,0,9,0,22,False
0,0,9,0,23,False
0,0,8,0,12,False
0,9,9,0,18,False
0,0,0,0,23,False
0,0,0,0,16,False
0,0,0,0,20,False
0,0,0,0,8,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,39,False
0,0,0,0,22,False
0,0,0,0,14,False
0,0,12,0,20,False
0,0,0,0,40,False
0,0,0,0,19,False
0,0,0,0,32,False
0,0,0,0,21,False
0,0,0,0,28,False
0,5,5,0,21,False
0,4,0,0,18,False
0,0,4,0,16,False
0,0,4,0,24,False
0,0,0,0,39,False
0,0,4,4,29,False
4,0,4,0,38,False
0,0,3,0,35,False
0,0,0,0,17,False
0,0,3,0,24,False
0,0,3,0,25,False
0,0,0,0,12,False
0,0,3,0,23,False
0,0,0,0,28,False
0,3,0,0,33,False
0,0,2,0,17,False
0,3,5,0,29,False
0,0,0,0,22,False
0,0,0,0,30,False
0,0,2,0,23,False
0,4,3,0,36,False
0,0,2,0,26,False
0,2,2,0,18,False
0,0,0,0,22,False
0,0,0,0,41,False
0,0,2,2,35,False
0,0,0,2,33,False
0,0,2,0,31,False
0,0,2,0,31,False
0,0,0,0,29,False
0,0,2,0,30,False
0,0,3,0,29,False
0,0,2,0,31,False
0,0,0,0,32,False
2,0,0,0,23,False
0,0,0,0,27,False
0,0,2,0,29,False
0,0,1,1,39,False
0,0,1,0,36,False
0,1,2,0,33,False
0,0,1,0,33,False
1,0,0,0,39,False
1,0,0,0,24,False
1,1,1,0,21,False
0,1,0,0,28,False
0,0,3,0,30,False
0,0,0,0,28,False
1,1,5,0,18,False
1,0,2,0,26,False
2,2,5,2,31,False
2,2,4,0,32,False
2,1,2,1,41,False
0,0,2,1,31,False
1,1,2,2,26,False
2,0,3,2,31,False
1,0,1,0,36,False
1,0,1,0,28,False
0,0,1,0,33,False
1,0,1,1,28,False
1,2,0,0,25,False
0,0,2,0,33,False
1,0,3,1,32,False
2,1,2,1,25,False
0,0,1,1,28,False
1,1,1,0,25,False
0,0,4,0,22,False
2,0,2,1,27,False
0,0,1,1,52,False
2,0,2,1,28,False
1,0,1,0,37,False
1,0,1,0,26,False
1,0,2,1,24,False
1,0,1,1,23,False
1,1,1,1,23,False
1,1,1,0,23,False
1,1,0,1,21,False
1,0,1,1,24,False
1,0,1,0,28,False
1,1,2,0,29,False
1,0,2,1,20,False
1,0,1,0,24,False
1,0,1,1,23,False
1,1,1,1,24,False
1,2,1,0,22,False
1,0,1,1,23,False
1,1,1,0,24,False
1,1,1,1,24,False
0,1,1,0,25,False
0,1,1,1,26,False
1,1,1,0,22,False
1,0,1,0,24,False
0,1,1,0,27,False
0,0,8,1,20,False
1,1,3,1,20,False
2,0,2,0,21,False
1,1,1,1,22,False
1,0,2,0,30,False
0,0,2,0,33,False
1,0,2,1,28,False
0,0,2,1,29,False
1,0,1,0,19,False
1,0,1,0,22,False
1,0,1,1,27,False
2,1,1,0,33,False
1,1,1,0,36,False
2,0,2,0,100,False
1,0,2,0,40,False
1,1,1,0,49,False
1,0,1,0,35,False
1,1,1,0,28,False
0,0,2,0,23,False
1,0,1,0,19,False
1,0,2,0,19,False
1,0,2,0,24,False
0,0,2,0,19,False
0,0,0,1,22,False
0,1,1,0,20,False
1,0,1,0,24,False
0,0,3,0,25,False
0,0,2,0,27,False
1,0,1,0,16,False
0,0,1,0,22,False
1,0,2,0,24,False
1,0,2,0,29,False
0,0,1,0,19,False
1,0,1,0,19,False
1,0,2,0,21,False
1,0,1,0,21,False
0,0,1,0,19,False
0,0,1,0,17,False
1,0,2,0,19,False
0,0,0,0,17,False
0,0,1,0,14,False
1,0,1,0,15,False
1,0,1,0,14,False
0,1,1,0,15,False
1,1,1,0,12,False
1,0,1,0,16,False
1,0,0,0,20,False
0,0,1,0,17,False
0,0,1,0,14,False
1,0,2,0,18,False
0,0,1,0,16,False
1,0,1,0,17,False
1,1,1,0,17,False
1,0,1,0,17,False
1,1,1,0,19,False
1,0,1,0,16,False
1,0,1,0,17,False
0,0,1,0,15,False
0,0,1,0,17,False
0,0,0,0,15,False
1,0,1,0,15,False
0,0,1,0,21,False
0,1,2,0,15,False
0,0,1,0,19,False
0,0,2,0,18,False
0,0,0,0,16,False
0,0,1,0,16,False
0,0,1,0,17,False
0,0,0,0,17,False
1,0,2,0,25,False
1,0,1,0,50,False
0,0,1,0,21,False
1,0,1,0,13,False
1,0,1,0,12,False
0,0,3,0,18,False
1,0,1,0,31,False
1,0,1,0,26,False
0,0,1,0,19,False
1,0,1,0,16,True
