Carne Ross,Ben Cameron,Rob Dunbar,Jessa Gamble,Iraola,isPartial
0,37,0,0,15,False
0,51,0,0,44,False
18,44,0,0,18,False
14,35,0,0,42,False
12,24,0,0,30,False
12,24,12,0,42,False
0,25,0,0,25,False
0,17,0,0,58,False
11,11,0,0,32,False
0,77,0,0,11,False
0,33,0,0,11,False
0,20,10,0,36,False
9,22,0,0,22,False
0,38,9,0,23,False
8,20,0,0,12,False
0,40,0,0,18,False
8,27,0,0,23,False
8,16,23,0,16,False
8,48,8,0,20,False
0,27,0,0,8,False
7,17,0,0,28,False
6,16,0,0,39,False
6,26,0,0,39,False
0,29,6,0,22,False
0,14,6,0,14,False
6,43,0,0,20,False
0,22,5,0,40,False
5,19,0,0,19,False
5,12,0,0,32,False
5,23,0,0,21,False
5,20,0,0,28,False
5,14,0,0,21,False
0,16,0,0,18,False
0,14,4,0,16,False
4,14,4,0,24,False
17,17,0,0,39,False
4,27,0,0,29,False
8,21,4,0,38,False
7,22,7,0,35,False
0,31,0,0,17,False
3,22,3,0,24,False
3,17,3,0,25,False
3,14,0,0,12,False
0,20,0,0,23,False
0,28,3,0,28,False
3,29,0,0,33,False
0,33,0,0,17,False
0,21,3,0,29,False
3,20,3,0,22,False
0,22,2,0,30,False
0,17,3,0,23,False
2,14,2,0,36,False
0,17,0,0,26,False
2,26,0,0,18,False
0,21,7,0,22,False
0,20,2,0,41,False
3,15,0,0,35,False
0,24,2,0,33,False
2,8,0,0,31,False
2,21,0,0,31,False
2,19,2,0,29,False
0,19,6,0,30,False
2,27,2,0,29,False
2,29,2,0,31,False
0,19,3,0,32,False
3,24,0,0,23,False
4,26,0,0,27,False
3,15,3,0,29,False
3,20,2,0,39,False
3,13,0,0,36,False
2,16,2,0,33,False
1,21,1,0,33,False
3,31,4,0,39,False
1,26,1,0,24,False
2,22,0,0,21,False
0,22,1,0,28,False
1,30,1,0,30,False
3,18,1,0,28,False
4,23,1,0,18,False
1,23,1,0,26,False
3,26,2,11,31,False
2,17,2,4,32,False
2,29,1,3,41,False
2,25,2,0,31,False
2,25,1,1,26,False
5,24,2,1,31,False
3,22,0,0,36,False
1,17,1,0,28,False
2,17,2,1,33,False
3,22,1,0,28,False
2,23,0,1,25,False
1,25,3,0,33,False
3,20,0,1,32,False
3,19,2,1,25,False
2,25,2,2,28,False
5,21,2,0,25,False
3,19,1,1,22,False
5,22,1,0,27,False
2,17,1,1,52,False
10,25,2,1,28,False
8,24,1,0,37,False
3,20,1,1,26,False
1,25,1,0,24,False
1,24,0,0,23,False
2,25,3,0,23,False
2,15,1,0,23,False
3,24,1,1,21,False
3,19,1,1,24,False
1,25,1,1,28,False
2,27,1,1,29,False
3,21,2,0,20,False
2,21,2,1,24,False
2,16,1,2,23,False
2,19,0,0,24,False
2,25,1,1,22,False
3,32,0,0,23,False
2,25,1,1,24,False
1,24,1,1,24,False
2,21,2,0,25,False
2,23,1,1,26,False
3,25,1,1,22,False
1,28,1,1,24,False
1,22,0,1,27,False
2,24,1,1,20,False
1,25,1,0,20,False
3,29,1,1,21,False
1,26,0,0,22,False
1,33,2,0,30,False
2,31,1,1,33,False
2,21,2,1,28,False
2,22,1,3,29,False
2,31,1,1,19,False
3,34,0,1,22,False
2,24,0,1,27,False
2,28,1,0,33,False
2,26,0,1,36,False
2,23,1,0,100,False
1,25,1,1,40,False
2,32,1,1,49,False
1,40,0,0,35,False
0,37,1,0,28,False
3,35,1,0,23,False
1,23,0,0,19,False
1,26,1,0,19,False
1,32,0,1,24,False
2,28,0,1,19,False
1,28,1,0,22,False
2,25,2,0,20,False
1,22,1,0,24,False
2,25,1,0,25,False
2,30,0,0,27,False
1,21,0,1,16,False
2,20,0,0,22,False
1,21,0,0,24,False
2,18,0,0,29,False
1,20,1,0,19,False
1,25,1,1,19,False
1,20,1,0,21,False
2,21,1,1,21,False
2,15,1,0,19,False
2,18,1,0,17,False
2,21,1,0,19,False
6,27,1,0,17,False
5,27,0,1,14,False
2,19,1,1,15,False
3,20,1,0,14,False
1,20,1,1,15,False
2,25,0,1,12,False
1,24,0,0,16,False
2,20,0,0,20,False
2,21,1,1,17,False
1,21,1,0,14,False
2,19,1,0,18,False
1,18,0,0,16,False
2,19,0,0,17,False
2,18,1,0,17,False
2,17,1,0,17,False
2,15,0,0,19,False
2,15,1,0,16,False
1,21,1,0,17,False
1,18,0,0,15,False
2,23,1,2,17,False
1,16,1,0,15,False
1,18,1,0,15,False
1,13,1,0,21,False
1,16,1,0,15,False
1,39,0,0,19,False
2,29,0,0,18,False
2,19,0,0,16,False
1,19,1,1,16,False
2,17,1,0,17,False
1,20,0,1,17,False
2,19,0,0,25,False
3,22,0,0,50,False
1,16,0,0,21,False
1,23,1,0,13,False
2,24,2,0,12,False
2,19,1,0,18,False
2,20,1,0,31,False
1,26,0,0,26,False
2,18,0,1,19,False
1,20,0,0,16,True
