Miwa Matreyek,Tom Chatfield,David Bismark,Greg Stone,Iraola,isPartial
0,14,0,42,28,False
0,0,0,14,37,False
0,0,0,40,17,False
0,0,0,27,31,False
0,0,0,19,27,False
0,0,0,27,35,False
0,0,0,24,28,False
0,11,0,22,39,False
0,0,0,21,31,False
0,0,0,28,21,False
0,0,0,16,14,False
0,0,0,16,33,False
0,0,0,17,26,False
0,0,0,15,23,False
0,0,8,20,18,False
0,0,0,14,17,False
0,0,0,27,17,False
0,0,11,23,15,False
0,0,0,26,15,False
0,0,7,17,15,False
0,0,0,9,29,False
0,0,0,23,31,False
0,6,0,17,27,False
0,0,0,10,23,False
0,0,0,13,16,False
0,0,0,17,20,False
5,5,7,19,38,False
0,0,0,7,19,False
0,0,5,13,25,False
0,0,5,13,26,False
0,0,0,20,29,False
0,0,0,17,24,False
0,0,9,13,20,False
0,0,4,11,20,False
0,0,4,9,21,False
0,4,0,8,32,False
0,3,0,12,23,False
0,0,4,12,30,False
0,0,0,17,34,False
3,3,3,12,21,False
3,0,0,10,22,False
3,3,0,10,28,False
3,3,3,29,16,False
0,3,0,7,21,False
0,3,3,10,30,False
2,0,4,13,27,False
0,0,2,15,16,False
0,0,3,11,26,False
0,0,4,12,22,False
0,0,2,15,27,False
0,0,2,16,26,False
2,0,4,22,32,False
2,2,4,13,29,False
2,2,0,11,18,False
0,0,2,16,21,False
0,0,2,15,34,False
0,0,2,10,33,False
2,4,2,14,29,False
0,2,2,12,28,False
0,2,0,15,27,False
0,2,2,16,28,False
0,2,2,15,29,False
0,2,2,10,23,False
0,3,2,11,29,False
0,2,3,8,28,False
0,2,3,13,23,False
2,2,2,16,25,False
2,0,0,13,26,False
3,1,3,12,37,False
1,0,1,16,32,False
0,3,1,9,32,False
0,1,1,12,32,False
0,3,0,17,35,False
0,3,2,15,23,False
0,1,1,9,25,False
1,1,1,14,26,False
1,1,0,16,26,False
1,2,1,14,27,False
1,1,2,10,18,False
1,1,2,11,23,False
1,1,3,12,33,False
1,2,2,12,33,False
7,4,3,16,41,False
3,3,1,12,29,False
2,2,1,10,26,False
1,1,1,16,31,False
2,1,1,10,39,False
3,2,1,12,29,False
2,1,1,10,31,False
1,2,1,11,28,False
2,1,0,10,24,False
2,1,1,13,34,False
2,3,1,11,32,False
1,3,2,11,25,False
1,1,2,9,27,False
1,1,1,10,23,False
2,1,1,11,24,False
2,1,1,12,25,False
1,2,1,11,55,False
1,1,2,11,27,False
2,1,1,13,39,False
2,1,2,13,26,False
1,1,1,12,24,False
1,1,1,13,24,False
2,1,1,9,25,False
1,2,1,11,25,False
1,2,1,9,20,False
1,1,1,9,24,False
2,1,1,11,25,False
2,1,1,9,25,False
1,2,1,11,21,False
1,2,0,10,25,False
1,1,1,10,21,False
1,1,1,11,22,False
1,1,1,10,23,False
2,1,1,12,23,False
1,1,1,13,25,False
1,1,1,12,24,False
1,1,1,8,24,False
1,1,1,10,24,False
1,1,0,10,24,False
1,1,1,12,23,False
2,1,1,11,26,False
0,1,1,13,18,False
1,1,0,11,21,False
1,0,1,10,19,False
1,1,1,14,20,False
1,1,1,13,29,False
1,1,1,9,30,False
0,0,0,7,26,False
1,1,1,8,26,False
1,1,1,7,19,False
1,1,1,13,22,False
1,1,1,7,25,False
0,1,1,10,31,False
2,1,0,9,36,False
1,1,1,11,100,False
0,1,0,8,40,False
1,1,0,11,48,False
0,1,0,11,33,False
1,2,1,8,27,False
1,1,1,9,22,False
0,1,0,8,20,False
0,1,1,9,22,False
1,1,0,6,24,False
0,1,0,9,18,False
0,1,1,9,21,False
0,1,1,9,20,False
0,1,1,12,26,False
0,1,1,8,24,False
1,1,1,12,27,False
1,0,0,16,16,False
1,1,1,10,22,False
1,0,0,9,22,False
0,0,1,9,27,False
0,1,0,12,20,False
0,1,1,12,17,False
0,0,1,10,19,False
0,1,1,10,18,False
1,1,1,8,17,False
1,0,1,10,19,False
0,1,1,9,18,False
0,1,0,7,17,False
1,1,1,8,15,False
0,1,1,10,14,False
0,1,0,8,14,False
0,1,0,7,15,False
0,1,0,7,11,False
0,1,0,7,16,False
1,1,1,9,18,False
0,1,1,8,17,False
0,1,0,11,12,False
0,1,1,6,16,False
0,1,1,7,17,False
0,1,0,6,15,False
0,1,0,11,16,False
0,0,0,9,17,False
0,1,1,6,19,False
0,1,0,7,15,False
0,0,1,8,15,False
0,0,1,8,15,False
0,1,0,11,18,False
0,0,1,9,15,False
0,1,1,7,16,False
0,1,1,8,19,False
1,1,1,5,15,False
0,1,0,9,19,False
0,1,0,7,19,False
0,1,0,9,15,False
1,1,0,8,16,False
0,1,1,10,17,False
0,1,0,7,15,False
1,1,1,6,25,False
0,1,1,6,46,False
1,0,0,7,20,False
0,1,1,6,13,False
0,1,0,6,13,False
0,1,1,7,16,False
0,1,0,7,28,False
0,1,0,9,26,False
0,1,0,6,19,False
0,1,1,6,16,True
