Kim Gorgens,Zainab Salbi,Jason Fried,Dan Phillips,Iraola,isPartial
0,0,14,28,28,False
0,0,0,18,37,False
0,0,0,51,17,False
0,0,0,13,31,False
0,23,11,11,27,False
0,0,0,27,35,False
0,0,0,36,28,False
0,0,11,28,39,False
0,0,10,10,31,False
0,0,0,10,21,False
0,0,0,10,14,False
0,10,0,16,33,False
0,26,13,9,26,False
0,0,12,13,23,False
0,15,8,23,18,False
0,0,17,13,17,False
0,7,7,17,17,False
0,15,8,12,15,False
0,8,0,25,15,False
0,0,15,7,15,False
0,7,11,11,29,False
0,9,10,23,31,False
0,12,9,16,27,False
0,6,12,21,23,False
0,8,13,30,16,False
0,11,8,18,20,False
0,5,17,24,38,False
0,5,10,14,19,False
0,0,5,22,25,False
0,5,7,20,26,False
0,0,10,23,29,False
0,0,5,11,24,False
0,10,4,19,20,False
0,7,10,16,20,False
0,6,4,15,21,False
0,6,4,13,32,False
0,14,5,15,23,False
0,5,5,18,30,False
0,8,6,12,34,False
0,3,3,18,21,False
0,5,5,11,22,False
0,4,9,7,28,False
0,4,6,16,16,False
0,10,5,15,21,False
0,3,3,14,30,False
2,5,6,7,27,False
0,5,3,15,16,False
0,4,4,9,26,False
0,2,3,7,22,False
2,5,9,8,27,False
0,5,8,9,26,False
0,4,6,13,32,False
0,2,6,14,29,False
0,0,6,16,18,False
0,4,8,14,21,False
0,3,4,19,34,False
0,2,8,4,33,False
0,3,6,14,29,False
0,2,9,16,28,False
0,5,7,10,27,False
0,3,8,11,28,False
0,7,9,11,29,False
0,3,8,11,23,False
2,7,5,12,29,False
0,4,5,11,28,False
0,3,8,8,23,False
0,2,7,11,25,False
0,5,7,15,26,False
0,4,4,19,37,False
0,3,7,17,32,False
0,3,14,17,32,False
0,4,10,13,32,False
0,5,7,16,35,False
0,3,8,11,23,False
0,4,22,9,25,False
0,5,20,11,26,False
0,2,17,15,26,False
0,4,15,14,27,False
0,2,13,11,18,False
2,1,15,9,23,False
2,3,13,13,33,False
0,2,15,12,33,False
2,7,17,21,41,False
2,5,32,22,29,False
1,5,15,17,26,False
1,6,14,15,31,False
2,7,17,11,39,False
1,2,11,18,29,False
1,6,14,12,31,False
0,4,12,13,28,False
1,2,11,11,24,False
0,3,13,10,34,False
0,4,8,11,32,False
1,4,12,15,25,False
0,2,11,10,27,False
1,4,9,11,23,False
1,3,10,9,24,False
1,4,13,10,25,False
0,3,9,11,55,False
1,3,10,12,27,False
1,2,7,14,39,False
1,3,11,14,26,False
0,2,6,10,24,False
0,2,10,12,24,False
1,2,15,11,25,False
1,4,9,11,25,False
0,3,12,9,20,False
0,2,7,8,24,False
0,3,8,11,25,False
0,1,10,12,25,False
1,3,10,12,21,False
0,5,10,12,25,False
0,2,10,10,21,False
0,2,12,15,22,False
0,2,8,11,23,False
0,1,11,10,23,False
1,3,11,11,25,False
0,2,10,16,24,False
0,1,11,13,24,False
0,2,9,14,24,False
0,2,9,12,24,False
1,1,13,10,23,False
0,2,8,11,26,False
0,2,7,8,18,False
0,2,10,11,21,False
0,2,9,10,19,False
1,2,9,9,20,False
1,2,6,10,29,False
1,2,7,11,30,False
0,2,9,9,26,False
0,3,5,10,26,False
0,1,4,8,19,False
0,2,8,9,22,False
0,3,10,9,25,False
0,2,7,9,31,False
0,3,7,12,36,False
0,1,7,10,100,False
0,2,5,7,40,False
0,1,6,10,48,False
0,2,8,8,33,False
0,1,7,9,27,False
0,3,7,9,22,False
0,8,7,10,20,False
0,5,7,9,22,False
0,3,7,8,24,False
0,3,8,8,18,False
0,2,10,8,21,False
0,2,7,9,20,False
1,3,7,15,26,False
0,2,8,8,24,False
0,1,7,8,27,False
0,2,8,6,16,False
0,4,10,7,22,False
0,3,6,8,22,False
0,4,7,7,27,False
0,2,6,7,20,False
0,2,10,7,17,False
0,2,8,9,19,False
1,2,9,10,18,False
0,2,8,8,17,False
0,2,8,10,19,False
0,2,8,9,18,False
0,2,9,7,17,False
0,1,6,6,15,False
0,1,9,8,14,False
0,1,9,9,14,False
0,3,8,8,15,False
0,3,5,7,11,False
0,3,7,7,16,False
0,4,7,6,18,False
0,3,6,6,17,False
0,2,5,7,12,False
0,3,5,9,16,False
0,2,8,9,17,False
0,2,13,7,15,False
1,5,13,7,16,False
0,4,9,8,17,False
0,4,13,6,19,False
0,3,7,7,15,False
0,2,11,6,15,False
0,3,9,7,15,False
0,2,7,7,18,False
0,3,6,7,15,False
0,3,9,6,16,False
0,3,6,8,19,False
0,1,7,6,15,False
0,2,8,6,19,False
0,1,5,7,19,False
0,1,6,6,15,False
0,1,6,8,16,False
1,1,6,6,17,False
0,1,5,7,15,False
0,2,5,7,25,False
0,1,9,8,46,False
0,1,9,5,20,False
0,1,9,5,13,False
1,1,7,6,13,False
0,2,10,5,16,False
0,0,6,8,28,False
0,2,6,5,26,False
0,1,5,6,19,False
0,1,4,7,16,True
