Arthur Potts Dawson,Halla Tómasdóttir,Tony Porter,Kiran Bedi,Iraola,isPartial
0,0,0,4,3,False
0,0,3,2,4,False
0,0,2,0,2,False
0,0,0,2,3,False
0,1,1,2,3,False
0,0,1,2,3,False
0,0,1,3,3,False
0,0,2,2,4,False
1,0,1,2,3,False
0,0,4,3,2,False
0,0,4,1,1,False
0,0,3,3,3,False
0,0,2,3,3,False
0,0,2,3,2,False
0,0,2,1,2,False
0,0,1,3,2,False
0,1,1,3,2,False
0,0,1,3,2,False
0,1,2,3,2,False
0,0,1,1,1,False
0,0,2,2,3,False
0,0,1,3,3,False
0,0,2,2,3,False
0,0,1,2,2,False
0,0,2,1,2,False
0,0,1,1,2,False
0,0,1,1,4,False
0,0,1,1,2,False
0,0,1,2,3,False
0,0,1,2,3,False
0,0,0,3,3,False
0,0,1,2,2,False
0,0,2,2,2,False
0,0,1,2,2,False
0,0,1,4,2,False
0,0,1,2,3,False
0,0,1,2,2,False
0,0,2,1,3,False
0,0,2,2,3,False
0,0,1,2,2,False
0,0,1,2,2,False
0,0,1,3,3,False
0,0,1,5,2,False
0,0,1,3,2,False
0,0,0,2,3,False
0,0,1,2,3,False
0,0,0,5,2,False
0,0,1,4,3,False
0,0,1,6,2,False
0,0,1,4,3,False
0,0,1,3,3,False
0,0,1,2,3,False
0,0,1,2,3,False
0,0,1,3,2,False
0,0,1,3,2,False
0,0,1,4,3,False
0,0,1,4,3,False
0,0,1,2,3,False
0,0,1,2,3,False
0,0,0,6,3,False
0,0,1,5,3,False
0,0,0,4,3,False
0,0,1,4,2,False
0,0,1,4,3,False
0,0,0,4,3,False
0,0,0,4,2,False
0,0,1,4,3,False
0,0,1,5,3,False
0,0,1,5,4,False
0,0,1,4,3,False
0,0,1,6,3,False
0,0,1,4,3,False
0,0,0,4,3,False
0,0,1,4,2,False
0,0,1,5,2,False
0,0,1,4,3,False
0,0,0,5,3,False
0,0,1,6,3,False
0,0,1,6,2,False
0,0,1,6,2,False
0,0,1,5,3,False
0,0,1,5,3,False
0,0,1,5,4,False
0,0,2,5,3,False
0,0,1,4,3,False
1,0,1,5,3,False
0,0,1,4,4,False
0,0,1,9,3,False
0,0,1,6,3,False
0,0,1,9,3,False
0,0,1,8,2,False
0,0,1,56,3,False
0,0,1,16,3,False
0,0,1,17,2,False
0,0,1,15,3,False
0,0,1,12,2,False
0,0,1,8,2,False
0,0,1,7,3,False
0,0,1,7,6,False
0,0,1,4,3,False
0,0,1,4,4,False
0,0,1,15,3,False
0,0,1,6,2,False
0,0,1,9,2,False
0,0,1,6,3,False
0,0,1,6,2,False
0,0,1,5,2,False
0,0,1,6,2,False
0,0,1,11,2,False
0,0,1,6,2,False
0,0,1,6,2,False
0,0,1,5,2,False
0,0,1,4,2,False
0,0,2,5,2,False
0,0,1,6,2,False
0,0,1,7,2,False
0,0,1,6,3,False
0,0,1,5,2,False
0,0,1,6,2,False
0,0,1,9,2,False
0,0,1,18,2,False
0,0,1,8,2,False
0,0,1,9,3,False
0,0,1,7,2,False
0,0,1,12,2,False
0,0,1,8,2,False
0,0,1,9,2,False
0,0,1,6,3,False
0,0,1,6,3,False
0,0,1,6,3,False
0,0,1,7,3,False
0,0,1,8,2,False
0,0,1,100,2,False
0,0,1,72,3,False
0,0,1,9,3,False
0,0,1,7,4,False
0,0,1,7,10,False
0,0,1,7,4,False
0,0,1,8,5,False
0,0,0,7,3,False
0,0,1,5,3,False
0,0,1,6,2,False
0,0,2,5,2,False
0,0,1,5,2,False
0,0,1,8,2,False
0,0,1,9,2,False
0,0,1,5,2,False
0,0,1,3,2,False
0,0,1,9,3,False
0,1,1,9,2,False
0,0,1,9,3,False
0,0,1,7,2,False
0,0,1,6,2,False
0,0,1,5,2,False
0,0,1,5,3,False
0,0,1,7,2,False
0,0,1,12,2,False
0,0,1,6,2,False
0,0,1,6,2,False
0,0,1,5,2,False
0,0,1,5,2,False
0,0,0,9,2,False
0,0,1,8,2,False
0,0,1,7,1,False
0,0,1,5,1,False
0,0,1,6,1,False
0,0,1,5,2,False
0,0,0,6,1,False
0,0,1,9,2,False
0,0,1,7,2,False
0,0,1,7,2,False
0,0,1,7,1,False
0,0,1,8,2,False
0,0,1,10,2,False
0,0,1,14,2,False
0,0,1,14,2,False
0,0,0,12,2,False
0,0,1,15,2,False
0,0,1,12,1,False
0,0,0,14,2,False
0,0,1,17,2,False
0,0,1,13,2,False
0,0,1,11,2,False
0,0,1,20,2,False
0,0,1,9,2,False
0,0,2,14,2,False
0,0,1,11,2,False
0,0,1,10,2,False
0,0,1,9,1,False
0,0,1,8,2,False
0,0,1,11,2,False
0,0,0,9,1,False
0,0,1,10,2,False
0,0,1,8,5,False
0,0,1,7,2,False
0,0,0,7,1,False
0,0,1,6,1,False
0,0,0,9,2,False
0,0,0,7,3,False
0,0,1,9,3,False
0,0,1,7,2,False
0,0,0,8,2,True
