Hanna Rosin,Diana Laufenberg,Rufus Griscom + Alisa Volkman,Rachel Botsman,Iraola,isPartial
0,0,0,0,28,False
0,0,0,0,37,False
0,0,0,0,17,False
0,0,0,0,31,False
0,0,0,0,27,False
11,0,0,0,35,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,31,False
0,0,0,0,21,False
11,0,0,0,14,False
10,0,0,0,33,False
9,9,0,0,26,False
9,0,0,0,23,False
8,0,0,0,18,False
0,0,0,0,17,False
7,0,0,0,17,False
30,0,0,0,15,False
31,0,0,0,15,False
0,0,0,0,15,False
0,0,0,0,29,False
6,0,0,0,31,False
6,0,0,0,27,False
0,0,0,0,23,False
0,0,0,0,16,False
11,0,0,0,20,False
0,0,0,0,38,False
0,0,0,0,19,False
5,0,0,0,25,False
5,0,0,0,26,False
5,0,0,0,29,False
0,0,0,0,24,False
4,0,0,0,20,False
0,0,0,0,20,False
0,0,0,0,21,False
4,0,0,0,32,False
3,0,0,0,23,False
0,0,0,0,30,False
0,0,0,0,34,False
3,0,0,0,21,False
3,0,0,0,22,False
3,0,0,0,28,False
3,0,0,0,16,False
3,0,0,0,21,False
3,0,0,0,30,False
5,0,0,0,27,False
6,0,0,0,16,False
3,0,0,0,26,False
2,0,0,0,22,False
2,0,0,0,27,False
2,0,0,0,26,False
0,0,0,0,32,False
2,0,0,0,29,False
6,0,0,0,18,False
8,0,0,0,21,False
2,0,0,0,34,False
3,0,0,0,33,False
5,0,0,0,29,False
4,0,0,0,28,False
4,0,0,0,27,False
3,0,0,0,28,False
2,0,0,0,29,False
14,0,0,0,23,False
7,0,0,0,29,False
3,0,0,2,28,False
4,0,0,0,23,False
2,0,0,0,25,False
4,0,0,0,26,False
3,0,0,0,37,False
3,0,0,1,32,False
4,0,0,1,32,False
3,0,0,1,32,False
2,0,0,1,35,False
5,0,0,0,23,False
1,0,0,1,25,False
2,0,0,0,26,False
2,0,0,2,26,False
10,1,0,2,27,False
8,1,0,3,18,False
2,0,0,1,23,False
4,0,0,2,33,False
1,0,0,2,33,False
2,0,0,2,41,False
9,3,0,9,29,False
6,1,0,8,26,False
3,1,0,5,31,False
4,1,0,3,39,False
1,1,0,3,29,False
3,1,0,5,31,False
2,0,0,4,28,False
3,1,0,3,24,False
1,2,0,2,34,False
5,0,0,3,32,False
6,1,0,3,25,False
2,1,0,4,27,False
3,1,0,2,23,False
3,1,0,2,24,False
4,0,0,3,25,False
5,1,0,3,55,False
3,1,0,3,27,False
4,0,0,2,39,False
4,1,0,4,26,False
5,1,0,1,24,False
8,1,0,3,24,False
26,1,0,9,25,False
16,1,0,8,25,False
11,0,0,6,20,False
7,1,0,2,24,False
12,1,0,3,25,False
8,1,0,7,25,False
8,1,0,6,21,False
7,1,0,7,25,False
4,0,0,5,21,False
4,0,0,5,22,False
4,1,0,3,23,False
3,1,0,3,23,False
7,0,0,5,25,False
6,1,0,3,24,False
13,1,0,2,24,False
8,1,0,2,24,False
8,0,0,2,24,False
7,1,0,3,23,False
13,0,0,2,26,False
8,1,0,3,18,False
7,0,0,4,21,False
5,0,0,2,19,False
6,1,0,4,20,False
3,0,0,4,29,False
4,1,0,3,30,False
8,0,0,3,26,False
9,1,0,4,26,False
7,1,0,3,19,False
4,1,0,2,22,False
5,1,0,3,25,False
9,0,0,3,31,False
4,1,0,3,36,False
3,0,0,3,100,False
2,1,0,5,40,False
4,0,0,2,48,False
2,0,0,2,33,False
2,1,0,3,27,False
3,1,0,3,22,False
4,0,0,4,20,False
6,0,0,2,22,False
3,0,0,3,24,False
3,0,0,4,18,False
2,0,0,3,21,False
3,1,0,4,20,False
4,1,0,2,26,False
3,0,0,2,24,False
3,1,0,3,27,False
3,0,0,3,16,False
2,0,0,2,22,False
4,0,0,6,22,False
3,0,0,5,27,False
1,0,0,3,20,False
2,1,0,3,17,False
2,0,0,3,19,False
1,1,0,4,18,False
12,0,0,3,17,False
2,0,0,3,19,False
3,0,0,8,18,False
2,0,0,2,17,False
2,0,0,2,15,False
1,0,0,3,14,False
2,0,0,9,14,False
3,0,0,6,15,False
2,0,0,2,11,False
2,0,0,5,16,False
1,0,0,6,18,False
3,0,0,3,17,False
3,0,0,3,12,False
2,1,0,4,16,False
1,0,0,3,17,False
1,0,0,3,15,False
3,0,0,5,16,False
2,0,0,3,17,False
2,0,0,2,19,False
2,0,0,4,15,False
1,0,0,2,15,False
2,0,0,4,15,False
2,0,0,3,18,False
3,0,0,11,15,False
2,0,0,2,16,False
1,0,0,3,19,False
1,0,0,2,15,False
1,0,0,2,19,False
2,0,0,2,19,False
1,0,0,2,15,False
1,0,0,3,16,False
2,1,0,3,17,False
1,0,0,4,15,False
1,0,0,2,25,False
1,0,0,1,46,False
1,0,0,1,20,False
1,0,0,2,13,False
1,0,0,2,13,False
2,1,0,3,16,False
4,0,0,2,28,False
4,0,0,2,26,False
1,1,0,2,19,False
1,1,0,1,16,True
