Ali Carr-Chellman,Naomi Klein,Charity Tillemann-Dick,Van Jones,Iraola,isPartial
0,7,0,6,1,False
0,7,0,5,2,False
0,11,0,4,1,False
0,9,0,6,2,False
0,10,0,8,2,False
0,6,0,7,2,False
0,4,0,7,1,False
0,9,0,5,3,False
0,16,0,4,2,False
0,12,0,3,1,False
0,14,0,6,1,False
0,9,0,7,2,False
0,6,0,6,1,False
0,8,0,6,1,False
0,7,0,6,1,False
0,8,0,4,1,False
0,9,0,6,1,False
0,6,0,6,1,False
0,5,0,5,1,False
0,3,0,5,0,False
0,6,0,4,2,False
0,7,0,5,2,False
0,5,0,5,2,False
0,5,0,5,1,False
0,5,0,4,1,False
0,5,0,4,1,False
0,5,0,6,2,False
0,3,0,3,1,False
0,5,0,5,2,False
0,3,0,5,1,False
0,4,0,5,2,False
0,3,0,4,1,False
0,2,0,4,1,False
0,5,0,4,1,False
0,3,0,3,1,False
0,2,0,3,2,False
0,3,0,4,2,False
0,2,0,6,2,False
0,2,0,4,2,False
0,2,0,3,1,False
0,3,0,5,1,False
0,2,0,5,1,False
0,2,0,3,1,False
0,3,0,4,1,False
0,20,0,5,2,False
0,20,0,4,2,False
0,13,0,5,1,False
0,12,0,4,2,False
0,8,0,4,1,False
0,7,0,4,2,False
0,7,0,4,1,False
0,6,0,6,2,False
0,8,0,5,1,False
0,7,0,5,1,False
0,8,0,5,1,False
0,8,0,4,2,False
0,14,0,4,2,False
0,16,0,7,2,False
0,13,0,6,2,False
0,10,0,5,2,False
0,10,0,5,2,False
0,9,0,6,2,False
0,7,0,8,2,False
0,7,0,6,2,False
0,10,0,6,2,False
0,6,0,6,1,False
0,5,0,7,1,False
0,6,0,22,2,False
0,7,0,100,2,False
0,6,0,9,2,False
0,7,0,7,2,False
0,7,0,6,2,False
0,8,0,6,2,False
0,6,0,8,1,False
0,5,0,7,1,False
0,6,0,5,2,False
0,4,0,6,2,False
0,6,0,7,2,False
0,4,0,8,1,False
0,4,0,5,1,False
0,3,0,5,2,False
0,4,0,5,2,False
0,4,0,5,2,False
0,5,0,6,2,False
0,4,0,6,1,False
0,4,0,6,2,False
0,6,0,6,2,False
0,5,0,6,2,False
0,4,0,5,2,False
0,4,0,8,2,False
0,4,0,6,1,False
0,4,0,6,2,False
0,5,0,5,2,False
0,8,0,12,1,False
0,6,0,7,2,False
0,5,0,5,1,False
0,5,0,5,1,False
0,4,0,4,1,False
0,3,0,6,3,False
0,4,0,9,2,False
0,3,0,5,2,False
0,3,0,5,1,False
0,3,0,4,1,False
0,2,0,6,1,False
0,3,0,6,1,False
0,3,0,8,1,False
0,4,0,6,1,False
0,2,0,4,1,False
0,3,0,5,2,False
0,3,0,5,2,False
0,2,0,4,1,False
0,2,0,4,1,False
0,3,0,4,1,False
0,2,0,3,1,False
0,2,0,4,1,False
0,2,0,4,1,False
0,3,0,5,1,False
0,3,0,5,1,False
0,2,0,5,1,False
0,2,0,3,1,False
0,2,0,4,1,False
0,2,0,4,1,False
0,2,0,4,1,False
0,2,0,4,1,False
0,2,0,4,1,False
0,1,0,4,1,False
0,2,0,4,1,False
0,2,0,4,2,False
0,9,0,4,2,False
0,6,0,4,2,False
0,6,0,4,2,False
0,4,0,4,1,False
0,4,0,3,1,False
0,4,0,3,1,False
0,7,0,3,2,False
0,5,0,5,2,False
0,3,0,3,5,False
0,3,0,4,2,False
0,4,0,3,3,False
0,3,0,4,2,False
0,5,0,4,2,False
0,4,0,4,1,False
0,5,0,4,1,False
0,5,0,4,1,False
0,3,0,4,1,False
0,3,0,4,1,False
0,3,0,9,1,False
0,4,0,11,1,False
0,3,0,5,1,False
0,2,0,5,1,False
0,2,0,9,1,False
0,2,0,4,1,False
0,2,0,5,1,False
0,2,0,12,1,False
0,8,0,53,2,False
0,2,0,17,1,False
0,3,0,15,1,False
0,3,0,11,1,False
0,2,0,14,1,False
0,2,0,7,1,False
0,2,0,5,1,False
0,5,0,9,1,False
0,5,0,6,1,False
0,3,0,8,1,False
0,4,0,4,1,False
0,3,0,7,1,False
0,5,0,6,1,False
0,3,0,5,1,False
0,3,0,11,1,False
0,2,0,7,1,False
0,2,0,6,1,False
0,2,0,6,1,False
0,2,0,5,1,False
0,2,0,5,1,False
0,1,0,4,1,False
0,2,0,4,1,False
0,2,0,5,1,False
0,2,0,7,1,False
0,2,0,7,1,False
0,2,0,5,1,False
0,2,0,6,1,False
0,2,0,6,1,False
0,2,0,6,1,False
0,2,0,8,1,False
0,2,0,6,1,False
0,2,0,4,1,False
0,2,0,4,1,False
0,2,0,4,1,False
0,4,0,4,1,False
0,4,0,5,1,False
0,3,0,4,1,False
0,2,0,3,1,False
0,2,0,4,1,False
0,2,0,7,3,False
0,5,0,5,1,False
0,5,0,6,1,False
0,4,0,7,1,False
0,3,0,13,1,False
0,2,0,6,2,False
0,2,0,6,1,False
0,2,0,6,1,False
0,2,0,10,1,True
