Krista Tippett,Patricia Kuhl,Lisa Gansky,Madeleine Albright,Iraola,isPartial
0,13,0,37,7,False
0,7,7,53,20,False
0,0,0,53,8,False
0,6,0,22,19,False
5,5,5,27,14,False
0,5,0,24,19,False
0,0,0,17,11,False
0,5,0,19,27,False
0,5,0,24,15,False
5,5,0,32,5,False
0,0,5,52,5,False
7,5,0,12,16,False
8,4,0,18,10,False
4,0,0,28,11,False
4,7,0,29,5,False
0,0,0,14,8,False
0,4,4,14,11,False
0,7,0,11,7,False
0,0,0,13,9,False
0,0,0,16,3,False
0,0,0,16,13,False
6,0,3,25,18,False
0,0,0,18,18,False
0,6,0,16,10,False
3,3,0,17,6,False
3,0,0,16,9,False
0,3,0,28,18,False
0,2,2,23,8,False
0,0,0,31,14,False
5,3,2,13,9,False
2,5,0,19,13,False
2,3,0,10,10,False
2,2,0,18,8,False
4,3,0,21,7,False
4,2,0,9,11,False
2,2,0,17,18,False
0,0,0,13,13,False
0,2,0,9,17,False
3,2,0,17,16,False
0,0,0,24,8,False
1,3,0,16,11,False
6,0,1,13,11,False
1,0,0,14,6,False
3,1,0,7,11,False
3,1,0,14,13,False
1,1,0,16,15,False
2,3,0,11,8,False
2,0,0,17,13,False
2,1,0,24,10,False
4,1,0,21,14,False
4,1,0,19,11,False
2,2,0,17,16,False
2,2,0,15,12,False
1,1,0,12,8,False
1,1,0,8,10,False
3,0,0,12,19,False
2,1,0,15,16,False
3,1,0,18,15,False
1,1,0,28,14,False
2,3,1,16,14,False
0,0,1,9,13,False
3,0,0,7,14,False
2,1,0,12,13,False
3,1,0,10,14,False
2,1,0,9,15,False
2,1,0,6,10,False
2,1,0,12,12,False
2,0,1,11,13,False
2,1,0,17,18,False
2,1,0,29,17,False
3,1,0,21,15,False
2,1,1,11,15,False
3,1,0,14,18,False
3,0,0,20,11,False
4,1,1,18,10,False
3,1,0,16,13,False
1,1,0,23,14,False
3,0,0,14,13,False
3,1,1,10,8,False
3,1,1,14,12,False
4,1,3,18,14,False
5,0,1,15,15,False
9,1,1,16,19,False
5,1,0,18,14,False
7,0,0,14,12,False
9,2,0,18,14,False
6,1,1,18,16,False
5,2,1,14,13,False
5,1,1,23,15,False
5,1,1,12,13,False
4,1,0,11,11,False
3,1,0,10,15,False
4,2,0,15,15,False
5,1,1,12,11,False
4,1,1,14,13,False
4,1,1,38,11,False
6,1,0,16,10,False
5,1,1,15,12,False
7,1,0,18,24,False
5,1,1,41,13,False
5,0,1,32,17,False
4,1,0,19,12,False
5,0,0,14,11,False
5,1,1,18,10,False
4,1,0,29,10,False
5,2,0,29,11,False
7,1,0,25,10,False
5,0,0,22,11,False
7,1,0,22,13,False
7,1,0,23,13,False
6,2,0,21,9,False
5,1,0,24,11,False
5,1,0,18,11,False
6,1,0,18,11,False
4,1,0,12,10,False
6,1,0,13,10,False
8,1,1,16,11,False
6,1,0,18,11,False
6,1,1,14,12,False
8,0,0,10,12,False
4,0,0,16,10,False
7,1,0,13,11,False
9,1,0,22,12,False
5,0,1,20,9,False
4,1,1,20,9,False
5,1,1,13,10,False
5,1,0,19,10,False
6,1,1,14,14,False
3,1,1,15,15,False
6,1,1,34,13,False
7,1,1,15,13,False
8,1,0,14,9,False
6,1,0,15,10,False
7,1,0,30,12,False
7,1,1,21,15,False
6,1,0,21,16,False
5,1,0,15,46,False
7,1,0,16,18,False
5,0,0,14,22,False
5,1,0,15,16,False
5,1,0,15,13,False
5,1,1,40,10,False
5,1,0,24,9,False
5,1,0,13,9,False
4,1,0,19,11,False
4,1,0,100,9,False
4,1,0,27,10,False
11,1,0,21,9,False
12,0,0,24,11,False
7,1,0,18,11,False
6,1,0,79,13,False
6,0,0,16,7,False
5,1,0,18,10,False
6,1,0,25,11,False
6,1,0,31,13,False
11,1,0,19,9,False
7,1,0,57,9,False
10,1,0,31,10,False
10,1,0,19,9,False
8,1,0,15,9,False
8,1,0,20,8,False
6,1,0,12,9,False
7,0,0,11,8,False
7,0,0,14,7,False
6,1,0,15,7,False
7,1,0,16,6,False
7,1,0,17,7,False
5,0,0,14,6,False
7,0,0,16,7,False
7,1,0,15,9,False
6,0,0,20,8,False
6,0,0,96,6,False
5,0,0,29,8,False
4,0,0,26,7,False
5,0,0,37,8,False
6,0,0,19,8,False
5,0,0,24,8,False
5,1,0,37,9,False
4,1,0,20,7,False
6,1,0,24,8,False
8,0,0,22,7,False
6,1,0,29,8,False
6,1,0,25,7,False
4,1,1,16,7,False
5,1,0,18,10,False
5,1,0,19,7,False
6,0,0,16,9,False
4,0,0,18,8,False
5,1,0,16,7,False
4,1,0,18,7,False
4,1,0,14,8,False
5,0,0,15,8,False
4,0,0,16,12,False
5,0,0,17,23,False
4,0,0,16,10,False
4,1,0,53,6,False
6,0,0,33,6,False
7,0,0,28,8,False
6,0,0,20,14,False
5,0,0,15,12,False
4,1,0,26,9,False
3,0,0,17,7,True
