Noreena Hertz,Iain Hutchison,Elizabeth Lindsey,Danny Hillis,Iraola,isPartial
14,0,21,21,28,False
14,0,14,69,37,False
23,0,29,17,17,False
0,0,13,13,31,False
12,0,12,35,27,False
11,11,19,0,35,False
12,0,18,18,28,False
0,0,33,11,39,False
21,10,20,10,31,False
32,0,21,10,21,False
32,0,11,0,14,False
16,0,26,0,33,False
29,0,21,17,26,False
18,0,21,18,23,False
19,0,23,15,18,False
17,0,25,13,17,False
0,0,17,7,17,False
41,0,25,15,15,False
15,0,46,15,15,False
15,7,12,10,15,False
27,0,17,7,29,False
17,0,17,21,31,False
15,12,21,10,27,False
6,6,14,6,23,False
18,0,16,7,16,False
17,8,19,11,20,False
5,0,19,5,38,False
12,0,7,10,19,False
5,5,14,8,25,False
13,0,12,11,26,False
5,0,13,5,29,False
6,0,14,0,24,False
9,4,12,7,20,False
9,0,15,6,20,False
6,0,8,10,21,False
8,0,11,4,32,False
7,0,9,3,23,False
11,4,11,4,30,False
9,3,7,3,34,False
3,3,13,3,21,False
13,3,18,7,22,False
27,0,11,3,28,False
6,3,14,3,16,False
6,3,16,4,21,False
0,0,11,4,30,False
9,0,13,3,27,False
5,0,11,0,16,False
6,0,10,3,26,False
2,2,13,4,22,False
6,0,12,2,27,False
3,0,11,4,26,False
0,0,14,3,32,False
4,2,13,3,29,False
3,2,7,3,18,False
4,0,10,4,21,False
2,2,8,4,34,False
3,2,15,4,33,False
4,0,10,2,29,False
5,0,14,4,28,False
6,2,9,5,27,False
3,0,11,4,28,False
8,0,9,3,29,False
4,2,7,4,23,False
7,2,10,2,29,False
2,2,9,2,28,False
3,2,10,3,23,False
3,0,8,3,25,False
6,2,8,2,26,False
3,0,9,4,37,False
6,1,6,2,32,False
4,1,8,1,32,False
4,2,9,3,32,False
5,0,10,2,35,False
6,0,14,2,23,False
9,0,7,4,25,False
2,1,7,4,26,False
4,1,6,2,26,False
2,1,7,1,27,False
2,1,11,4,18,False
1,2,10,1,23,False
2,0,9,2,33,False
3,1,9,4,33,False
4,2,8,4,41,False
2,1,9,5,29,False
3,1,9,3,26,False
38,1,11,4,31,False
10,0,9,4,39,False
6,1,9,7,29,False
3,2,6,1,31,False
5,1,8,3,28,False
3,1,10,3,24,False
8,1,6,2,34,False
2,1,8,2,32,False
3,1,6,2,25,False
3,1,7,1,27,False
3,0,13,2,23,False
2,1,9,2,24,False
3,0,6,7,25,False
5,1,7,3,55,False
2,1,7,2,27,False
2,0,9,2,39,False
4,1,16,1,26,False
1,1,10,2,24,False
1,1,8,3,24,False
3,1,10,3,25,False
1,1,11,2,25,False
2,1,17,2,20,False
1,1,10,2,24,False
1,1,8,1,25,False
2,2,9,2,25,False
1,1,9,8,21,False
2,1,7,4,25,False
2,1,5,2,21,False
1,1,9,2,22,False
1,1,8,2,23,False
2,1,9,2,23,False
5,1,7,3,25,False
12,1,6,3,24,False
6,1,8,2,24,False
6,1,7,2,24,False
3,1,7,2,24,False
5,1,10,2,23,False
3,1,6,2,26,False
2,1,8,2,18,False
3,0,6,1,21,False
3,1,9,1,19,False
11,1,9,2,20,False
3,1,7,1,29,False
2,0,6,1,30,False
6,0,7,1,26,False
2,1,6,1,26,False
2,1,7,1,19,False
3,0,7,2,22,False
1,1,9,1,25,False
2,0,11,2,31,False
2,2,8,2,36,False
2,0,8,1,100,False
1,0,7,1,40,False
1,0,9,1,48,False
1,0,7,1,33,False
2,1,8,0,27,False
2,0,8,1,22,False
1,1,8,1,20,False
2,0,8,1,22,False
1,0,7,1,24,False
1,0,11,1,18,False
2,0,9,1,21,False
2,0,8,2,20,False
6,1,7,1,26,False
1,1,8,1,24,False
4,0,7,1,27,False
1,1,9,1,16,False
2,1,6,1,22,False
2,0,7,1,22,False
1,0,6,1,27,False
2,1,6,1,20,False
2,1,8,1,17,False
0,0,8,1,19,False
1,1,5,2,18,False
1,1,5,1,17,False
2,1,8,1,19,False
2,1,5,0,18,False
1,0,6,0,17,False
2,0,7,0,15,False
1,1,6,1,14,False
1,1,6,0,14,False
0,0,6,1,15,False
1,1,7,0,11,False
1,0,7,1,16,False
1,1,11,2,18,False
1,0,9,1,17,False
1,0,7,1,12,False
2,0,6,1,16,False
1,0,7,0,17,False
1,0,5,1,15,False
0,1,4,1,16,False
1,0,8,0,17,False
0,0,8,1,19,False
1,1,5,1,15,False
1,1,9,0,15,False
1,0,6,1,15,False
1,0,5,0,18,False
1,0,6,1,15,False
1,0,5,1,16,False
0,0,6,1,19,False
1,1,5,1,15,False
1,0,6,1,19,False
1,0,6,1,19,False
0,1,7,1,15,False
0,0,6,1,16,False
0,1,6,1,17,False
1,0,6,1,15,False
1,0,7,0,25,False
0,1,7,0,46,False
1,1,5,1,20,False
0,1,5,1,13,False
1,0,5,0,13,False
0,0,6,1,16,False
1,0,4,1,28,False
0,0,5,0,26,False
4,0,5,0,19,False
4,0,5,1,16,True
