Stefan Sagmeister,Alex Steffen,Thom Mayne,Chris Bangle,Iraola,isPartial
13,9,9,29,13,False
13,0,17,23,26,False
32,0,21,32,16,False
16,8,8,19,17,False
21,0,7,12,17,False
18,0,14,36,14,False
7,0,7,15,15,False
20,0,7,11,27,False
6,0,9,19,15,False
30,0,10,11,13,False
10,0,7,29,7,False
21,0,6,16,9,False
16,5,8,16,12,False
19,6,7,17,17,False
22,5,100,20,12,False
14,0,26,12,16,False
5,14,18,15,11,False
14,0,8,11,15,False
13,0,8,17,14,False
8,5,15,18,9,False
12,4,15,14,16,False
22,4,12,8,15,False
21,8,9,12,12,False
4,4,27,15,15,False
13,0,12,11,10,False
14,3,11,7,11,False
12,3,11,7,20,False
13,3,6,13,12,False
8,6,14,7,19,False
9,3,12,14,19,False
8,3,14,3,18,False
8,0,11,13,12,False
17,5,9,8,13,False
20,2,8,7,12,False
9,2,33,9,14,False
10,6,14,5,14,False
13,4,21,6,12,False
15,3,12,8,14,False
16,2,10,9,15,False
14,3,11,9,14,False
14,4,12,5,17,False
12,4,6,9,14,False
11,0,6,9,16,False
10,2,4,7,14,False
10,2,7,25,18,False
16,2,13,7,12,False
14,2,9,7,15,False
10,5,6,8,15,False
13,6,5,4,13,False
29,2,6,6,12,False
29,3,9,7,15,False
32,7,8,6,15,False
23,2,10,6,16,False
16,1,5,14,11,False
16,1,5,8,9,False
15,2,2,6,19,False
21,2,7,8,19,False
22,4,8,7,17,False
22,2,5,6,19,False
13,3,4,6,18,False
20,2,7,7,15,False
16,3,4,37,15,False
17,2,4,8,15,False
14,2,7,9,19,False
13,1,5,6,16,False
9,1,6,6,18,False
9,2,4,8,17,False
10,1,3,8,19,False
13,2,9,8,22,False
31,2,9,7,18,False
25,4,6,6,21,False
17,1,6,10,20,False
16,3,5,7,20,False
18,1,4,7,13,False
20,1,7,7,17,False
18,1,6,7,15,False
15,1,6,5,14,False
12,1,2,6,18,False
12,1,3,6,11,False
10,2,2,6,14,False
15,2,5,7,15,False
18,2,5,9,18,False
20,2,5,4,25,False
20,2,5,5,20,False
15,2,2,7,18,False
15,2,6,4,25,False
16,2,6,16,23,False
13,2,3,6,20,False
10,1,3,6,22,False
16,2,3,5,19,False
13,1,1,7,14,False
11,4,3,5,21,False
15,2,3,4,21,False
19,2,5,6,17,False
15,1,4,7,15,False
15,2,3,6,13,False
14,1,4,5,16,False
13,1,4,5,19,False
15,1,5,6,29,False
13,2,3,4,18,False
15,1,4,5,28,False
14,1,4,5,13,False
10,3,2,5,14,False
10,2,3,4,15,False
13,1,4,3,16,False
17,1,4,4,13,False
15,1,5,4,14,False
11,1,4,3,15,False
15,2,3,3,14,False
17,1,4,3,14,False
19,1,4,4,11,False
15,1,3,5,13,False
14,1,3,4,13,False
12,1,4,3,13,False
10,1,2,3,13,False
12,1,2,4,16,False
15,2,4,5,16,False
16,1,4,4,14,False
17,1,4,4,15,False
12,1,3,3,14,False
19,1,3,3,14,False
18,1,3,3,16,False
16,0,3,3,16,False
13,1,4,4,13,False
12,0,3,4,15,False
9,1,2,3,13,False
10,1,1,2,14,False
10,0,1,3,19,False
14,1,2,3,21,False
13,1,2,2,16,False
12,1,3,2,16,False
8,1,2,3,13,False
11,0,2,3,14,False
13,1,4,3,15,False
10,1,6,3,20,False
12,1,2,3,25,False
11,1,3,3,55,False
12,1,2,3,25,False
9,0,1,2,28,False
7,1,2,2,21,False
12,1,3,2,15,False
12,1,3,3,14,False
13,1,2,3,14,False
9,1,2,2,13,False
11,1,2,2,14,False
14,1,3,2,10,False
13,1,3,3,13,False
13,1,3,3,11,False
11,1,2,2,16,False
7,1,2,2,16,False
5,1,2,2,16,False
10,0,1,3,11,False
9,1,2,2,12,False
12,1,3,2,16,False
12,1,2,2,17,False
7,1,1,2,15,False
15,1,1,3,9,False
12,1,2,2,11,False
9,1,2,1,10,False
9,1,3,2,10,False
11,1,4,2,12,False
7,1,1,2,10,False
7,1,1,1,10,False
7,1,2,2,10,False
14,1,2,4,9,False
12,0,2,2,10,False
10,1,2,4,10,False
6,1,1,4,7,False
7,1,1,2,10,False
8,1,1,2,10,False
9,1,2,2,9,False
8,1,2,3,8,False
9,0,2,2,11,False
5,0,1,2,10,False
9,1,1,2,9,False
5,1,2,2,11,False
5,1,1,2,11,False
10,1,1,2,11,False
9,1,1,2,11,False
7,1,2,1,11,False
6,1,2,4,9,False
6,1,2,1,10,False
6,1,3,2,9,False
5,1,1,2,10,False
7,1,2,2,9,False
6,1,1,2,10,False
6,1,1,1,13,False
4,1,1,2,11,False
6,1,2,3,11,False
7,1,2,2,9,False
7,0,1,2,10,False
4,1,1,2,9,False
4,1,1,2,16,False
5,1,2,3,29,False
5,1,2,2,12,False
5,0,1,2,9,False
4,0,1,2,9,False
4,0,1,3,8,False
3,0,1,2,19,False
3,0,1,2,16,False
4,1,1,3,12,False
5,0,1,2,11,True
