Morgan Spurlock,Mick Ebeling,Caroline Casey,Jackson Browne,Iraola,isPartial
27,0,0,50,2,False
14,0,2,82,6,False
23,0,2,100,2,False
3,0,2,61,6,False
25,0,3,52,4,False
15,0,0,52,6,False
15,0,5,54,3,False
6,0,2,50,8,False
12,0,1,41,4,False
17,0,3,71,2,False
17,0,2,61,2,False
9,0,3,44,5,False
18,0,1,53,3,False
17,0,4,45,3,False
16,0,1,40,2,False
22,0,2,40,2,False
16,0,2,47,3,False
39,0,3,36,2,False
27,0,3,28,3,False
24,0,2,38,1,False
13,0,1,44,4,False
22,0,3,50,5,False
14,0,1,49,5,False
12,0,1,49,3,False
12,0,2,46,2,False
11,0,1,48,3,False
14,0,2,51,5,False
20,0,1,36,3,False
16,0,1,41,4,False
7,0,1,40,3,False
19,0,1,37,4,False
20,0,2,41,3,False
12,0,2,26,2,False
14,0,2,27,2,False
10,0,1,28,3,False
9,0,1,26,5,False
10,0,1,30,4,False
9,0,2,31,5,False
7,0,1,27,5,False
9,0,2,28,2,False
9,0,0,28,3,False
7,0,1,33,3,False
5,0,0,29,2,False
6,0,1,26,3,False
5,0,1,30,4,False
6,0,1,28,5,False
9,0,1,25,2,False
15,0,1,27,4,False
10,0,1,29,3,False
7,0,1,35,4,False
7,0,1,45,3,False
15,0,0,36,5,False
13,0,1,30,4,False
13,0,1,26,2,False
10,0,1,29,3,False
13,0,1,51,6,False
13,0,1,57,5,False
7,0,1,47,4,False
8,0,1,38,4,False
6,0,1,33,4,False
5,0,1,32,4,False
7,0,1,31,4,False
9,0,1,38,4,False
10,0,0,43,4,False
7,0,1,35,4,False
5,0,1,33,3,False
6,0,1,50,4,False
6,0,0,45,4,False
5,0,1,35,5,False
8,0,1,31,5,False
5,0,1,35,5,False
6,0,1,29,5,False
10,0,1,27,5,False
8,0,0,24,3,False
7,0,1,35,3,False
8,0,1,37,4,False
7,0,1,36,4,False
4,0,1,43,4,False
5,0,1,39,2,False
4,0,1,41,4,False
6,0,1,34,4,False
7,0,1,26,4,False
7,0,1,21,6,False
6,0,1,26,4,False
5,0,1,29,4,False
6,0,1,30,4,False
9,0,1,31,5,False
25,1,3,33,4,False
15,0,2,32,5,False
8,0,2,31,4,False
7,0,2,29,3,False
14,0,2,24,5,False
13,0,1,29,4,False
13,0,1,29,3,False
11,0,1,24,4,False
7,0,0,25,3,False
9,0,1,20,3,False
9,0,1,22,4,False
12,0,1,21,7,False
19,0,1,21,4,False
14,0,1,26,5,False
8,0,1,25,4,False
5,0,1,31,3,False
6,0,1,27,3,False
7,0,1,21,3,False
7,0,1,24,3,False
9,0,0,29,3,False
7,0,1,22,3,False
7,0,1,25,4,False
6,0,1,26,4,False
7,0,1,22,3,False
7,0,1,22,3,False
6,0,1,22,3,False
10,0,1,29,3,False
12,0,1,26,3,False
15,0,1,25,3,False
9,0,1,20,3,False
6,0,1,20,3,False
7,0,1,20,3,False
6,0,1,18,4,False
6,0,1,19,3,False
5,0,1,17,3,False
6,0,1,21,4,False
13,0,1,28,3,False
15,0,1,22,3,False
8,0,1,24,3,False
5,0,1,32,3,False
7,0,1,30,4,False
5,0,0,23,4,False
6,0,0,35,4,False
6,0,0,32,4,False
5,0,1,22,3,False
12,0,0,20,3,False
11,0,1,25,4,False
8,0,0,25,5,False
6,0,1,20,5,False
4,0,1,23,14,False
4,0,1,29,6,False
5,0,0,24,7,False
6,0,1,29,5,False
5,0,1,29,4,False
4,0,1,31,3,False
4,0,0,23,3,False
9,0,0,22,3,False
6,0,1,33,3,False
5,0,0,35,3,False
4,0,0,25,3,False
4,0,0,20,3,False
4,0,1,22,3,False
5,0,1,27,3,False
4,0,0,20,4,False
5,0,1,27,2,False
4,0,1,20,3,False
5,0,0,16,3,False
6,0,0,16,4,False
4,0,0,17,3,False
4,0,1,18,3,False
4,0,0,15,3,False
4,0,0,17,3,False
3,0,0,23,3,False
3,0,0,17,2,False
3,0,0,21,3,False
2,0,0,18,2,False
2,0,0,17,2,False
4,0,1,18,2,False
3,0,1,17,2,False
3,0,1,15,2,False
24,0,1,19,2,False
4,0,0,23,2,False
3,0,0,20,3,False
3,0,1,23,2,False
2,0,0,19,2,False
2,0,0,24,2,False
2,0,1,23,2,False
3,0,0,23,2,False
1,0,0,20,2,False
1,0,0,18,2,False
2,0,1,15,3,False
3,0,0,14,2,False
2,0,0,16,2,False
3,0,0,16,2,False
3,0,0,17,2,False
2,0,0,21,2,False
2,0,0,18,2,False
1,0,0,15,3,False
2,0,0,20,2,False
2,0,0,21,3,False
3,0,0,22,2,False
4,0,1,17,2,False
3,0,1,16,2,False
2,0,1,15,2,False
2,0,0,15,2,False
4,0,0,20,3,False
4,0,1,22,7,False
6,0,1,29,3,False
4,0,0,28,2,False
3,0,0,22,2,False
2,0,0,22,2,False
3,0,0,18,4,False
2,0,0,17,4,False
2,0,0,15,3,False
2,0,0,16,2,True
