Louie Schwartzberg,Paul Nicklen,Fiorenzo Omenetto,Ron Gutman,Iraola,isPartial
0,14,0,14,28,False
0,0,0,0,37,False
0,0,0,0,17,False
0,0,0,0,31,False
0,11,0,0,27,False
0,0,0,0,35,False
12,12,0,0,28,False
0,0,0,11,39,False
0,10,0,0,31,False
0,10,0,11,21,False
0,0,0,0,14,False
0,10,0,0,33,False
0,9,0,0,26,False
0,18,0,9,23,False
0,23,0,0,18,False
0,0,0,0,17,False
0,7,0,0,17,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,0,0,29,False
0,6,6,0,31,False
0,0,0,0,27,False
0,0,0,6,23,False
0,5,0,5,16,False
0,0,0,0,20,False
0,0,0,0,38,False
0,0,0,0,19,False
0,5,0,0,25,False
0,5,0,0,26,False
0,5,0,5,29,False
0,0,0,0,24,False
0,0,0,0,20,False
0,6,0,0,20,False
0,5,0,4,21,False
0,0,0,8,32,False
3,3,0,3,23,False
0,9,0,4,30,False
0,6,0,0,34,False
0,3,0,0,21,False
0,3,0,3,22,False
3,7,0,3,28,False
0,3,0,0,16,False
3,6,0,4,21,False
0,5,3,0,30,False
0,3,0,5,27,False
2,6,0,0,16,False
0,8,0,5,26,False
0,4,0,2,22,False
0,7,0,2,27,False
0,6,0,2,26,False
0,3,0,0,32,False
0,3,0,2,29,False
0,5,0,2,18,False
0,4,0,2,21,False
2,4,0,2,34,False
0,4,0,0,33,False
0,2,0,2,29,False
0,5,0,2,28,False
0,5,0,2,27,False
0,2,0,2,28,False
0,3,0,0,29,False
0,5,0,2,23,False
0,7,0,0,29,False
0,3,0,0,28,False
0,2,2,0,23,False
0,2,0,0,25,False
0,2,2,0,26,False
0,1,1,1,37,False
0,4,1,3,32,False
1,41,0,0,32,False
0,16,0,0,32,False
1,10,0,1,35,False
0,7,0,0,23,False
0,4,0,2,25,False
0,6,1,1,26,False
0,7,0,2,26,False
0,5,1,1,27,False
0,3,0,1,18,False
1,5,2,0,23,False
1,3,0,2,33,False
0,4,0,2,33,False
0,4,1,1,41,False
1,2,0,0,29,False
0,3,1,1,26,False
0,5,0,0,31,False
1,7,1,2,39,False
0,4,2,1,29,False
3,9,2,7,31,False
2,6,1,3,28,False
1,3,1,4,24,False
2,4,1,3,34,False
1,7,1,2,32,False
4,5,1,1,25,False
9,3,1,1,27,False
9,4,1,2,23,False
7,3,1,1,24,False
7,4,1,1,25,False
6,3,1,2,55,False
6,4,1,3,27,False
4,2,1,2,39,False
5,2,1,1,26,False
3,4,0,1,24,False
3,1,1,1,24,False
4,3,2,1,25,False
4,11,2,1,25,False
8,7,2,2,20,False
4,3,1,0,24,False
6,5,2,1,25,False
4,10,1,1,25,False
4,3,1,2,21,False
4,5,1,2,25,False
4,4,1,2,21,False
3,6,1,2,22,False
2,21,1,1,23,False
4,5,1,2,23,False
2,8,1,2,25,False
3,4,1,1,24,False
10,9,1,2,24,False
6,4,2,1,24,False
8,5,0,2,24,False
6,7,0,2,23,False
6,10,0,1,26,False
29,7,0,1,18,False
11,6,1,2,21,False
7,5,1,1,19,False
6,4,1,1,20,False
10,3,0,1,29,False
8,3,0,1,30,False
7,3,0,1,26,False
8,4,1,1,26,False
5,3,0,2,19,False
5,5,0,1,22,False
5,10,0,2,25,False
5,5,0,2,31,False
4,5,0,2,36,False
4,3,0,2,100,False
3,6,0,1,40,False
5,3,0,1,48,False
4,3,0,2,33,False
4,8,0,1,27,False
4,6,0,1,22,False
5,6,0,1,20,False
4,4,0,1,22,False
3,7,0,2,24,False
3,5,1,2,18,False
4,4,0,1,21,False
2,4,0,1,20,False
3,3,1,1,26,False
3,2,1,1,24,False
3,3,0,1,27,False
4,5,0,2,16,False
4,3,0,2,22,False
3,5,0,1,22,False
4,5,0,1,27,False
3,4,0,1,20,False
3,6,1,2,17,False
3,5,0,2,19,False
2,4,0,1,18,False
2,9,0,1,17,False
2,7,0,1,19,False
1,34,0,1,18,False
2,9,1,1,17,False
2,4,1,1,15,False
4,7,0,1,14,False
4,6,0,2,14,False
3,10,0,0,15,False
2,26,1,1,11,False
1,9,0,1,16,False
2,9,0,2,18,False
2,11,0,2,17,False
2,10,0,0,12,False
2,6,0,3,16,False
1,7,0,1,17,False
1,6,0,1,15,False
1,11,0,1,16,False
2,8,0,1,17,False
4,6,0,1,19,False
2,13,1,1,15,False
2,15,0,1,15,False
2,8,0,1,15,False
1,7,0,0,18,False
2,9,0,1,15,False
3,8,0,1,16,False
2,7,0,0,19,False
1,5,0,1,15,False
2,6,0,1,19,False
2,14,0,0,19,False
4,9,0,1,15,False
2,10,0,1,16,False
3,9,1,1,17,False
3,10,0,1,15,False
2,10,0,0,25,False
2,9,0,1,46,False
3,6,0,1,20,False
2,9,0,1,13,False
2,7,0,1,13,False
2,4,0,1,16,False
2,6,0,1,28,False
1,6,1,0,26,False
2,6,1,1,19,False
2,5,0,0,16,True
