Amit Sood,Leonard Susskind,Ed Boyden,Thomas Heatherwick,Iraola,isPartial
0,18,0,18,9,False
0,0,0,26,27,False
0,11,0,33,11,False
0,8,0,17,25,False
7,0,7,15,18,False
0,0,0,11,25,False
0,8,0,8,15,False
0,14,0,0,36,False
0,0,0,20,20,False
0,7,0,10,7,False
0,7,0,20,7,False
0,0,0,19,22,False
5,0,5,22,14,False
0,6,6,20,14,False
0,5,5,26,7,False
0,5,0,11,11,False
5,0,0,9,14,False
5,5,0,10,10,False
0,0,0,15,12,False
0,0,5,5,5,False
0,4,0,4,17,False
0,0,0,14,24,False
0,4,0,4,24,False
0,6,0,4,14,False
3,7,0,12,9,False
0,5,4,9,12,False
3,3,0,12,24,False
0,5,0,6,11,False
0,6,0,13,19,False
0,0,0,100,12,False
3,6,3,12,17,False
0,0,0,7,13,False
6,11,0,12,11,False
2,3,0,13,10,False
2,0,2,20,15,False
3,3,3,6,24,False
2,7,0,13,18,False
0,3,0,14,23,False
0,0,2,19,21,False
0,2,2,9,11,False
0,4,2,8,15,False
2,4,0,30,15,False
2,2,0,10,7,False
2,3,0,14,14,False
0,3,2,8,17,False
2,5,2,13,20,False
0,2,1,17,10,False
2,2,0,6,18,False
1,4,2,4,13,False
1,0,1,8,18,False
0,1,2,9,14,False
1,2,3,5,22,False
1,3,1,13,16,False
0,4,0,5,11,False
0,7,1,9,13,False
1,8,1,3,25,False
1,8,1,6,21,False
2,6,2,7,20,False
0,5,3,10,19,False
1,6,1,5,19,False
1,3,0,7,17,False
0,6,2,8,18,False
0,3,2,4,18,False
1,6,1,3,19,False
2,3,1,8,19,False
1,7,2,4,14,False
0,7,1,7,16,False
0,5,0,4,18,False
3,6,1,5,24,False
1,7,2,6,22,False
3,7,1,5,20,False
1,5,0,2,20,False
1,6,2,7,24,False
2,7,1,7,15,False
1,6,1,8,13,False
2,8,1,8,17,False
1,3,2,11,18,False
2,8,3,4,17,False
1,8,2,5,11,False
1,10,1,5,16,False
0,6,1,5,19,False
1,4,2,5,20,False
0,5,2,5,25,False
1,7,1,7,19,False
0,7,1,3,16,False
3,7,2,8,19,False
1,6,2,8,22,False
1,9,2,6,17,False
5,14,3,16,20,False
2,14,3,8,17,False
2,8,3,3,15,False
1,8,1,5,20,False
2,8,1,6,20,False
1,10,1,6,15,False
0,8,3,7,17,False
1,8,2,5,15,False
0,8,1,7,13,False
1,6,0,7,17,False
1,6,2,6,32,False
4,9,1,6,17,False
2,7,2,12,23,False
1,8,2,14,16,False
1,9,1,33,15,False
1,7,1,27,14,False
2,9,2,26,14,False
0,9,1,15,14,False
0,9,1,11,13,False
1,9,1,7,15,False
1,7,2,9,17,False
1,8,2,11,17,False
1,9,3,11,12,False
1,9,3,9,15,False
1,8,2,7,14,False
1,10,1,8,14,False
1,8,2,11,13,False
1,8,1,8,14,False
1,8,1,9,15,False
1,5,1,11,15,False
1,9,1,12,15,False
1,7,1,8,16,False
1,9,2,7,13,False
1,6,2,8,14,False
1,9,1,11,16,False
2,7,1,6,12,False
2,8,1,9,12,False
1,6,1,6,13,False
1,8,2,5,13,False
1,5,1,5,18,False
1,6,2,12,20,False
1,5,1,10,17,False
1,8,0,10,18,False
1,8,1,6,12,False
1,7,1,6,13,False
1,6,1,9,16,False
1,6,1,11,20,False
2,6,1,9,22,False
1,6,1,7,61,False
2,8,1,9,24,False
1,7,1,7,30,False
2,7,1,6,21,False
2,5,1,10,17,False
2,7,1,8,14,False
2,9,1,10,12,False
1,7,1,6,12,False
1,5,1,6,15,False
2,6,1,7,12,False
2,4,1,9,13,False
1,5,1,7,12,False
1,4,1,8,15,False
3,6,0,5,15,False
2,5,1,4,17,False
1,5,1,5,10,False
2,4,1,9,13,False
1,4,1,6,15,False
2,5,1,7,17,False
1,7,0,4,12,False
2,4,1,6,12,False
2,6,1,5,13,False
1,4,0,5,13,False
1,6,1,6,11,False
1,6,1,5,11,False
2,4,1,5,12,False
2,3,1,4,10,False
2,4,1,5,9,False
1,5,1,8,9,False
1,6,1,5,9,False
1,4,1,6,9,False
1,4,1,6,7,False
1,5,1,6,10,False
1,6,1,7,12,False
1,7,1,8,10,False
2,5,1,6,8,False
1,5,2,4,11,False
1,5,1,5,10,False
2,3,1,3,10,False
2,5,1,5,10,False
1,5,1,6,10,False
2,5,1,7,12,False
1,4,1,6,10,False
1,8,1,3,10,False
1,4,1,5,9,False
1,5,1,5,10,False
1,4,1,14,9,False
2,5,2,9,9,False
1,6,1,6,13,False
1,5,1,6,9,False
1,4,1,5,12,False
1,4,1,6,11,False
1,5,1,8,10,False
1,4,1,7,10,False
1,3,1,4,11,False
1,4,1,5,10,False
1,5,1,5,15,False
1,5,1,7,30,False
1,8,0,4,13,False
1,6,1,4,8,False
2,6,1,3,7,False
1,5,0,3,11,False
1,6,1,3,19,False
3,5,0,3,16,False
2,4,1,4,11,False
1,5,0,4,10,True
