Hans Rosling,Tony Robbins,Julia Sweeney,Joshua Prince-Ramus,Iraola,isPartial
0,48,4,0,3,False
0,30,3,0,2,False
2,41,6,0,3,False
0,32,1,0,3,False
0,25,9,0,2,False
1,33,0,0,2,False
0,34,2,0,2,False
0,33,1,0,4,False
1,34,2,0,3,False
0,30,3,0,2,False
1,35,3,0,1,False
0,32,3,0,1,False
0,37,4,0,3,False
1,34,2,0,3,False
0,30,2,0,1,False
1,28,4,0,2,False
1,25,2,0,2,False
1,30,16,0,2,False
1,25,3,0,3,False
1,26,1,0,1,False
1,25,2,0,2,False
1,24,4,0,3,False
0,27,2,0,3,False
1,45,2,0,2,False
1,35,3,0,2,False
1,29,2,0,2,False
0,28,2,0,4,False
0,22,2,1,2,False
0,23,4,0,4,False
0,26,5,0,4,False
1,24,2,1,3,False
1,22,2,0,2,False
1,26,2,0,1,False
1,25,7,0,1,False
1,26,7,0,3,False
1,21,7,0,2,False
1,23,2,0,2,False
1,22,4,0,3,False
1,28,3,1,3,False
1,22,5,0,2,False
1,18,4,0,2,False
2,20,3,1,2,False
3,24,4,0,3,False
1,21,3,1,2,False
2,21,1,0,3,False
2,21,3,0,2,False
2,23,3,0,2,False
1,20,2,0,3,False
2,24,3,0,2,False
2,23,2,0,2,False
2,19,2,0,3,False
1,18,4,0,3,False
2,15,3,0,2,False
1,20,2,0,1,False
1,19,1,0,2,False
1,21,2,0,4,False
1,20,2,0,3,False
2,20,1,0,3,False
2,18,1,0,3,False
1,19,1,0,3,False
1,20,1,0,3,False
2,21,2,0,3,False
2,26,1,0,3,False
2,25,2,0,3,False
7,29,2,0,3,False
2,26,2,0,3,False
2,26,2,0,3,False
3,29,2,0,3,False
3,24,2,0,4,False
3,22,2,0,3,False
5,25,2,0,4,False
5,21,7,0,3,False
4,24,2,0,3,False
3,21,2,0,2,False
3,21,2,0,2,False
3,18,2,0,3,False
3,19,3,0,2,False
3,21,2,0,2,False
4,55,2,0,2,False
2,55,2,0,2,False
4,28,2,0,2,False
4,25,2,0,3,False
4,24,2,0,4,False
10,18,1,0,3,False
6,21,1,0,3,False
6,22,1,0,5,False
5,21,2,0,4,False
4,20,5,0,3,False
4,19,2,0,4,False
4,19,2,0,3,False
3,19,2,0,2,False
3,16,2,0,4,False
4,19,1,0,3,False
4,17,1,0,3,False
7,19,1,0,2,False
3,19,2,0,2,False
8,23,2,0,2,False
4,41,1,0,3,False
4,31,2,0,4,False
5,46,2,0,3,False
5,32,2,0,4,False
4,24,3,0,2,False
4,47,2,0,2,False
4,27,2,0,2,False
4,27,2,0,2,False
4,25,1,0,2,False
4,25,1,0,2,False
4,23,2,0,2,False
4,32,2,0,2,False
4,27,2,0,2,False
3,29,2,0,2,False
4,27,4,0,2,False
3,27,2,0,2,False
3,25,2,0,2,False
3,27,2,0,2,False
2,25,1,0,2,False
3,22,1,0,3,False
3,21,1,0,2,False
7,28,2,0,2,False
3,22,1,0,2,False
5,24,2,0,2,False
8,24,1,0,3,False
4,25,1,0,2,False
4,22,1,0,2,False
3,21,1,0,2,False
3,21,1,0,2,False
3,21,1,0,3,False
3,20,1,0,3,False
6,23,2,0,3,False
5,28,2,0,3,False
4,42,4,0,3,False
3,43,2,0,2,False
4,37,1,0,2,False
3,32,2,0,3,False
3,39,1,0,3,False
4,31,2,0,4,False
3,28,1,0,9,False
3,29,1,0,4,False
2,31,1,0,4,False
3,30,2,0,4,False
32,29,1,0,3,False
12,33,1,0,2,False
9,29,1,0,2,False
5,28,2,0,2,False
4,31,1,0,2,False
3,29,1,0,2,False
3,35,1,0,2,False
3,37,1,0,2,False
3,29,0,0,3,False
2,46,1,0,3,False
2,100,1,0,3,False
2,84,1,0,2,False
3,61,1,0,2,False
4,49,1,0,3,False
3,47,1,0,3,False
2,48,1,0,2,False
2,55,1,0,2,False
48,54,1,0,2,False
6,87,1,0,2,False
4,55,1,0,2,False
3,54,1,0,2,False
2,51,1,0,2,False
2,56,0,0,2,False
3,52,1,0,2,False
3,53,1,0,2,False
3,51,1,0,2,False
4,55,1,0,2,False
3,48,1,0,1,False
4,57,1,0,2,False
4,56,1,0,2,False
4,54,1,0,1,False
8,78,1,0,1,False
7,50,1,0,2,False
7,54,0,0,2,False
4,50,1,0,2,False
5,66,0,0,2,False
6,52,1,0,2,False
5,55,1,0,2,False
5,60,1,0,2,False
6,54,1,0,2,False
7,51,1,0,1,False
5,50,1,0,2,False
4,54,2,0,1,False
4,59,2,0,2,False
4,81,2,0,2,False
3,50,1,0,2,False
4,47,1,0,2,False
4,51,1,0,2,False
4,49,1,0,2,False
4,43,1,0,1,False
5,49,1,0,2,False
4,36,2,0,2,False
4,49,2,0,3,False
4,44,1,0,4,False
4,36,1,0,2,False
4,37,1,0,1,False
3,37,1,0,2,False
3,42,1,0,1,False
3,44,1,0,3,False
3,35,1,0,3,False
4,33,1,0,2,False
2,30,1,0,2,True
