Markus Fischer,Rory Stewart,Geoffrey West,Paul Bloom,Iraola,isPartial
3,1,1,12,3,False
4,0,1,8,4,False
2,0,0,6,2,False
1,0,0,6,3,False
1,1,1,5,3,False
2,1,2,7,3,False
1,1,2,3,3,False
2,1,1,5,4,False
2,0,2,6,3,False
1,2,1,3,2,False
3,2,1,3,1,False
2,2,0,4,3,False
2,1,1,5,2,False
2,0,1,3,2,False
2,0,1,4,2,False
1,1,1,3,2,False
2,1,1,1,2,False
1,1,1,3,1,False
1,1,1,3,1,False
1,1,1,2,1,False
1,1,1,2,3,False
1,1,1,3,3,False
2,1,1,3,3,False
1,1,1,4,2,False
1,1,1,4,2,False
2,1,2,3,2,False
2,0,2,4,4,False
1,1,1,3,2,False
2,0,1,3,2,False
2,3,1,3,2,False
1,2,1,2,3,False
1,4,0,1,2,False
2,2,1,2,2,False
1,3,1,1,2,False
1,2,0,2,2,False
2,2,1,2,3,False
2,3,1,2,2,False
1,2,1,1,3,False
1,3,0,1,3,False
1,3,1,1,2,False
1,2,1,1,2,False
1,2,1,2,3,False
2,2,0,1,1,False
1,2,1,2,2,False
1,2,1,2,3,False
1,2,0,2,3,False
1,2,1,2,1,False
0,2,1,3,2,False
1,6,1,2,2,False
1,2,0,2,3,False
1,1,1,1,3,False
1,1,0,2,3,False
1,2,0,1,3,False
1,1,1,1,2,False
1,2,0,2,2,False
1,2,1,2,3,False
1,2,0,2,3,False
1,1,0,1,3,False
1,1,1,1,3,False
1,2,0,2,3,False
1,1,1,1,3,False
1,1,0,1,3,False
1,1,0,1,2,False
1,1,1,2,3,False
1,1,0,1,3,False
1,1,0,2,2,False
1,2,1,1,2,False
1,2,0,1,3,False
1,3,1,2,4,False
1,3,1,2,3,False
1,3,1,1,3,False
1,4,0,2,3,False
1,8,0,3,3,False
1,5,0,2,2,False
1,3,0,2,2,False
1,2,1,2,2,False
1,6,0,2,2,False
1,3,1,3,3,False
1,3,0,2,2,False
1,2,0,2,2,False
1,2,0,2,3,False
1,2,0,1,3,False
1,4,1,1,4,False
1,2,1,1,3,False
1,2,1,1,2,False
1,2,1,1,3,False
1,4,1,1,4,False
1,2,1,1,3,False
1,2,1,1,3,False
1,2,1,1,3,False
1,2,1,2,2,False
1,3,1,1,3,False
1,2,1,2,3,False
1,2,1,2,2,False
1,1,1,1,3,False
1,1,0,1,2,False
1,1,1,2,2,False
1,1,1,1,2,False
1,1,0,1,5,False
1,1,1,2,3,False
1,3,0,1,4,False
1,2,0,1,2,False
1,1,1,1,2,False
1,1,0,1,2,False
1,1,1,1,2,False
1,1,1,1,2,False
1,1,1,1,2,False
1,1,0,1,2,False
1,1,1,2,2,False
1,1,1,1,2,False
1,1,1,1,2,False
1,1,0,1,2,False
1,1,1,1,2,False
1,1,0,1,2,False
1,0,0,1,2,False
1,1,1,1,2,False
1,1,0,1,2,False
1,1,0,1,2,False
1,1,0,2,2,False
2,1,1,3,2,False
1,1,0,2,2,False
1,1,1,1,2,False
1,2,0,1,2,False
1,3,0,2,2,False
1,1,0,1,2,False
1,1,0,1,2,False
1,1,0,2,2,False
1,2,0,2,3,False
1,2,0,2,3,False
1,1,0,1,2,False
1,1,0,1,2,False
1,1,1,1,2,False
1,1,0,1,2,False
1,1,1,1,2,False
1,1,1,1,3,False
1,1,0,1,3,False
1,3,0,1,9,False
1,1,0,1,4,False
0,1,0,1,5,False
1,1,0,1,3,False
1,1,0,1,3,False
1,1,0,1,2,False
1,1,0,1,2,False
1,2,0,1,2,False
1,1,0,1,2,False
1,1,0,1,2,False
1,1,0,1,2,False
1,0,0,1,2,False
1,1,0,1,2,False
1,1,0,1,2,False
0,2,0,1,3,False
1,1,1,2,2,False
1,1,0,1,2,False
1,1,0,1,2,False
1,1,0,1,3,False
1,1,0,3,2,False
1,1,0,2,2,False
1,1,0,1,2,False
1,1,0,2,2,False
1,1,0,2,2,False
1,1,1,2,2,False
1,1,1,1,2,False
1,1,2,1,2,False
1,1,1,1,1,False
1,1,1,1,1,False
1,2,0,1,1,False
1,3,1,1,1,False
1,1,1,1,1,False
1,2,1,1,1,False
1,1,0,1,2,False
1,1,1,1,2,False
1,1,0,1,1,False
1,1,0,1,1,False
1,1,0,1,2,False
0,1,1,1,1,False
0,2,1,1,2,False
1,2,1,1,2,False
1,1,1,2,2,False
1,2,0,1,1,False
1,2,1,1,1,False
1,4,1,1,1,False
1,1,0,2,2,False
1,3,0,1,1,False
1,2,0,1,2,False
1,34,0,1,2,False
1,100,0,1,1,False
1,7,0,1,2,False
0,5,0,1,2,False
1,12,0,1,1,False
1,12,0,1,1,False
1,5,1,1,2,False
0,5,0,1,1,False
1,3,0,1,2,False
1,4,0,2,4,False
1,4,0,2,2,False
1,1,0,2,1,False
0,2,0,1,1,False
1,1,0,1,1,False
0,1,0,1,3,False
1,1,0,1,2,False
1,1,0,1,2,False
1,1,0,1,2,True
