Janine Benyus,Craig Venter,Golan Levin,Susan Savage-Rumbaugh,Iraola,isPartial
0,10,4,0,5,False
4,8,7,0,11,False
0,13,0,0,7,False
3,6,3,0,7,False
3,8,6,0,7,False
0,7,0,0,6,False
0,8,6,0,6,False
0,10,3,0,11,False
0,6,4,0,6,False
3,7,3,0,5,False
3,9,0,0,3,False
0,9,3,0,4,False
0,11,7,0,5,False
2,14,7,0,7,False
0,12,3,0,5,False
0,6,3,0,7,False
0,5,5,0,5,False
0,8,3,0,6,False
2,11,2,0,6,False
2,8,2,0,4,False
2,11,3,0,7,False
3,12,2,0,6,False
2,10,4,0,5,False
2,8,2,0,6,False
1,7,1,0,4,False
2,4,4,0,5,False
2,7,2,0,8,False
1,7,2,0,5,False
3,6,4,0,8,False
0,5,3,0,8,False
1,7,2,0,8,False
1,5,2,0,5,False
1,5,2,0,6,False
1,8,2,0,5,False
1,7,1,0,6,False
0,6,2,0,6,False
1,7,1,0,5,False
1,5,1,0,6,False
1,9,1,0,6,False
1,5,1,0,6,False
1,6,1,0,7,False
1,14,2,0,6,False
2,9,1,0,7,False
2,5,3,0,6,False
1,16,1,0,7,False
1,46,1,0,5,False
2,20,1,0,6,False
1,24,2,0,6,False
1,32,1,0,6,False
1,18,2,0,5,False
1,14,1,0,6,False
2,14,2,0,6,False
1,10,2,0,7,False
1,12,1,0,4,False
1,6,1,0,4,False
1,8,1,0,8,False
1,8,1,0,8,False
1,10,1,0,7,False
1,9,2,0,8,False
1,8,1,0,7,False
1,9,1,0,6,False
2,10,1,0,6,False
1,8,1,0,6,False
1,7,1,0,8,False
2,7,1,0,7,False
1,5,1,0,7,False
1,10,1,0,7,False
2,10,2,0,8,False
1,9,1,0,9,False
1,8,1,0,8,False
2,8,1,0,9,False
1,6,1,0,8,False
1,8,1,0,8,False
1,8,1,0,5,False
2,7,1,0,7,False
1,8,1,0,6,False
1,100,1,0,6,False
1,29,0,0,7,False
1,13,1,0,5,False
1,11,0,0,6,False
1,11,1,0,6,False
1,11,1,0,8,False
1,22,1,0,11,False
1,10,0,0,8,False
1,10,1,0,8,False
1,9,1,0,10,False
1,9,1,0,10,False
1,9,1,0,8,False
1,9,1,0,9,False
1,10,0,0,8,False
0,6,0,0,6,False
1,7,1,0,9,False
0,7,0,0,9,False
1,9,0,0,7,False
1,8,0,0,6,False
1,5,0,0,6,False
1,7,0,0,7,False
1,7,1,0,8,False
1,6,1,0,12,False
1,7,0,0,8,False
1,8,1,0,12,False
1,6,1,0,5,False
1,7,0,0,6,False
1,6,0,0,6,False
1,7,1,0,7,False
1,7,1,0,5,False
1,6,0,0,6,False
0,6,0,0,6,False
1,6,0,0,6,False
1,6,1,0,6,False
1,5,1,0,5,False
1,6,1,0,5,False
1,7,0,0,6,False
1,4,0,0,5,False
0,4,0,0,5,False
0,3,1,0,7,False
1,4,0,0,7,False
1,9,0,0,6,False
1,7,0,0,6,False
1,6,0,0,6,False
1,5,0,0,6,False
1,5,0,0,7,False
1,9,0,0,7,False
1,6,0,0,6,False
0,5,1,0,6,False
1,4,0,0,6,False
0,4,0,0,6,False
1,4,0,0,8,False
1,5,0,0,9,False
1,4,0,0,7,False
0,4,0,0,7,False
1,4,0,0,5,False
0,4,0,0,6,False
0,6,0,0,6,False
1,4,0,0,8,False
1,4,0,0,11,False
0,4,0,0,23,False
0,3,0,0,11,False
0,3,0,0,12,False
0,4,0,0,9,False
0,5,0,0,6,False
1,4,0,0,6,False
1,4,0,0,6,False
0,3,0,0,5,False
0,3,0,0,6,False
1,4,0,0,4,False
1,7,0,0,5,False
1,4,0,0,5,False
1,4,0,0,7,False
0,3,0,0,7,False
0,2,0,0,7,False
0,3,0,0,5,False
1,3,0,0,5,False
1,3,0,0,7,False
1,4,0,0,7,False
0,2,0,0,6,False
1,3,0,0,4,False
0,4,0,0,5,False
0,4,0,0,4,False
1,3,0,0,4,False
0,4,0,0,5,False
0,3,0,0,4,False
0,2,0,0,4,False
0,3,0,0,4,False
0,3,0,0,4,False
1,3,0,0,4,False
1,3,0,0,4,False
0,3,0,0,3,False
1,3,0,0,4,False
1,3,0,0,4,False
0,3,0,0,4,False
1,2,0,0,3,False
1,3,0,0,4,False
0,2,0,0,4,False
0,3,0,0,4,False
1,2,0,0,5,False
0,2,0,0,5,False
1,2,0,0,5,False
1,2,0,0,5,False
1,2,0,0,5,False
0,2,0,0,4,False
1,2,0,0,4,False
1,2,0,0,4,False
1,2,0,0,4,False
1,2,0,0,4,False
0,1,0,0,4,False
0,1,0,0,5,False
1,2,0,0,4,False
1,2,0,0,5,False
0,2,0,0,4,False
1,2,0,0,4,False
0,1,0,0,4,False
0,2,0,0,7,False
0,2,0,0,12,False
0,3,0,0,5,False
0,2,0,0,4,False
0,2,0,0,4,False
0,1,0,0,3,False
0,1,0,0,8,False
0,2,0,0,7,False
0,2,0,0,5,False
0,2,0,0,4,True
