Joan Halifax,Edward Tenner,Sarah Kaminsky,Lee Cronin,Iraola,isPartial
0,0,0,0,15,False
14,15,0,0,44,False
36,0,0,0,18,False
14,14,0,0,42,False
0,0,0,0,30,False
0,12,0,0,42,False
0,0,0,0,25,False
0,0,0,0,58,False
11,11,0,0,32,False
0,11,0,0,11,False
16,0,0,0,11,False
10,0,0,10,36,False
18,18,0,0,22,False
9,0,9,0,23,False
16,0,0,8,12,False
13,0,0,0,18,False
8,8,0,0,23,False
8,8,0,8,16,False
12,0,0,0,20,False
8,8,0,0,8,False
7,14,7,0,28,False
19,0,0,6,39,False
7,0,0,0,39,False
13,6,0,0,22,False
11,6,0,0,14,False
6,6,0,6,20,False
0,5,0,5,40,False
11,5,0,11,19,False
5,5,0,0,32,False
5,5,0,5,21,False
10,0,0,0,28,False
7,5,0,0,21,False
9,5,5,5,18,False
4,4,0,0,16,False
8,0,0,0,24,False
8,4,0,4,39,False
0,0,0,4,29,False
8,4,6,4,38,False
7,3,0,0,35,False
7,3,0,0,17,False
9,0,0,3,24,False
5,0,0,3,25,False
3,6,0,3,12,False
14,0,0,0,23,False
3,3,0,3,28,False
5,3,3,5,33,False
5,4,0,0,17,False
4,0,3,0,29,False
8,0,0,2,22,False
5,0,0,2,30,False
8,2,0,0,23,False
4,0,2,4,36,False
9,0,2,9,26,False
6,0,0,7,18,False
7,2,2,0,22,False
4,2,0,3,41,False
6,2,0,0,35,False
2,2,0,2,33,False
5,0,2,6,31,False
7,0,0,0,31,False
3,2,0,3,29,False
2,2,0,2,30,False
4,3,0,2,29,False
7,3,0,0,31,False
8,2,2,5,32,False
6,2,0,0,23,False
6,0,0,2,27,False
8,2,0,3,29,False
4,1,0,3,39,False
5,1,3,0,36,False
6,1,1,2,33,False
3,1,3,2,33,False
3,1,1,3,39,False
5,3,5,1,24,False
4,1,2,1,21,False
8,1,1,3,28,False
5,3,1,2,30,False
3,3,1,2,28,False
2,1,0,1,18,False
4,1,0,3,26,False
5,1,1,3,31,False
2,1,1,1,32,False
3,3,0,3,41,False
4,0,1,2,31,False
6,0,1,2,26,False
4,2,0,2,31,False
4,1,1,3,36,False
5,1,0,1,28,False
4,1,1,2,33,False
2,2,1,3,28,False
2,1,0,2,25,False
2,1,2,1,33,False
16,3,5,6,32,False
4,1,3,4,25,False
2,1,2,1,28,False
4,2,1,5,25,False
5,1,1,2,22,False
6,2,2,4,27,False
6,0,2,0,52,False
3,1,2,2,28,False
5,1,1,2,37,False
4,1,0,0,26,False
5,1,1,3,24,False
3,0,0,1,23,False
5,1,1,4,23,False
3,1,1,3,23,False
4,1,1,2,21,False
3,1,1,1,24,False
9,0,1,2,28,False
6,1,1,5,29,False
4,0,1,3,20,False
4,1,1,4,24,False
6,1,1,2,23,False
3,1,1,2,24,False
4,0,1,3,22,False
4,0,1,2,23,False
5,2,0,3,24,False
2,1,1,3,24,False
3,0,1,4,25,False
4,1,1,2,26,False
7,1,1,1,22,False
4,1,1,2,24,False
4,1,0,1,27,False
4,1,1,3,20,False
4,1,0,3,20,False
4,0,1,2,21,False
4,1,1,1,22,False
6,0,1,3,30,False
8,0,1,3,33,False
5,1,1,2,28,False
5,0,1,2,29,False
4,1,0,2,19,False
7,0,1,3,22,False
6,1,1,4,27,False
5,0,0,3,33,False
3,0,1,1,36,False
5,0,0,2,100,False
4,0,1,1,40,False
4,0,1,2,49,False
4,0,0,3,35,False
4,0,0,1,28,False
3,0,0,2,23,False
2,0,0,2,19,False
5,0,0,2,19,False
3,0,0,2,24,False
4,0,0,3,19,False
4,0,0,1,22,False
3,1,1,3,20,False
2,0,0,2,24,False
2,0,0,1,25,False
3,0,0,2,27,False
5,0,0,1,16,False
3,0,1,3,22,False
1,0,2,2,24,False
3,1,1,1,29,False
3,0,1,1,19,False
3,0,1,2,19,False
4,0,1,1,21,False
4,0,0,2,21,False
2,0,1,2,19,False
5,0,1,1,17,False
3,0,0,2,19,False
1,0,1,3,17,False
3,0,0,1,14,False
5,0,1,2,15,False
10,0,6,3,14,False
3,0,2,2,15,False
2,0,1,2,12,False
5,0,1,2,16,False
5,0,3,4,20,False
5,0,0,2,17,False
4,1,0,4,14,False
4,1,1,3,18,False
5,1,0,3,16,False
5,0,0,2,17,False
2,1,0,2,17,False
2,0,0,3,17,False
3,1,0,3,19,False
3,0,2,2,16,False
2,1,0,2,17,False
3,0,1,5,15,False
5,0,1,4,17,False
4,0,0,3,15,False
5,0,0,2,15,False
3,0,0,3,21,False
4,0,1,3,15,False
5,0,0,1,19,False
3,0,0,11,18,False
3,0,1,8,16,False
2,0,1,4,16,False
4,0,0,4,17,False
4,0,0,5,17,False
2,1,1,4,25,False
4,0,0,6,50,False
2,0,0,7,21,False
4,0,0,4,13,False
5,0,0,3,12,False
3,0,0,6,18,False
3,0,0,4,31,False
4,0,1,5,26,False
2,0,1,4,19,False
2,1,0,5,16,True
