Sasha Dichter,Niall Ferguson,Jean-Baptiste Michel + Erez Lieberman Aiden,Amy Lockwood,Iraola,isPartial
0,20,0,0,15,False
0,18,7,0,19,False
0,9,9,0,9,False
0,28,14,0,16,False
0,62,6,0,14,False
0,48,0,6,18,False
0,36,6,0,15,False
0,45,6,0,20,False
0,16,0,0,16,False
0,26,5,0,11,False
0,24,0,6,7,False
0,20,5,5,17,False
0,25,7,0,13,False
0,17,5,5,12,False
0,16,6,4,9,False
0,24,4,0,9,False
0,13,8,0,9,False
0,17,8,4,8,False
0,13,4,8,8,False
0,19,0,0,8,False
0,10,3,3,15,False
0,11,5,3,16,False
0,16,0,3,14,False
0,10,3,6,12,False
0,26,0,0,8,False
0,13,0,0,11,False
0,18,0,3,20,False
0,17,3,0,10,False
0,20,0,5,13,False
0,33,3,0,14,False
0,21,3,3,15,False
0,33,2,0,13,False
0,24,2,2,11,False
0,32,2,0,10,False
0,19,2,4,11,False
0,24,0,0,17,False
0,22,4,2,12,False
0,21,0,0,16,False
0,16,3,2,18,False
0,17,3,2,11,False
2,16,2,0,12,False
2,9,3,0,15,False
0,12,2,0,8,False
0,9,2,3,11,False
1,12,0,2,16,False
0,16,1,1,14,False
0,15,0,1,8,False
0,13,1,0,14,False
0,15,2,1,12,False
0,7,1,0,14,False
0,14,2,1,14,False
0,13,2,1,17,False
0,15,2,2,15,False
1,14,1,2,9,False
0,20,2,1,11,False
0,7,2,0,18,False
0,15,3,1,17,False
1,17,2,1,15,False
0,56,1,0,15,False
0,42,1,2,14,False
0,46,1,2,15,False
0,46,1,1,15,False
1,38,1,0,12,False
0,26,1,1,15,False
0,21,0,1,15,False
0,29,1,1,12,False
1,29,1,0,13,False
0,42,0,1,14,False
1,28,1,1,19,False
1,25,1,1,17,False
0,34,1,1,17,False
1,31,1,1,17,False
1,27,1,1,18,False
1,49,1,1,12,False
0,33,1,1,13,False
1,22,1,1,14,False
0,36,1,1,14,False
0,33,1,1,14,False
0,52,1,1,9,False
1,35,1,1,12,False
0,30,1,1,17,False
1,26,1,1,17,False
0,30,2,1,21,False
0,26,2,1,15,False
0,28,1,1,14,False
2,53,1,0,16,False
1,74,0,0,20,False
0,46,1,0,15,False
0,39,0,0,16,False
0,46,3,0,14,False
1,29,1,1,12,False
0,34,1,0,18,False
2,54,1,1,17,False
1,36,1,1,13,False
1,84,2,0,14,False
2,74,1,1,12,False
1,48,1,1,12,False
1,39,2,1,13,False
0,42,1,2,29,False
1,38,1,1,14,False
0,50,3,1,21,False
1,52,1,2,13,False
0,41,1,2,13,False
0,100,1,1,12,False
0,40,1,1,13,False
0,30,1,1,13,False
0,29,1,1,11,False
0,23,1,0,13,False
0,24,1,1,13,False
0,21,1,1,13,False
0,23,1,1,11,False
0,22,1,1,13,False
0,58,1,1,11,False
1,39,0,0,11,False
0,22,1,2,12,False
1,21,1,1,12,False
0,22,1,1,13,False
0,33,1,1,13,False
0,22,1,2,13,False
0,23,1,1,13,False
0,21,1,1,12,False
0,20,1,0,12,False
1,23,1,0,14,False
0,20,1,1,10,False
0,16,1,1,11,False
0,16,1,1,10,False
0,15,1,1,11,False
0,19,1,1,15,False
0,24,1,1,16,False
0,16,1,1,14,False
0,16,1,1,13,False
0,14,1,1,10,False
0,14,1,1,11,False
0,14,1,0,13,False
0,15,1,1,16,False
0,14,0,1,19,False
0,16,1,1,52,False
0,13,0,1,21,False
0,11,0,1,25,False
0,10,0,0,17,False
0,15,1,1,14,False
0,21,1,1,12,False
0,22,1,1,11,False
0,14,1,1,11,False
0,16,1,0,12,False
0,14,1,0,9,False
0,14,1,1,11,False
0,13,1,0,11,False
0,18,0,1,13,False
0,17,0,1,13,False
0,12,1,0,14,False
0,9,1,1,8,False
0,12,0,0,11,False
0,12,0,1,12,False
0,17,0,1,14,False
0,19,1,1,10,False
0,14,1,1,9,False
0,14,1,0,10,False
0,13,1,0,9,False
0,14,1,0,9,False
1,12,0,1,10,False
0,9,0,0,9,False
0,9,0,1,9,False
0,13,0,1,8,False
0,11,0,0,7,False
0,16,1,0,8,False
0,15,0,0,8,False
0,14,0,0,6,False
0,19,0,0,8,False
0,25,0,0,9,False
0,23,0,0,9,False
0,15,1,0,7,False
0,14,1,0,8,False
0,34,0,0,9,False
0,12,0,0,8,False
0,10,0,0,9,False
0,14,0,0,9,False
0,14,0,0,10,False
0,11,0,0,8,False
0,14,1,0,8,False
0,16,0,0,8,False
0,12,0,1,9,False
0,14,0,1,8,False
0,11,0,0,9,False
0,10,1,0,10,False
0,13,1,0,8,False
0,12,0,1,10,False
0,16,0,0,10,False
0,12,1,0,8,False
0,7,0,0,8,False
0,13,0,0,9,False
0,10,0,0,8,False
0,15,0,0,13,False
0,11,0,1,24,False
0,25,0,0,10,False
0,22,0,0,7,False
0,30,0,0,7,False
0,19,0,0,8,False
0,16,1,0,15,False
0,15,1,0,14,False
0,14,1,0,10,False
0,12,0,0,9,True
