Steve Jobs,Mike Biddle,Charles Hazlewood,Alison Gopnik,Iraola,isPartial
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
2,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
2,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
2,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
2,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
2,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
2,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
3,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
2,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
2,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
1,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
1,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
3,0,0,0,0,False
2,0,0,0,0,False
1,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
4,0,0,0,0,False
5,0,0,0,0,False
3,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
3,0,0,0,0,False
2,0,0,0,0,False
12,0,0,0,0,False
5,0,0,0,0,False
100,0,0,0,0,False
10,0,0,0,0,False
7,0,0,0,0,False
6,0,0,0,0,False
5,0,0,0,0,False
4,0,0,0,0,False
4,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
4,0,0,0,0,False
5,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
2,0,0,0,0,False
5,0,0,0,0,False
5,0,0,0,0,False
4,0,0,0,0,False
4,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
2,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
2,0,0,0,0,False
3,0,0,0,0,False
2,0,0,0,0,False
3,0,0,0,0,False
2,0,0,0,0,False
5,0,0,0,0,False
7,0,0,0,0,False
6,0,0,0,0,False
5,0,0,0,0,False
6,0,0,0,0,False
5,0,0,0,0,False
4,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
3,0,0,0,0,False
3,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
3,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
1,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,False
2,0,0,0,0,True
