Richard Seymour,Ian Ritchie,Pamela Meyer,Jae Rhim Lee,Iraola,isPartial
9,9,0,0,11,False
11,9,0,0,15,False
7,7,7,0,7,False
22,5,0,0,13,False
6,7,0,0,11,False
8,9,5,0,14,False
5,7,10,0,11,False
16,9,0,0,16,False
6,13,0,0,13,False
16,4,4,0,9,False
9,10,4,0,6,False
5,4,0,0,13,False
22,6,3,0,10,False
15,6,4,0,9,False
4,6,3,0,7,False
9,10,0,0,7,False
12,9,0,3,7,False
15,6,3,0,6,False
7,6,6,0,6,False
9,5,3,0,6,False
15,6,3,0,12,False
7,8,3,0,13,False
13,3,4,0,11,False
10,7,3,0,9,False
12,9,5,0,7,False
14,8,2,0,8,False
5,3,2,0,16,False
9,3,4,0,8,False
8,7,2,0,10,False
6,13,3,0,11,False
8,8,2,0,12,False
9,6,2,0,10,False
18,12,2,0,8,False
10,5,2,0,8,False
6,5,2,0,8,False
13,8,2,0,13,False
9,7,3,0,9,False
4,9,1,0,12,False
5,7,1,0,14,False
5,7,1,0,9,False
7,7,4,0,9,False
7,9,1,0,11,False
5,5,0,0,6,False
6,4,2,0,9,False
17,6,1,0,12,False
14,3,3,0,11,False
11,5,2,0,6,False
8,4,1,0,11,False
18,3,1,0,9,False
11,2,2,0,11,False
3,6,1,0,11,False
4,3,1,1,13,False
4,4,1,0,12,False
4,6,1,0,7,False
4,4,2,0,8,False
5,6,2,1,14,False
9,5,2,0,14,False
8,4,1,0,12,False
8,4,1,1,11,False
8,5,1,0,11,False
9,3,1,0,11,False
8,6,2,0,12,False
8,3,1,0,9,False
5,4,1,1,12,False
5,2,1,1,11,False
4,4,1,0,9,False
6,4,1,0,10,False
2,4,1,0,11,False
100,3,1,0,15,False
17,3,1,1,13,False
10,3,1,0,13,False
13,4,1,0,13,False
13,4,1,0,14,False
7,3,1,0,9,False
7,3,1,0,10,False
7,4,2,0,11,False
6,4,1,0,11,False
6,3,1,0,11,False
5,3,1,0,7,False
7,3,1,0,9,False
6,3,1,0,13,False
9,2,2,0,14,False
98,4,1,0,16,False
13,3,0,0,12,False
10,3,2,0,11,False
11,2,1,0,13,False
7,2,1,0,16,False
6,2,1,0,12,False
5,4,1,0,13,False
4,3,1,0,11,False
5,4,1,1,10,False
10,3,1,1,14,False
11,4,1,0,13,False
15,4,6,1,10,False
7,4,5,1,11,False
11,4,3,0,9,False
7,3,2,0,10,False
5,3,2,0,10,False
5,3,2,1,22,False
5,4,2,0,11,False
5,2,2,1,16,False
4,2,2,0,10,False
4,7,3,1,10,False
6,2,3,0,10,False
11,3,2,0,10,False
7,3,2,0,10,False
6,3,3,0,8,False
7,3,1,0,10,False
9,3,3,0,10,False
12,3,3,0,10,False
13,2,2,0,9,False
11,2,2,0,10,False
15,3,2,1,9,False
12,2,3,0,9,False
10,3,3,0,9,False
11,3,2,0,9,False
20,2,1,0,10,False
13,2,1,0,10,False
9,3,2,0,10,False
7,2,2,0,10,False
6,3,3,0,10,False
39,3,3,0,10,False
9,2,3,0,11,False
5,3,2,1,7,False
5,2,2,0,9,False
5,2,3,0,8,False
5,2,2,0,8,False
8,3,2,0,12,False
7,2,2,0,12,False
5,3,3,0,11,False
8,3,2,0,10,False
6,2,2,0,8,False
6,4,3,0,9,False
6,2,2,0,10,False
5,4,2,0,13,False
3,2,2,0,15,False
5,2,2,0,41,False
4,3,2,0,16,False
4,3,2,0,19,False
7,3,2,0,13,False
9,2,2,0,11,False
4,4,2,0,9,False
5,4,2,0,8,False
5,3,2,0,9,False
6,3,2,0,10,False
4,2,2,0,7,False
3,3,1,0,9,False
4,3,2,0,8,False
4,2,1,0,10,False
3,2,1,0,10,False
4,2,1,0,11,False
4,2,1,0,6,False
5,2,2,0,9,False
3,2,2,0,9,False
4,3,1,0,11,False
5,1,2,0,8,False
4,2,1,0,7,False
5,2,2,0,8,False
3,2,1,0,7,False
4,2,2,0,7,False
3,2,1,0,8,False
4,2,1,0,7,False
7,3,1,0,7,False
3,2,1,0,6,False
4,1,1,0,5,False
4,2,1,0,6,False
4,2,1,0,6,False
5,1,1,0,5,False
5,2,1,0,6,False
5,2,1,0,7,False
3,2,1,0,7,False
4,2,1,0,5,False
3,2,1,0,6,False
3,2,1,0,7,False
4,1,1,0,6,False
3,1,1,0,7,False
3,2,1,0,7,False
2,2,1,0,8,False
3,2,1,0,6,False
3,2,2,0,6,False
7,2,1,0,6,False
7,2,2,0,7,False
3,2,2,0,6,False
4,2,2,0,7,False
3,2,1,0,8,False
3,2,1,0,6,False
14,2,1,0,8,False
3,2,1,0,8,False
4,2,1,0,6,False
4,2,1,0,6,False
4,2,1,0,7,False
3,1,2,0,6,False
5,2,1,0,10,False
4,2,1,0,19,False
2,2,1,0,8,False
5,2,1,0,5,False
5,2,1,0,5,False
3,2,1,0,6,False
3,2,1,0,11,False
3,2,1,0,11,False
3,2,1,0,8,False
3,2,1,0,7,True
