Aparna Rao,Ben Kacyra,Allan Jones,Charlie Todd,Iraola,isPartial
14,14,51,23,28,False
0,0,51,14,37,False
0,0,23,26,17,False
0,0,18,20,31,False
0,0,34,29,27,False
0,0,38,17,35,False
18,0,30,20,28,False
22,0,26,34,39,False
0,0,21,0,31,False
21,0,42,16,21,False
0,0,39,11,14,False
10,10,26,10,33,False
9,0,23,13,26,False
18,0,30,18,23,False
8,0,23,15,18,False
9,0,28,8,17,False
0,0,30,12,17,False
8,0,34,10,15,False
0,0,28,8,15,False
7,0,44,37,15,False
13,0,27,13,29,False
6,0,21,16,31,False
6,0,41,8,27,False
6,0,25,12,23,False
8,0,20,7,16,False
6,0,11,13,20,False
5,0,29,11,38,False
5,0,20,5,19,False
9,0,26,6,25,False
0,0,23,10,26,False
0,0,36,16,29,False
0,0,18,9,24,False
0,4,30,13,20,False
0,0,25,12,20,False
4,0,22,12,21,False
0,0,27,9,32,False
3,0,22,13,23,False
4,0,18,13,30,False
0,0,21,16,34,False
0,3,24,10,21,False
6,0,19,9,22,False
4,0,27,8,28,False
3,0,32,9,16,False
0,0,26,6,21,False
3,0,26,4,30,False
2,0,19,4,27,False
2,0,16,17,16,False
3,0,14,30,26,False
3,0,24,30,22,False
2,0,19,34,27,False
2,0,21,28,26,False
0,0,17,18,32,False
2,0,24,12,29,False
2,0,23,15,18,False
8,0,27,19,21,False
3,0,14,15,34,False
3,0,17,17,33,False
3,0,28,12,29,False
0,2,18,18,28,False
2,0,16,15,27,False
2,0,23,9,28,False
0,0,24,10,29,False
3,0,17,9,23,False
2,0,18,10,29,False
2,0,13,7,28,False
3,0,14,11,23,False
2,0,33,10,25,False
3,0,17,15,26,False
2,0,17,12,37,False
2,0,17,13,32,False
3,0,25,13,32,False
2,0,19,14,32,False
0,1,24,13,35,False
2,0,16,12,23,False
1,0,23,16,25,False
0,0,21,14,26,False
1,0,18,8,26,False
1,0,18,10,27,False
1,0,15,10,18,False
2,0,15,13,23,False
2,0,11,9,33,False
2,0,18,11,33,False
1,0,19,7,41,False
2,0,14,5,29,False
2,0,19,13,26,False
2,0,15,9,31,False
2,0,19,17,39,False
1,0,17,12,29,False
2,0,15,9,31,False
2,0,21,8,28,False
2,0,21,8,24,False
2,0,18,8,34,False
1,0,18,10,32,False
1,0,19,7,25,False
6,3,21,15,27,False
1,1,18,10,23,False
4,1,16,11,24,False
2,1,18,9,25,False
1,1,16,10,55,False
1,1,18,8,27,False
1,0,15,10,39,False
2,0,17,9,26,False
2,1,18,11,24,False
1,0,19,12,24,False
3,0,18,7,25,False
2,1,41,13,25,False
1,0,18,12,20,False
2,1,15,7,24,False
2,1,17,8,25,False
2,1,16,10,25,False
1,1,18,9,21,False
1,0,19,10,25,False
1,0,16,7,21,False
2,0,14,7,22,False
2,0,16,9,23,False
1,1,14,8,23,False
1,1,13,7,25,False
1,1,12,11,24,False
1,1,14,9,24,False
1,1,14,7,24,False
2,0,14,7,24,False
6,1,16,10,23,False
3,0,15,8,26,False
2,1,12,6,18,False
2,0,13,8,21,False
2,0,14,8,19,False
3,1,13,9,20,False
2,1,13,6,29,False
2,0,13,7,30,False
1,0,12,8,26,False
1,0,14,6,26,False
1,1,15,9,19,False
1,0,19,12,22,False
2,0,16,7,25,False
2,0,10,7,31,False
1,0,13,7,36,False
2,0,10,37,100,False
2,0,12,10,40,False
2,0,16,10,48,False
1,0,12,6,33,False
1,0,12,9,27,False
2,0,14,9,22,False
2,0,14,12,20,False
1,0,12,8,22,False
1,0,14,9,24,False
1,0,10,8,18,False
2,1,12,7,21,False
1,0,12,8,20,False
0,0,9,7,26,False
1,1,12,7,24,False
1,0,13,6,27,False
1,0,9,5,16,False
1,0,12,7,22,False
1,0,12,5,22,False
1,0,12,11,27,False
1,0,12,7,20,False
1,0,13,6,17,False
1,0,10,6,19,False
1,0,11,7,18,False
1,0,11,7,17,False
1,0,10,6,19,False
1,0,11,7,18,False
1,0,10,6,17,False
1,0,10,5,15,False
2,0,21,7,14,False
1,0,15,9,14,False
1,0,13,6,15,False
0,0,12,5,11,False
1,0,12,7,16,False
2,0,12,6,18,False
1,0,8,5,17,False
2,0,11,5,12,False
1,0,12,5,16,False
1,0,12,6,17,False
1,0,11,4,15,False
1,0,13,4,16,False
2,0,14,5,17,False
1,0,17,4,19,False
2,0,12,6,15,False
1,0,9,4,15,False
0,0,9,5,15,False
1,0,10,5,18,False
2,0,13,5,15,False
1,0,11,6,16,False
1,0,18,5,19,False
1,0,17,3,15,False
1,0,10,6,19,False
1,0,19,5,19,False
2,0,14,7,15,False
0,0,16,5,16,False
0,0,12,6,17,False
1,0,11,6,15,False
1,0,12,7,25,False
1,0,9,5,46,False
0,0,12,5,20,False
1,0,15,7,13,False
1,0,20,6,13,False
1,0,10,6,16,False
3,0,11,6,28,False
1,0,13,7,26,False
1,0,15,5,19,False
1,0,11,7,16,True
