Roger McNamee,Michael Nielsen,Alexander Tsiaras,Yves Rossy,Iraola,isPartial
0,6,4,0,9,False
4,9,0,0,12,False
5,11,0,0,5,False
8,10,0,0,10,False
4,8,4,0,8,False
7,6,4,0,11,False
4,8,0,0,9,False
4,12,4,0,12,False
6,6,0,11,10,False
0,10,0,0,7,False
7,9,3,3,4,False
0,15,3,6,10,False
0,11,5,3,8,False
3,12,3,0,7,False
2,3,7,2,6,False
3,9,8,0,5,False
2,4,2,0,5,False
2,7,2,0,5,False
2,12,2,0,5,False
2,12,7,0,5,False
2,10,5,4,9,False
2,5,2,2,10,False
2,6,4,0,9,False
2,10,2,0,7,False
0,8,3,2,5,False
2,8,2,0,6,False
4,8,2,0,12,False
2,6,2,0,6,False
1,5,1,0,8,False
2,6,3,2,8,False
2,4,2,2,9,False
3,10,2,0,8,False
1,8,3,1,6,False
2,6,0,0,6,False
3,7,1,0,7,False
1,5,0,15,10,False
1,8,3,9,7,False
0,4,2,5,10,False
1,4,1,15,11,False
2,6,1,5,7,False
1,6,0,3,7,False
2,6,1,3,9,False
1,5,2,2,5,False
1,7,2,3,7,False
3,7,0,1,9,False
1,7,0,1,8,False
1,5,1,1,5,False
2,6,2,2,8,False
9,7,1,2,7,False
10,6,1,1,8,False
3,6,0,1,8,False
1,7,1,2,10,False
2,7,0,100,9,False
2,5,1,14,6,False
1,5,0,5,7,False
1,8,1,6,11,False
0,5,1,100,11,False
1,8,0,15,9,False
1,7,0,3,9,False
1,5,1,8,8,False
3,8,1,7,9,False
2,7,0,5,9,False
1,8,0,2,7,False
1,7,1,2,9,False
2,5,0,3,9,False
1,7,0,3,7,False
0,8,0,1,8,False
1,8,0,2,8,False
1,11,0,2,12,False
1,8,1,3,10,False
1,8,0,26,10,False
1,6,1,4,10,False
1,7,0,4,11,False
1,6,0,2,7,False
1,7,0,3,8,False
1,7,0,1,8,False
0,6,0,2,8,False
1,6,0,1,8,False
1,5,0,3,6,False
0,6,0,1,7,False
1,6,0,2,10,False
0,5,0,2,11,False
0,13,0,17,13,False
0,8,1,3,9,False
0,6,0,2,8,False
0,5,0,2,10,False
0,6,1,2,12,False
1,6,0,3,9,False
1,6,0,21,10,False
1,5,0,3,9,False
5,5,0,5,7,False
1,5,0,4,11,False
1,6,0,3,10,False
3,5,0,4,8,False
5,5,2,12,9,False
1,7,1,5,7,False
1,7,1,2,8,False
1,7,1,3,8,False
2,5,1,3,17,False
2,4,2,3,9,False
2,5,1,11,12,False
1,4,1,3,8,False
1,3,0,3,8,False
0,5,0,2,8,False
1,7,0,3,8,False
1,5,1,3,8,False
0,4,0,2,6,False
1,4,1,2,8,False
3,5,2,2,8,False
0,4,1,2,8,False
1,4,0,1,7,False
0,3,1,1,8,False
0,4,0,2,7,False
0,4,0,1,7,False
0,3,0,5,7,False
1,5,0,5,7,False
0,4,0,2,8,False
0,4,0,1,8,False
1,5,0,10,8,False
1,5,0,1,8,False
1,5,1,1,8,False
0,6,0,1,7,False
0,5,0,1,8,False
0,5,0,1,6,False
0,5,0,1,7,False
1,4,0,1,6,False
1,4,0,1,6,False
1,4,0,1,9,False
0,4,0,1,10,False
1,5,0,1,8,False
0,4,0,1,8,False
1,4,0,2,6,False
0,4,0,1,7,False
0,4,0,1,8,False
0,4,0,1,10,False
0,4,0,1,11,False
0,3,0,9,32,False
0,5,0,1,13,False
0,4,0,2,15,False
1,4,0,1,10,False
0,4,0,1,9,False
0,4,0,1,7,False
0,4,0,7,6,False
1,4,0,1,7,False
0,5,0,1,8,False
0,4,0,1,6,False
0,4,0,1,7,False
0,3,0,1,6,False
0,3,0,1,8,False
0,3,0,1,8,False
0,3,0,1,9,False
1,3,0,1,5,False
0,3,0,1,7,False
0,4,0,0,7,False
0,4,0,1,9,False
0,4,0,1,6,False
1,4,0,1,5,False
0,4,0,1,6,False
0,4,0,0,6,False
1,4,0,0,5,False
0,4,0,0,6,False
0,5,0,0,6,False
0,3,0,1,5,False
1,3,0,0,5,False
0,3,0,0,4,False
1,4,0,0,5,False
1,4,0,1,5,False
0,4,0,1,4,False
6,4,0,1,5,False
3,4,0,0,6,False
3,4,0,0,6,False
2,3,0,0,4,False
1,5,0,0,5,False
1,5,0,0,5,False
1,4,0,0,5,False
1,4,0,0,5,False
1,4,0,0,5,False
1,4,0,0,6,False
0,5,0,1,5,False
0,3,0,0,5,False
3,4,0,0,5,False
6,4,0,0,6,False
5,5,0,0,5,False
4,4,0,0,5,False
2,4,0,0,6,False
2,4,0,1,5,False
2,4,0,1,6,False
2,4,0,0,6,False
2,4,0,0,5,False
1,4,0,0,5,False
1,4,0,0,5,False
1,3,0,0,5,False
1,4,0,0,8,False
2,4,0,1,15,False
0,3,0,0,6,False
1,4,0,0,4,False
2,4,0,0,4,False
1,4,0,0,5,False
1,4,0,0,9,False
1,4,0,0,8,False
6,4,0,0,6,False
2,3,0,0,5,True
