Natalie Warne,Phil Plait,Péter Fankhauser,Joe Sabia,Iraola,isPartial
0,0,0,14,28,False
14,0,0,0,37,False
0,17,0,17,17,False
0,13,0,13,31,False
0,0,0,12,27,False
0,11,0,0,35,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,31,False
0,10,0,11,21,False
0,0,0,0,14,False
0,0,0,10,33,False
0,9,0,0,26,False
9,0,0,0,23,False
0,0,0,0,18,False
0,8,0,0,17,False
0,0,0,7,17,False
0,0,0,0,15,False
0,8,0,0,15,False
0,0,0,0,15,False
7,7,0,7,29,False
0,0,0,0,31,False
0,0,0,6,27,False
0,0,0,0,23,False
0,0,0,5,16,False
0,6,0,6,20,False
0,7,0,10,38,False
0,10,0,10,19,False
0,0,0,7,25,False
0,5,0,0,26,False
0,5,0,0,29,False
0,7,0,5,24,False
0,4,0,0,20,False
0,4,0,4,20,False
0,0,0,0,21,False
0,4,0,0,32,False
0,3,0,5,23,False
0,5,0,0,30,False
0,3,0,3,34,False
0,3,0,7,21,False
0,7,0,0,22,False
0,6,0,6,28,False
0,9,0,0,16,False
0,5,0,0,21,False
0,5,0,0,30,False
0,5,0,2,27,False
2,2,0,2,16,False
0,4,0,4,26,False
0,2,0,0,22,False
0,3,0,2,27,False
0,2,0,3,26,False
0,3,0,2,32,False
0,7,0,2,29,False
0,2,0,0,18,False
0,2,0,2,21,False
0,7,0,2,34,False
0,6,0,2,33,False
2,5,0,0,29,False
0,7,0,0,28,False
0,8,0,4,27,False
0,6,0,0,28,False
0,6,0,3,29,False
3,6,0,2,23,False
0,3,0,2,29,False
3,6,0,2,28,False
0,6,0,3,23,False
0,10,0,2,25,False
0,5,0,3,26,False
0,5,0,1,37,False
0,9,0,1,32,False
1,5,0,3,32,False
0,4,0,0,32,False
0,7,0,1,35,False
0,7,0,1,23,False
0,5,0,1,25,False
0,5,0,0,26,False
0,6,0,2,26,False
0,5,0,1,27,False
1,11,0,1,18,False
1,16,0,1,23,False
0,17,0,1,33,False
0,6,0,1,33,False
0,9,0,1,41,False
2,7,0,0,29,False
0,11,0,2,26,False
2,8,0,1,31,False
0,10,0,0,39,False
1,6,0,2,29,False
1,4,0,1,31,False
1,6,0,1,28,False
1,9,0,2,24,False
2,9,0,2,34,False
0,7,0,3,32,False
2,4,0,1,25,False
3,7,1,2,27,False
2,9,1,2,23,False
2,6,0,3,24,False
1,5,0,2,25,False
3,13,0,1,55,False
1,8,0,1,27,False
2,6,0,1,39,False
1,11,0,2,26,False
1,7,1,1,24,False
1,8,0,1,24,False
1,5,0,3,25,False
1,6,0,1,25,False
1,7,0,1,20,False
1,10,0,1,24,False
1,6,0,1,25,False
2,11,0,1,25,False
1,9,0,1,21,False
1,7,0,1,25,False
0,9,1,1,21,False
1,5,0,1,22,False
1,5,0,1,23,False
1,6,0,1,23,False
1,8,0,2,25,False
1,8,0,1,24,False
1,11,0,2,24,False
1,6,0,1,24,False
1,9,0,1,24,False
1,7,0,1,23,False
1,6,0,1,26,False
0,8,0,1,18,False
0,6,0,1,21,False
0,5,0,1,19,False
0,6,0,1,20,False
1,5,0,1,29,False
1,5,0,2,30,False
1,5,0,1,26,False
1,16,0,1,26,False
1,5,0,1,19,False
1,7,0,1,22,False
1,7,0,1,25,False
1,7,0,2,31,False
0,6,0,2,36,False
0,9,0,1,100,False
0,5,0,1,40,False
0,9,0,2,48,False
0,7,0,2,33,False
0,8,0,1,27,False
0,8,0,3,22,False
1,8,0,1,20,False
0,6,0,1,22,False
0,6,0,1,24,False
1,4,0,1,18,False
0,6,0,1,21,False
1,4,0,2,20,False
0,4,0,1,26,False
1,4,0,1,24,False
0,5,0,1,27,False
0,4,0,3,16,False
1,4,0,1,22,False
0,3,0,2,22,False
0,5,0,2,27,False
0,4,0,1,20,False
0,3,0,1,17,False
1,4,0,3,19,False
1,5,0,5,18,False
1,3,0,1,17,False
1,2,0,3,19,False
1,2,0,2,18,False
0,3,0,4,17,False
0,5,0,2,15,False
0,4,0,2,14,False
0,3,0,3,14,False
1,3,0,5,15,False
1,4,0,4,11,False
1,3,0,3,16,False
0,2,0,4,18,False
1,4,0,5,17,False
1,3,0,2,12,False
0,2,0,2,16,False
0,2,0,2,17,False
0,3,0,4,15,False
0,3,0,2,16,False
0,3,0,2,17,False
0,4,0,2,19,False
0,2,0,2,15,False
0,2,0,3,15,False
1,5,0,2,15,False
1,2,0,4,18,False
0,2,0,2,15,False
0,3,0,6,16,False
0,2,0,3,19,False
0,3,0,8,15,False
1,2,0,3,19,False
0,3,0,4,19,False
0,5,0,3,15,False
0,2,0,2,16,False
1,3,0,7,17,False
0,2,0,3,15,False
0,2,0,3,25,False
0,2,0,5,46,False
0,2,0,5,20,False
0,3,0,2,13,False
0,3,0,3,13,False
0,2,0,3,16,False
0,2,0,3,28,False
0,2,0,2,26,False
0,1,0,2,19,False
0,2,0,2,16,True
