Morley,Kirk Sorensen,Charles Hazlewood + British Paraorchestra,Sonaar Luthra,Iraola,isPartial
50,0,0,0,1,False
54,0,0,0,2,False
47,0,1,0,1,False
42,0,0,0,2,False
44,0,0,0,1,False
41,0,0,0,2,False
41,0,0,0,1,False
52,0,0,0,2,False
50,0,0,0,1,False
41,0,0,0,0,False
48,0,0,0,0,False
49,0,0,0,2,False
48,0,0,0,1,False
46,0,0,0,1,False
40,0,0,0,1,False
41,0,0,0,1,False
41,0,0,0,1,False
45,0,0,0,1,False
40,0,0,0,1,False
40,0,0,0,0,False
42,0,0,0,1,False
41,0,0,0,2,False
44,0,0,0,2,False
35,0,0,0,1,False
40,0,0,0,1,False
38,0,0,0,1,False
41,0,0,0,2,False
40,0,0,0,1,False
42,0,0,0,1,False
42,0,0,0,1,False
39,0,0,0,1,False
39,0,0,0,1,False
38,0,0,0,1,False
40,0,0,0,1,False
39,0,0,0,1,False
31,0,0,0,2,False
37,0,0,0,1,False
40,0,0,0,2,False
34,0,0,0,1,False
34,0,0,0,1,False
42,0,0,0,1,False
40,0,0,0,1,False
37,0,0,0,1,False
37,0,0,0,1,False
39,0,0,0,1,False
38,0,0,0,1,False
34,0,0,0,1,False
32,0,0,0,1,False
38,0,0,0,1,False
37,0,0,0,1,False
35,0,0,0,1,False
34,0,0,0,2,False
33,0,0,0,1,False
35,0,0,0,1,False
32,0,0,0,1,False
33,0,0,0,2,False
34,0,0,0,1,False
41,0,0,0,1,False
32,0,0,0,1,False
30,0,0,0,1,False
34,0,0,0,1,False
34,0,0,0,1,False
33,0,0,0,1,False
32,0,0,0,1,False
34,0,0,0,1,False
32,0,0,0,1,False
32,0,0,0,1,False
34,0,0,0,1,False
35,0,0,0,2,False
31,0,0,0,2,False
33,0,0,0,1,False
29,0,0,0,1,False
36,0,0,0,2,False
34,0,0,0,1,False
32,0,0,0,1,False
31,0,0,0,1,False
32,0,0,0,1,False
32,0,0,0,1,False
35,0,0,0,1,False
33,0,0,0,1,False
34,0,0,0,1,False
32,0,0,0,1,False
32,0,0,0,2,False
32,0,0,0,1,False
33,0,0,0,1,False
33,0,0,0,1,False
34,0,0,0,2,False
33,0,0,0,1,False
33,0,0,0,1,False
34,0,0,0,1,False
34,0,0,0,1,False
33,0,0,0,1,False
33,0,0,0,1,False
34,0,0,0,1,False
33,0,0,0,1,False
33,0,0,0,1,False
34,0,0,0,1,False
34,0,0,0,1,False
31,0,0,0,2,False
40,0,0,0,1,False
34,0,0,0,2,False
35,0,0,0,1,False
35,0,0,0,1,False
34,0,0,0,1,False
35,0,0,0,1,False
33,0,0,0,1,False
35,0,0,0,1,False
34,0,0,0,1,False
34,0,0,0,1,False
33,0,0,0,1,False
33,0,0,0,1,False
36,0,0,0,1,False
33,0,0,0,1,False
33,0,0,0,1,False
34,0,0,0,1,False
35,0,0,0,1,False
37,0,0,0,1,False
35,0,0,0,1,False
34,0,0,0,1,False
33,0,0,0,1,False
39,0,0,0,1,False
34,0,0,0,1,False
34,0,0,0,1,False
36,0,0,0,1,False
35,0,0,0,1,False
36,0,0,0,1,False
38,0,0,0,1,False
36,0,0,0,1,False
35,0,0,0,1,False
37,0,0,0,1,False
37,0,0,0,1,False
38,0,0,0,1,False
55,0,0,0,1,False
43,0,0,0,1,False
39,0,0,0,1,False
40,0,0,0,2,False
38,0,0,0,4,False
37,0,0,0,2,False
41,0,0,0,2,False
39,0,0,0,1,False
36,0,0,0,1,False
37,0,0,0,1,False
39,0,0,0,1,False
41,0,0,0,1,False
41,0,0,0,1,False
42,0,0,0,1,False
40,0,0,0,1,False
39,0,0,0,1,False
94,0,0,0,1,False
40,0,0,0,1,False
38,0,0,0,1,False
37,0,0,0,1,False
36,0,0,0,1,False
35,0,0,0,1,False
34,0,0,0,1,False
38,0,0,0,1,False
38,0,0,0,1,False
38,0,0,0,1,False
37,0,0,0,1,False
38,0,0,0,1,False
36,0,0,0,1,False
40,0,0,0,1,False
41,0,0,0,1,False
38,0,0,0,1,False
37,0,0,0,1,False
35,0,0,0,1,False
36,0,0,0,1,False
37,0,0,0,1,False
39,0,0,0,1,False
36,0,0,0,1,False
36,0,0,0,1,False
37,0,0,0,1,False
38,0,0,0,1,False
38,0,0,0,1,False
37,0,0,0,1,False
100,0,0,0,1,False
38,0,0,0,1,False
37,0,0,0,1,False
35,0,0,0,1,False
38,0,0,0,1,False
37,0,0,0,1,False
35,0,0,0,1,False
37,0,0,0,1,False
38,0,0,0,1,False
36,0,0,0,1,False
58,0,0,0,1,False
42,0,0,0,1,False
41,0,0,0,1,False
38,0,0,0,1,False
37,0,0,0,1,False
35,0,0,0,1,False
39,0,0,0,1,False
41,0,0,0,1,False
38,0,0,0,2,False
33,0,0,0,1,False
34,0,0,0,1,False
40,0,1,0,1,False
41,0,0,0,1,False
44,0,0,0,1,False
38,0,0,0,1,False
36,0,0,0,1,False
37,0,0,0,1,True
