Diana Nyad,Brian Goldman,Gayle Tzemach Lemmon,Mick Mountz,Iraola,isPartial
1,2,0,0,2,False
1,1,0,0,2,False
0,2,0,0,1,False
1,1,0,0,2,False
0,1,0,0,2,False
0,1,0,0,2,False
1,1,0,0,2,False
2,1,0,0,3,False
1,1,0,0,2,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,2,False
1,1,0,0,2,False
1,1,0,1,2,False
1,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
1,1,0,0,1,False
2,1,0,0,1,False
0,0,0,0,1,False
0,0,0,0,2,False
0,1,0,0,2,False
0,1,0,0,2,False
0,0,0,0,2,False
0,0,0,0,1,False
0,1,0,0,1,False
0,1,0,0,3,False
0,1,0,0,1,False
0,1,0,0,2,False
0,1,0,0,2,False
0,1,0,0,2,False
0,1,0,0,2,False
0,1,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,1,0,0,2,False
0,0,0,0,2,False
1,1,0,0,2,False
0,0,0,0,2,False
0,1,0,0,1,False
0,0,0,0,1,False
0,0,0,0,2,False
0,1,0,0,1,False
0,1,0,0,1,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,1,False
0,0,0,0,2,False
0,0,0,0,1,False
0,1,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,1,0,0,1,False
0,1,0,0,1,False
0,0,0,0,2,False
0,1,0,0,2,False
0,1,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,1,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,1,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,1,0,0,2,False
0,1,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
1,0,0,0,2,False
1,0,0,0,1,False
2,0,0,0,2,False
1,0,0,0,2,False
1,1,0,0,2,False
0,0,0,0,3,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,1,0,0,3,False
0,0,0,0,2,False
1,0,0,0,2,False
1,1,0,0,2,False
5,0,0,0,2,False
24,0,0,0,2,False
12,1,0,0,2,False
1,0,0,0,2,False
0,0,0,0,2,False
1,0,0,0,2,False
1,1,0,0,2,False
0,1,0,0,2,False
0,0,0,0,4,False
0,0,0,0,2,False
0,0,0,0,3,False
0,0,0,0,2,False
0,0,0,0,2,False
29,0,0,0,2,False
1,0,0,0,2,False
0,0,0,0,2,False
0,1,0,0,1,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,1,False
0,0,0,0,2,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,2,False
1,1,0,0,2,False
100,0,0,0,2,False
8,0,0,0,2,False
7,0,0,0,2,False
5,0,0,0,2,False
5,0,0,0,2,False
3,0,0,0,2,False
17,0,0,0,2,False
2,0,0,0,1,False
2,0,0,0,1,False
2,0,0,0,1,False
2,0,0,0,1,False
2,1,0,0,2,False
2,1,0,0,2,False
1,0,0,0,2,False
1,0,0,0,2,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,2,False
1,0,0,0,2,False
1,0,0,0,2,False
1,0,0,0,7,False
1,0,0,0,3,False
1,0,0,0,3,False
1,0,0,0,2,False
1,0,0,0,2,False
2,0,0,0,2,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,2,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,2,False
1,0,0,0,2,False
1,0,0,0,2,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,2,False
0,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
1,0,0,0,1,False
3,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
0,0,0,0,1,False
1,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
1,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
1,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,2,False
0,0,0,0,3,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,1,False
0,0,0,0,1,True
