Neil MacGregor,Chris Bliss,Shilo Shiv Suleman,Shlomo Benartzi,Iraola,isPartial
2,2,0,0,3,False
2,2,0,0,5,False
2,2,0,2,2,False
2,0,0,0,4,False
0,1,0,0,3,False
1,0,0,1,4,False
0,0,0,1,3,False
1,0,0,1,5,False
1,0,0,0,4,False
0,2,0,0,3,False
0,1,0,1,2,False
0,2,0,1,4,False
2,1,0,0,3,False
1,0,0,0,3,False
3,2,0,1,2,False
1,1,0,0,2,False
0,2,0,0,2,False
0,0,0,0,2,False
1,1,0,0,2,False
1,2,0,0,2,False
0,2,0,0,4,False
1,1,0,1,4,False
0,2,0,0,3,False
1,1,0,0,3,False
0,1,0,0,2,False
0,13,0,0,2,False
1,99,0,0,5,False
0,100,0,0,2,False
0,36,0,0,3,False
0,22,0,0,3,False
1,20,0,0,4,False
1,15,0,0,3,False
1,7,0,0,2,False
0,7,0,0,2,False
0,5,0,0,3,False
0,7,0,0,4,False
0,4,0,0,3,False
0,5,0,1,4,False
0,6,0,0,4,False
0,5,0,0,3,False
0,4,0,1,3,False
0,4,0,0,3,False
0,4,0,0,2,False
1,3,0,0,3,False
0,4,0,0,4,False
1,3,0,0,3,False
0,2,0,0,2,False
0,3,0,0,3,False
0,2,0,1,3,False
0,2,0,0,3,False
1,3,0,0,3,False
0,2,0,0,4,False
0,1,0,0,4,False
0,2,0,0,2,False
1,2,0,0,3,False
0,2,0,0,4,False
0,2,0,0,4,False
0,1,0,0,3,False
0,1,0,0,3,False
0,1,0,0,3,False
0,2,0,0,3,False
0,2,0,0,3,False
0,1,0,0,3,False
0,1,0,0,4,False
1,1,0,0,3,False
0,2,0,0,3,False
0,1,0,0,3,False
0,1,0,0,3,False
0,1,0,0,5,False
0,1,0,0,4,False
0,1,0,0,4,False
0,1,0,0,4,False
1,1,0,0,4,False
1,1,0,0,3,False
0,1,0,0,3,False
0,1,0,0,3,False
1,1,0,0,3,False
1,1,0,0,3,False
0,1,0,0,2,False
0,2,0,0,3,False
1,1,0,0,4,False
1,1,0,0,4,False
1,1,0,0,5,False
0,1,0,0,3,False
0,1,0,0,3,False
1,2,0,0,4,False
0,2,0,0,5,False
1,1,0,0,4,False
0,1,0,0,4,False
0,1,0,0,3,False
0,1,0,0,3,False
0,1,0,0,4,False
0,1,0,0,4,False
0,1,0,0,3,False
1,0,0,0,3,False
1,1,0,0,3,False
0,1,0,0,3,False
1,1,1,0,3,False
1,1,0,0,7,False
1,0,0,0,3,False
1,1,0,0,5,False
0,1,0,0,3,False
0,1,0,0,3,False
0,1,0,0,3,False
1,1,0,0,3,False
0,1,0,0,3,False
0,1,0,0,2,False
0,1,0,0,3,False
0,1,0,0,3,False
0,0,0,0,3,False
0,1,0,0,3,False
0,0,0,0,3,False
0,1,0,0,3,False
0,1,0,0,3,False
0,1,0,0,3,False
0,0,0,0,3,False
0,0,0,0,3,False
0,1,0,0,3,False
0,0,0,0,3,False
1,0,0,0,3,False
0,1,0,0,3,False
0,1,0,0,3,False
0,0,0,0,3,False
0,0,0,0,2,False
0,0,0,0,3,False
0,1,0,0,2,False
0,1,0,0,2,False
0,1,0,0,4,False
1,0,0,0,4,False
1,1,0,0,3,False
1,0,0,0,3,False
1,0,0,0,2,False
1,0,0,0,3,False
0,0,0,0,3,False
0,0,0,0,4,False
2,0,0,0,4,False
0,0,0,0,12,False
1,0,0,0,5,False
0,0,0,0,6,False
1,0,0,0,4,False
1,0,0,0,3,False
1,0,0,0,3,False
1,0,0,0,2,False
1,1,0,0,3,False
1,1,0,0,3,False
0,1,0,0,2,False
1,0,0,0,3,False
1,0,0,0,2,False
0,0,0,0,3,False
1,1,0,0,3,False
0,0,0,0,3,False
0,0,0,0,2,False
1,0,0,0,3,False
1,1,0,0,3,False
0,0,0,0,3,False
0,1,0,0,2,False
1,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,1,0,0,2,False
0,1,0,0,2,False
0,1,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
1,0,0,0,2,False
1,0,0,0,2,False
0,0,0,0,1,False
0,1,0,0,2,False
0,0,0,0,2,False
0,1,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
1,0,0,0,2,False
1,0,0,0,2,False
1,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
1,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,3,False
0,0,0,0,6,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,0,0,3,False
0,0,0,0,3,False
0,0,0,0,2,False
0,0,0,0,2,True
