Peter Saul,Donald Sadoway,Regina Dugan,Leymah Gbowee,Iraola,isPartial
19,0,0,0,28,False
23,0,14,0,37,False
0,0,0,0,17,False
13,0,0,0,31,False
27,12,0,0,27,False
17,0,0,0,35,False
12,0,0,0,28,False
15,0,0,0,39,False
31,0,0,0,31,False
31,0,0,0,21,False
16,0,11,0,14,False
10,0,0,0,33,False
9,0,9,0,26,False
18,0,0,0,23,False
8,0,0,0,18,False
17,0,8,0,17,False
17,0,0,0,17,False
22,0,0,0,15,False
31,0,0,0,15,False
15,0,7,0,15,False
17,7,0,0,29,False
17,13,0,0,31,False
6,0,0,0,27,False
12,0,0,0,23,False
9,5,0,0,16,False
7,6,0,0,20,False
8,5,0,0,38,False
10,0,0,0,19,False
14,0,0,0,25,False
12,0,0,0,26,False
7,5,0,0,29,False
9,0,5,0,24,False
15,0,0,0,20,False
12,0,0,0,20,False
5,4,0,0,21,False
8,0,0,0,32,False
3,0,0,0,23,False
10,0,4,0,30,False
13,0,0,0,34,False
8,3,0,0,21,False
8,0,0,0,22,False
9,3,0,0,28,False
6,3,3,0,16,False
6,3,0,0,21,False
8,0,0,0,30,False
10,0,0,0,27,False
3,2,0,0,16,False
13,3,0,0,26,False
10,2,0,0,22,False
5,2,2,0,27,False
6,2,0,2,26,False
15,2,0,0,32,False
15,4,2,2,29,False
5,2,0,0,18,False
6,2,2,0,21,False
7,0,0,4,34,False
10,0,0,0,33,False
13,2,2,2,29,False
10,2,0,2,28,False
10,3,0,0,27,False
12,2,0,0,28,False
5,3,0,0,29,False
9,2,2,0,23,False
10,2,0,0,29,False
7,2,4,3,28,False
8,2,2,3,23,False
8,2,11,8,25,False
7,6,4,2,26,False
7,1,3,1,37,False
9,3,2,1,32,False
9,1,3,3,32,False
7,1,3,2,32,False
8,1,1,0,35,False
7,1,3,2,23,False
9,2,1,1,25,False
7,1,8,2,26,False
5,1,1,1,26,False
5,4,4,2,27,False
3,1,2,1,18,False
5,3,0,1,23,False
5,1,2,1,33,False
4,2,1,0,33,False
6,2,1,0,41,False
8,1,3,0,29,False
6,1,2,0,26,False
6,1,1,2,31,False
6,1,3,1,39,False
4,5,1,2,29,False
5,2,3,3,31,False
7,2,6,2,28,False
6,2,2,0,24,False
7,1,8,1,34,False
5,2,2,3,32,False
5,2,2,87,25,False
9,1,3,47,27,False
5,2,1,32,23,False
5,1,4,19,24,False
5,1,3,16,25,False
8,9,31,19,55,False
9,13,12,14,27,False
8,4,8,12,39,False
5,3,6,6,26,False
7,3,5,10,24,False
6,3,8,6,24,False
5,2,2,6,25,False
7,24,2,11,25,False
9,9,2,8,20,False
7,3,2,7,24,False
6,3,4,7,25,False
9,2,1,8,25,False
6,2,2,10,21,False
10,3,3,12,25,False
8,2,6,9,21,False
5,2,5,4,22,False
6,1,2,4,23,False
5,2,2,4,23,False
8,2,2,5,25,False
7,2,3,8,24,False
8,1,3,7,24,False
5,2,3,7,24,False
5,2,10,6,24,False
6,1,4,6,23,False
6,1,2,4,26,False
6,2,3,7,18,False
7,1,2,6,21,False
5,1,2,6,19,False
7,1,5,4,20,False
6,1,3,2,29,False
7,2,2,5,30,False
8,2,2,9,26,False
7,2,2,5,26,False
6,1,1,3,19,False
8,1,2,5,22,False
13,1,2,4,25,False
14,1,3,7,31,False
13,1,2,7,36,False
17,1,3,5,100,False
10,1,5,2,40,False
6,2,2,1,48,False
7,1,2,3,33,False
7,1,2,4,27,False
8,1,2,4,22,False
8,1,1,5,20,False
8,1,1,5,22,False
8,0,1,5,24,False
15,1,1,3,18,False
9,1,1,7,21,False
12,2,12,7,20,False
7,1,3,4,26,False
4,1,2,3,24,False
7,1,2,2,27,False
5,1,2,3,16,False
7,1,5,4,22,False
7,1,1,5,22,False
6,0,1,5,27,False
6,1,1,3,20,False
8,1,1,6,17,False
7,1,2,5,19,False
7,1,2,8,18,False
10,1,12,6,17,False
11,2,3,4,19,False
12,1,2,2,18,False
7,1,2,2,17,False
8,0,1,3,15,False
9,1,2,3,14,False
8,1,9,5,14,False
7,1,2,5,15,False
7,2,1,2,11,False
8,1,2,4,16,False
7,2,2,5,18,False
9,1,2,6,17,False
7,1,1,5,12,False
7,2,2,5,16,False
5,0,1,2,17,False
6,0,1,2,15,False
7,0,1,3,16,False
10,1,1,4,17,False
6,1,1,6,19,False
5,1,1,5,15,False
5,4,2,2,15,False
7,1,1,5,15,False
7,1,1,4,18,False
8,1,1,7,15,False
6,1,1,4,16,False
6,2,1,3,19,False
4,1,1,2,15,False
5,1,1,3,19,False
6,1,1,2,19,False
8,1,1,4,15,False
10,1,1,4,16,False
8,1,1,4,17,False
9,0,1,3,15,False
9,0,1,3,25,False
13,1,1,4,46,False
13,0,0,5,20,False
19,1,0,3,13,False
10,1,1,3,13,False
8,1,1,2,16,False
6,1,1,3,28,False
6,1,0,3,26,False
8,1,1,3,19,False
6,1,1,3,16,True
