Tal Golesworthy,Abigail Washburn,Atul Gawande,Drew Curtis,Iraola,isPartial
0,0,11,22,22,False
0,0,14,27,29,False
0,0,13,13,13,False
0,0,21,17,24,False
0,0,15,18,21,False
0,0,9,18,27,False
0,0,9,19,22,False
0,0,17,12,31,False
0,0,8,16,24,False
0,8,8,12,16,False
0,0,14,16,11,False
0,0,46,15,25,False
0,0,18,11,20,False
0,0,9,57,18,False
0,0,10,16,14,False
0,0,18,15,13,False
0,0,17,23,14,False
0,6,16,12,12,False
0,9,20,10,12,False
0,20,19,15,12,False
0,33,10,8,23,False
0,15,17,15,25,False
0,15,17,13,21,False
0,11,13,14,18,False
0,15,17,14,13,False
0,11,4,19,16,False
4,7,14,9,30,False
0,11,16,15,15,False
0,7,6,13,20,False
0,9,13,12,21,False
0,9,6,11,23,False
0,9,8,13,19,False
0,3,19,6,16,False
0,5,18,4,16,False
0,12,13,11,16,False
0,7,12,7,25,False
3,3,11,7,18,False
0,3,9,13,24,False
0,9,12,6,27,False
0,8,53,9,17,False
0,6,46,10,17,False
0,5,16,10,22,False
0,5,17,8,12,False
0,5,12,8,17,False
0,8,15,8,23,False
0,4,13,8,21,False
0,4,9,10,12,False
0,4,15,11,21,False
0,3,17,5,17,False
0,4,19,8,21,False
0,3,15,11,21,False
0,5,13,10,25,False
0,12,17,6,23,False
0,16,14,8,14,False
0,23,16,5,16,False
0,23,16,7,27,False
0,14,16,5,26,False
0,12,11,2,22,False
0,6,10,5,22,False
0,7,11,5,21,False
0,8,15,4,22,False
0,8,9,5,22,False
0,6,13,5,18,False
0,4,17,6,23,False
0,8,21,5,22,False
0,4,60,7,18,False
0,4,36,3,19,False
0,3,34,5,21,False
0,8,29,6,29,False
0,7,22,3,25,False
0,5,19,5,25,False
0,5,32,5,25,False
1,4,58,5,27,False
0,5,45,5,18,False
0,5,27,5,19,False
0,5,29,4,20,False
0,3,24,2,20,False
0,4,20,4,21,False
0,3,24,3,14,False
0,4,44,5,18,False
1,8,31,8,26,False
0,4,31,5,26,False
0,6,25,7,32,False
0,11,30,4,22,False
1,35,40,5,20,False
2,28,33,3,24,False
0,23,25,2,30,False
1,15,28,4,23,False
0,11,26,2,25,False
0,13,50,3,22,False
0,9,25,5,18,False
0,11,25,4,26,False
0,8,32,6,25,False
0,10,30,5,19,False
0,17,25,5,21,False
0,6,25,5,18,False
0,10,26,5,19,False
0,6,24,4,20,False
0,11,23,5,43,False
1,15,21,5,21,False
1,9,19,4,31,False
1,12,23,3,20,False
1,9,22,4,19,False
1,9,38,4,19,False
2,7,26,3,20,False
0,7,28,4,19,False
0,5,26,3,16,False
0,5,21,5,19,False
0,4,18,2,19,False
0,7,15,4,19,False
0,7,19,4,17,False
0,4,21,4,19,False
0,6,13,3,17,False
0,4,16,3,17,False
0,5,24,6,18,False
0,6,29,5,18,False
0,5,21,3,20,False
0,5,21,5,19,False
1,4,19,3,19,False
1,3,16,4,19,False
1,4,15,3,19,False
1,5,14,4,18,False
0,5,14,3,20,False
1,3,14,2,14,False
0,4,12,3,17,False
0,2,15,2,15,False
0,3,14,3,16,False
0,5,13,4,23,False
0,6,16,4,24,False
0,18,68,3,21,False
1,8,43,4,20,False
0,6,49,4,15,False
0,6,49,6,17,False
0,7,49,5,20,False
0,10,40,3,24,False
0,7,32,4,28,False
0,7,45,3,78,False
0,5,37,4,31,False
0,12,35,5,38,False
0,4,37,5,25,False
0,5,36,7,21,False
0,9,33,6,18,False
0,5,30,7,16,False
0,3,39,2,17,False
0,5,33,4,19,False
1,7,28,4,14,False
0,5,32,4,17,False
0,4,29,3,16,False
0,3,30,2,20,False
0,3,28,2,19,False
0,3,24,2,21,False
0,3,26,2,12,False
0,3,31,3,17,False
0,3,24,2,17,False
1,5,24,2,21,False
1,3,21,3,16,False
0,2,32,2,14,False
0,2,28,3,15,False
0,6,26,2,14,False
0,2,24,2,14,False
1,3,27,2,15,False
1,3,23,2,14,False
0,2,24,2,13,False
0,2,21,3,12,False
0,3,32,3,11,False
0,5,34,2,11,False
0,6,26,2,12,False
0,5,27,1,9,False
0,2,26,3,12,False
0,4,23,2,14,False
0,3,21,2,14,False
0,2,24,2,10,False
0,3,25,2,12,False
0,2,100,3,13,False
0,3,36,3,12,False
0,2,24,2,13,False
0,2,28,2,13,False
0,2,27,3,15,False
0,2,35,2,12,False
0,2,24,2,12,False
0,4,28,2,12,False
0,4,22,1,14,False
0,3,26,2,12,False
0,3,20,2,13,False
0,1,22,3,15,False
0,1,17,1,12,False
0,1,17,3,15,False
0,2,18,2,15,False
0,2,21,3,11,False
0,2,16,2,12,False
0,1,16,2,13,False
0,2,14,2,12,False
0,2,19,1,19,False
0,3,16,2,36,False
0,2,31,2,15,False
0,2,19,2,10,False
0,1,40,18,10,False
0,2,18,67,12,False
0,1,16,7,22,False
0,1,18,8,20,False
0,1,18,2,15,False
0,1,16,3,13,True
