Reuben Margolin,Gary Kovacs,Tavi Gevinson,Rick Guidotti,Iraola,isPartial
0,0,0,5,15,False
0,0,0,0,8,False
0,0,0,0,6,False
0,0,0,0,9,False
0,0,0,0,7,False
0,0,0,0,8,False
0,0,0,0,11,False
0,0,0,0,12,False
0,0,0,0,10,False
0,0,0,0,12,False
0,0,0,0,10,False
0,0,0,0,10,False
3,0,0,0,8,False
0,3,0,0,7,False
3,0,0,0,9,False
0,3,0,0,14,False
0,0,0,0,6,False
0,3,0,0,9,False
0,3,0,0,9,False
0,0,0,3,6,False
0,0,0,0,9,False
2,0,0,0,8,False
0,2,0,0,11,False
2,0,0,2,6,False
0,0,0,2,4,False
0,2,0,2,10,False
0,0,0,0,12,False
0,2,0,2,8,False
0,2,0,3,11,False
0,2,0,3,10,False
0,0,0,0,11,False
2,0,0,0,8,False
0,0,0,2,8,False
0,0,0,1,7,False
0,0,0,0,5,False
1,1,0,0,10,False
0,0,0,0,9,False
0,0,0,0,12,False
1,1,0,0,10,False
0,1,0,1,6,False
0,1,0,1,5,False
0,1,0,0,8,False
1,1,0,0,8,False
0,1,0,0,8,False
0,0,0,0,11,False
1,0,0,0,7,False
0,0,0,1,7,False
1,0,0,1,9,False
0,1,0,1,7,False
0,0,0,1,8,False
0,1,0,0,9,False
0,0,0,1,9,False
0,1,0,1,11,False
1,1,0,1,9,False
0,0,1,0,6,False
0,0,2,0,10,False
1,0,1,0,11,False
0,1,0,0,11,False
1,0,1,1,11,False
1,0,0,1,12,False
1,1,1,1,11,False
1,1,1,1,11,False
1,1,1,1,8,False
1,1,1,0,9,False
1,1,0,1,9,False
1,0,0,0,11,False
1,1,0,1,8,False
1,1,1,1,8,False
1,0,100,0,11,False
1,0,21,1,11,False
1,0,24,0,11,False
1,0,33,0,9,False
1,0,39,0,13,False
1,0,92,0,9,False
0,0,45,1,8,False
1,0,43,0,9,False
1,0,40,1,8,False
0,0,26,0,9,False
0,0,28,0,9,False
0,1,41,0,9,False
1,1,43,0,11,False
1,1,24,0,10,False
1,0,30,1,14,False
1,0,21,1,11,False
0,1,23,1,9,False
1,1,18,0,11,False
2,1,21,0,15,False
1,0,17,0,9,False
1,0,14,1,12,False
1,0,13,1,12,False
0,1,16,0,8,False
1,1,17,0,15,False
0,1,37,0,10,False
1,0,31,0,9,False
0,1,22,0,9,False
0,1,16,0,7,False
0,0,17,0,9,False
1,0,21,0,9,False
1,1,16,0,18,False
1,1,19,0,10,False
2,4,19,1,13,False
0,3,15,1,9,False
1,1,24,0,7,False
0,0,22,0,9,False
1,0,35,0,10,False
0,1,19,1,8,False
1,1,24,0,7,False
0,0,18,0,9,False
1,0,38,0,8,False
0,1,20,1,8,False
0,0,13,0,7,False
1,1,14,0,8,False
1,0,15,0,7,False
0,0,11,2,7,False
0,1,14,1,8,False
0,0,21,0,8,False
0,0,23,1,8,False
0,0,26,0,8,False
0,1,19,0,8,False
0,0,19,0,7,False
0,0,25,0,8,False
1,0,15,0,8,False
1,1,17,0,9,False
0,1,28,0,6,False
1,1,14,0,7,False
0,0,21,0,7,False
0,0,20,0,8,False
0,0,51,0,11,False
0,0,31,1,11,False
0,0,33,0,8,False
0,0,18,0,9,False
1,0,15,0,7,False
0,0,16,0,8,False
0,0,15,0,8,False
0,0,11,0,12,False
1,0,13,0,14,False
0,0,16,0,31,False
0,0,13,0,14,False
0,0,16,1,16,False
0,0,14,2,11,False
0,0,12,0,9,False
1,0,16,1,7,False
0,0,24,0,8,False
0,0,31,0,8,False
0,0,18,0,8,False
0,0,13,0,6,False
0,0,12,0,8,False
0,0,10,0,7,False
0,0,8,0,10,False
0,1,6,0,9,False
0,0,6,0,9,False
0,0,11,0,6,False
0,0,11,0,8,False
0,0,8,0,8,False
0,0,7,0,9,False
0,0,7,0,7,False
0,0,5,0,5,False
0,0,5,0,7,False
0,0,10,0,6,False
0,0,8,0,6,False
0,0,5,0,8,False
0,0,5,0,6,False
0,0,6,0,6,False
0,0,6,0,6,False
0,0,6,0,5,False
0,0,5,0,6,False
0,0,5,0,5,False
0,0,4,0,5,False
0,0,5,0,6,False
0,0,4,0,5,False
0,0,4,0,6,False
0,0,4,0,5,False
0,0,4,0,5,False
0,0,4,0,5,False
0,0,3,0,5,False
0,0,3,0,6,False
0,0,3,0,7,False
0,0,2,0,7,False
0,0,4,0,6,False
0,0,5,0,6,False
0,0,3,0,5,False
0,0,3,0,6,False
0,0,4,0,5,False
0,0,3,1,6,False
0,0,3,0,6,False
0,0,2,0,5,False
0,0,2,0,6,False
0,0,2,0,6,False
0,0,6,0,6,False
0,0,3,0,5,False
0,0,2,0,5,False
0,0,2,0,5,False
0,0,2,0,9,False
0,0,2,0,17,False
0,0,4,0,8,False
0,0,2,0,5,False
0,0,3,0,5,False
0,0,5,0,5,False
0,0,2,0,11,False
0,0,1,0,8,False
0,0,2,0,7,False
0,0,1,0,6,True
