Carl Schoonover,Michael McDaniel,Melissa Garren,Philippe Petit,Iraola,isPartial
0,2,0,10,6,False
0,3,0,5,3,False
0,0,0,5,2,False
0,2,0,5,4,False
0,2,0,3,3,False
0,2,0,4,3,False
0,2,0,4,4,False
0,0,0,3,4,False
0,2,0,5,4,False
0,1,0,5,5,False
0,0,0,3,4,False
0,2,0,6,4,False
0,2,0,2,3,False
0,2,0,3,3,False
1,3,0,3,3,False
0,2,1,2,5,False
0,1,0,3,2,False
0,1,1,3,4,False
0,2,0,2,3,False
0,1,0,3,2,False
0,1,0,3,3,False
0,1,0,3,3,False
0,0,0,4,4,False
0,1,0,4,2,False
1,1,0,4,2,False
0,1,0,3,4,False
0,2,0,4,4,False
0,1,0,3,3,False
0,1,0,4,4,False
0,2,0,4,4,False
0,1,0,2,4,False
1,1,1,3,3,False
0,1,0,5,3,False
0,1,0,3,3,False
0,1,0,2,2,False
0,1,0,3,4,False
0,1,0,3,3,False
0,1,0,3,4,False
0,0,0,2,4,False
0,1,0,3,2,False
0,1,0,2,2,False
0,1,0,2,3,False
0,1,0,2,3,False
0,1,0,2,3,False
0,1,0,4,4,False
0,1,0,3,3,False
0,1,0,3,3,False
0,1,0,2,4,False
0,1,0,3,3,False
0,1,0,3,3,False
0,0,0,3,4,False
0,1,0,2,3,False
0,1,0,3,4,False
0,1,0,4,3,False
0,1,0,14,2,False
0,0,0,17,4,False
0,1,0,10,4,False
0,1,0,7,4,False
0,1,0,7,4,False
0,0,0,10,4,False
0,1,0,15,4,False
0,0,0,18,4,False
0,0,0,11,3,False
0,0,0,9,3,False
0,1,0,8,3,False
0,1,0,6,4,False
0,0,0,6,3,False
0,0,0,13,3,False
0,1,0,10,4,False
0,1,0,7,4,False
0,1,0,8,4,False
0,0,0,7,4,False
0,1,0,9,5,False
0,1,0,7,3,False
0,1,0,7,3,False
0,1,0,5,3,False
0,1,0,5,3,False
0,1,0,6,4,False
0,0,0,6,3,False
0,1,0,5,3,False
0,1,0,8,4,False
0,1,0,5,4,False
0,0,0,5,5,False
0,1,0,6,4,False
0,0,0,6,3,False
0,1,0,7,4,False
0,0,0,6,6,False
0,0,0,5,3,False
0,0,0,5,5,False
0,0,0,5,4,False
0,1,0,5,3,False
0,1,0,7,6,False
0,0,0,8,4,False
0,0,0,6,3,False
0,0,0,5,3,False
0,1,0,6,3,False
0,0,0,6,3,False
0,0,0,6,3,False
0,0,0,5,7,False
0,1,0,5,4,False
0,1,0,6,5,False
0,1,0,5,4,False
0,0,0,4,3,False
0,1,0,4,3,False
0,0,0,9,4,False
0,1,0,7,3,False
0,1,0,5,3,False
0,1,0,5,3,False
0,1,0,4,3,False
0,1,0,4,3,False
0,0,0,4,3,False
0,1,0,4,3,False
0,1,0,5,3,False
0,1,0,5,3,False
0,0,0,4,3,False
0,1,0,4,3,False
0,1,0,6,3,False
0,1,0,4,3,False
0,1,0,4,3,False
0,0,0,4,3,False
0,1,0,4,3,False
0,1,0,4,3,False
0,1,0,4,3,False
0,0,0,4,2,False
0,1,0,4,3,False
0,1,0,4,3,False
0,1,0,3,3,False
0,1,0,5,4,False
0,0,0,5,4,False
0,1,0,4,3,False
0,1,0,5,3,False
0,0,0,9,3,False
0,0,0,5,3,False
0,0,0,5,3,False
0,0,0,4,5,False
0,0,0,4,5,False
0,0,0,4,12,False
0,0,0,13,5,False
0,0,0,6,6,False
0,1,0,7,4,False
0,0,0,32,4,False
0,0,0,100,3,False
0,0,0,18,3,False
0,0,0,67,3,False
0,0,0,66,3,False
0,1,0,35,2,False
0,0,0,22,3,False
0,0,0,18,3,False
0,0,0,13,4,False
0,1,0,35,3,False
0,0,0,29,3,False
0,1,0,22,2,False
0,1,0,21,3,False
0,0,0,12,3,False
0,0,0,14,4,False
0,1,0,11,3,False
0,0,0,12,2,False
0,1,0,10,2,False
0,1,0,8,2,False
0,0,0,8,2,False
0,0,0,9,3,False
0,0,0,8,2,False
0,0,0,11,2,False
0,0,0,10,2,False
0,0,0,19,2,False
0,0,0,9,2,False
0,0,0,7,2,False
0,0,0,10,2,False
0,1,0,8,2,False
0,0,0,6,2,False
0,0,0,8,2,False
0,0,0,10,2,False
0,0,0,6,2,False
0,1,0,6,2,False
0,0,0,7,2,False
0,0,0,6,2,False
0,0,0,7,3,False
0,0,0,11,3,False
0,1,0,12,2,False
0,0,0,7,2,False
0,0,0,6,2,False
0,0,0,6,2,False
0,0,0,7,2,False
0,0,0,7,2,False
0,0,0,5,2,False
0,0,0,5,2,False
0,0,0,5,2,False
0,0,0,5,2,False
0,0,0,7,2,False
0,0,0,4,2,False
0,0,0,9,2,False
0,0,0,8,2,False
0,1,0,8,3,False
0,0,0,6,6,False
0,0,0,7,3,False
0,0,0,9,2,False
0,1,0,6,2,False
0,0,0,8,2,False
0,0,0,8,4,False
0,0,0,7,3,False
0,0,0,6,2,False
0,1,0,4,2,True
