William Noel,Dalia Mogahed,Sebastian Deterding,Quixotic Fusion,Iraola,isPartial
21,0,0,0,47,False
16,0,0,0,26,False
19,0,0,0,19,False
15,0,0,0,30,False
26,0,0,0,22,False
13,0,0,0,26,False
32,0,0,0,36,False
17,0,0,0,38,False
29,0,0,0,31,False
28,0,0,0,40,False
20,0,0,0,32,False
17,0,0,0,33,False
19,0,0,0,26,False
21,0,0,0,24,False
17,0,0,0,28,False
13,0,0,0,45,False
34,0,0,0,20,False
13,0,0,0,31,False
9,0,0,0,29,False
17,0,0,0,19,False
8,0,0,0,30,False
14,0,0,0,26,False
28,0,0,0,35,False
23,0,0,0,19,False
10,6,0,0,14,False
19,0,0,0,31,False
14,0,0,5,38,False
10,0,0,0,27,False
7,0,0,0,37,False
6,0,0,6,34,False
17,0,0,6,37,False
14,0,0,0,26,False
15,0,0,0,26,False
15,0,0,0,24,False
16,0,0,0,17,False
15,0,0,0,32,False
20,0,0,0,30,False
12,0,0,0,39,False
8,0,0,0,34,False
18,4,0,0,20,False
11,0,0,0,17,False
8,0,0,0,25,False
8,3,0,0,28,False
11,0,0,0,27,False
6,6,0,0,35,False
14,0,0,0,24,False
12,3,0,0,23,False
16,0,0,0,31,False
13,3,2,0,24,False
13,3,0,0,26,False
13,5,0,0,31,False
10,6,0,2,29,False
9,5,0,0,34,False
5,2,0,0,29,False
16,2,0,0,20,False
5,2,0,0,33,False
10,8,0,2,37,False
7,5,0,2,36,False
10,3,0,2,35,False
14,2,0,0,38,False
12,2,0,2,37,False
9,3,2,2,37,False
11,3,0,0,26,False
11,34,0,0,29,False
9,17,0,0,29,False
7,17,0,5,36,False
7,5,0,3,25,False
14,5,0,3,28,False
11,5,0,2,38,False
9,16,0,2,36,False
13,4,0,0,37,False
15,7,0,0,31,False
6,3,0,1,43,False
7,3,0,0,29,False
6,3,0,2,25,False
15,7,3,0,28,False
10,3,0,1,27,False
8,4,0,4,31,False
6,3,0,1,29,False
8,4,1,3,29,False
9,4,1,1,37,False
7,2,0,1,31,False
11,3,0,0,46,False
15,2,1,1,36,False
8,3,1,1,30,False
9,1,0,1,37,False
7,1,2,1,48,False
12,3,1,1,30,False
7,2,1,1,41,False
8,3,1,2,38,False
10,3,0,1,28,False
9,3,1,1,51,False
8,2,1,2,33,False
10,2,1,2,30,False
14,2,1,1,30,False
15,1,1,1,25,False
12,2,1,2,30,False
11,1,1,1,30,False
8,3,0,1,58,False
11,1,2,2,32,False
7,2,1,1,42,False
7,3,2,3,31,False
6,3,2,3,24,False
8,1,1,1,28,False
9,2,1,2,34,False
10,1,1,1,26,False
9,2,1,2,23,False
11,1,1,2,29,False
6,1,1,2,27,False
8,1,1,1,26,False
5,1,0,2,24,False
7,1,1,2,25,False
6,2,1,1,23,False
6,3,1,3,23,False
8,2,1,1,27,False
7,2,1,1,26,False
8,2,0,1,26,False
8,2,2,2,26,False
8,2,1,1,26,False
14,3,1,1,23,False
8,3,2,1,26,False
7,1,1,1,27,False
9,1,1,1,30,False
7,3,1,1,20,False
5,3,1,1,22,False
7,5,1,1,22,False
4,1,0,1,26,False
9,2,1,1,35,False
5,2,1,1,36,False
8,2,1,1,27,False
11,2,0,1,29,False
17,1,1,1,22,False
7,2,1,1,26,False
6,1,1,1,27,False
7,2,1,1,41,False
6,2,0,1,45,False
7,1,1,0,100,False
6,2,2,1,45,False
5,1,0,1,52,False
7,2,1,1,37,False
6,1,0,0,31,False
6,1,0,0,23,False
9,5,0,0,27,False
15,7,1,1,25,False
7,33,1,1,28,False
5,14,1,1,21,False
6,10,0,0,25,False
6,7,1,1,22,False
7,10,0,0,34,False
4,8,1,0,29,False
6,4,0,0,30,False
5,3,1,1,19,False
7,4,1,0,25,False
5,4,0,1,26,False
9,4,0,0,30,False
14,4,0,0,23,False
8,6,0,0,17,False
6,8,1,1,21,False
8,4,1,0,21,False
5,4,0,0,21,False
6,4,0,0,26,False
8,2,0,0,19,False
6,4,0,0,20,False
5,3,0,0,18,False
5,2,1,0,16,False
5,4,0,0,19,False
9,2,0,0,16,False
17,5,0,0,15,False
8,1,1,0,19,False
6,3,0,0,17,False
6,4,0,0,18,False
4,2,1,0,16,False
5,3,1,0,17,False
3,3,0,0,16,False
4,2,0,0,16,False
6,3,0,0,20,False
5,2,0,0,22,False
7,2,1,0,22,False
9,5,0,0,19,False
13,3,0,1,20,False
5,2,0,0,15,False
4,3,1,0,20,False
5,2,0,0,16,False
3,2,0,0,20,False
4,4,0,0,21,False
5,1,0,0,17,False
4,2,0,0,20,False
4,2,0,0,19,False
5,3,0,1,18,False
6,3,0,0,17,False
6,1,0,0,17,False
13,1,0,0,18,False
6,2,0,0,28,False
4,1,0,0,56,False
3,1,0,0,25,False
4,2,0,0,18,False
8,2,1,0,15,False
6,1,0,0,18,False
4,1,0,0,36,False
5,2,0,0,27,False
5,2,0,0,22,False
5,2,0,0,19,True
