Seth Shostak,David Birch,Diane Kelly,Damian Palin,Iraola,isPartial
16,24,69,0,47,False
0,24,63,0,26,False
19,32,58,0,19,False
0,20,30,0,30,False
0,26,45,0,22,False
0,0,22,0,26,False
14,14,36,0,36,False
13,38,30,0,38,False
17,12,31,0,31,False
12,16,44,0,40,False
0,28,24,0,32,False
11,28,37,0,33,False
0,26,19,0,26,False
10,21,48,0,24,False
9,23,37,0,28,False
0,16,35,0,45,False
0,17,22,0,20,False
8,20,42,0,31,False
0,17,78,0,29,False
0,28,50,0,19,False
0,19,48,0,30,False
7,16,26,0,26,False
7,11,38,0,35,False
7,12,21,0,19,False
6,18,22,0,14,False
6,13,23,0,31,False
5,13,25,0,38,False
6,14,37,0,27,False
5,12,39,0,37,False
6,15,30,0,34,False
0,15,37,0,37,False
5,12,29,0,26,False
0,15,17,0,26,False
0,12,21,0,24,False
4,12,17,0,17,False
9,11,23,0,32,False
0,18,28,0,30,False
6,8,33,0,39,False
4,16,29,0,34,False
8,14,37,0,20,False
3,13,34,0,17,False
7,15,28,0,25,False
0,13,19,0,28,False
3,12,26,0,27,False
3,17,19,0,35,False
5,11,23,0,24,False
3,12,24,3,23,False
3,12,29,0,31,False
2,6,27,0,24,False
3,9,34,0,26,False
4,15,27,0,31,False
2,13,25,0,29,False
2,13,20,0,34,False
5,10,35,0,29,False
7,13,27,0,20,False
5,12,32,0,33,False
2,10,25,0,37,False
0,11,28,6,36,False
3,9,23,4,35,False
3,11,30,0,38,False
2,9,24,2,37,False
4,5,21,2,37,False
4,9,27,0,26,False
5,13,23,2,29,False
10,9,30,0,29,False
2,7,20,0,36,False
6,16,28,2,25,False
2,9,33,2,28,False
14,14,26,0,38,False
2,12,22,0,36,False
3,12,21,2,37,False
3,7,21,2,31,False
5,9,23,0,43,False
4,15,30,0,29,False
2,9,30,0,25,False
2,9,25,0,28,False
6,11,23,0,27,False
3,8,31,0,31,False
3,8,23,1,29,False
6,8,17,0,29,False
4,6,22,0,37,False
2,11,23,0,31,False
3,10,23,1,46,False
2,8,24,2,36,False
3,12,32,1,30,False
2,12,24,1,37,False
4,8,20,0,48,False
2,12,23,0,30,False
2,9,14,0,41,False
2,6,21,1,38,False
4,8,23,0,28,False
2,8,24,0,51,False
3,6,18,1,33,False
3,8,21,0,30,False
2,9,26,0,30,False
2,11,18,0,25,False
2,8,21,0,30,False
1,10,18,1,30,False
2,9,19,0,58,False
4,9,22,0,32,False
1,12,17,0,42,False
2,7,25,2,31,False
3,7,24,1,24,False
1,11,17,1,28,False
1,8,17,1,34,False
1,7,20,0,26,False
2,8,22,1,23,False
2,6,20,1,29,False
2,7,21,0,27,False
2,8,19,1,26,False
2,8,18,1,24,False
1,9,16,0,25,False
2,9,19,1,23,False
1,7,18,1,23,False
2,11,22,0,27,False
1,9,20,0,26,False
2,8,20,0,26,False
2,7,14,1,26,False
1,6,19,1,26,False
1,6,19,0,23,False
1,8,21,0,26,False
3,7,15,1,27,False
3,6,16,1,30,False
1,8,17,1,20,False
2,7,16,1,22,False
3,9,16,0,22,False
1,8,16,0,26,False
1,9,19,1,35,False
2,6,14,1,36,False
1,9,14,0,27,False
2,7,16,0,29,False
2,6,18,0,22,False
2,7,14,1,26,False
3,6,16,0,27,False
1,6,17,1,41,False
2,6,19,1,45,False
1,7,13,1,100,False
1,7,13,0,45,False
3,4,16,1,52,False
4,6,13,0,37,False
1,5,18,1,31,False
3,7,13,0,23,False
2,7,17,1,27,False
2,6,12,0,25,False
2,9,15,0,28,False
1,8,16,0,21,False
2,6,15,0,25,False
1,7,14,0,22,False
2,8,12,0,34,False
2,6,14,1,29,False
1,6,15,0,30,False
2,7,10,0,19,False
3,7,14,0,25,False
1,5,14,0,26,False
3,6,14,0,30,False
1,6,14,0,23,False
2,6,16,0,17,False
2,7,11,0,21,False
1,8,12,0,21,False
1,7,12,0,21,False
1,5,14,0,26,False
1,4,15,1,19,False
2,12,13,2,20,False
1,8,12,0,18,False
1,6,12,0,16,False
2,8,13,0,19,False
2,8,13,0,16,False
1,6,10,0,15,False
1,7,11,0,19,False
1,7,11,0,17,False
1,6,12,0,18,False
1,5,9,0,16,False
1,8,13,0,17,False
2,6,12,0,16,False
2,5,11,0,16,False
1,6,10,0,20,False
1,4,10,0,22,False
2,6,11,0,22,False
1,6,12,0,19,False
1,6,11,0,20,False
1,5,21,0,15,False
1,5,13,0,20,False
1,4,15,0,16,False
1,5,9,0,20,False
1,6,9,0,21,False
1,3,10,0,17,False
1,5,10,0,20,False
0,5,12,0,19,False
2,5,9,0,18,False
2,6,11,0,17,False
1,4,10,0,17,False
1,5,11,0,18,False
2,6,11,0,28,False
1,5,11,0,56,False
1,5,11,0,25,False
1,6,11,0,18,False
1,3,10,0,15,False
0,6,10,0,18,False
1,5,12,0,36,False
0,6,10,0,27,False
1,4,12,0,22,False
1,4,10,1,19,True
