David R. Dow,Ivan Oransky,Peter Norvig,Wolfgang Kessling,Iraola,isPartial
0,16,24,0,47,False
0,0,63,0,26,False
0,0,39,0,19,False
0,15,30,0,30,False
0,0,26,13,22,False
0,0,20,0,26,False
0,0,41,0,36,False
0,13,38,0,38,False
0,0,31,0,31,False
0,12,12,0,40,False
0,0,12,0,32,False
0,0,17,0,33,False
0,0,10,0,26,False
0,0,21,0,24,False
0,0,20,0,28,False
0,0,22,0,45,False
0,0,21,0,20,False
0,0,14,0,31,False
0,9,40,0,29,False
0,0,20,0,19,False
0,0,23,0,30,False
0,0,18,0,26,False
0,0,19,0,35,False
0,0,18,0,19,False
0,0,24,0,14,False
0,0,29,0,31,False
0,0,13,0,38,False
0,0,19,0,27,False
0,5,16,0,37,False
0,0,13,0,34,False
0,6,26,0,37,False
0,5,39,0,26,False
0,5,13,0,26,False
0,5,27,0,24,False
0,4,16,0,17,False
0,0,15,0,32,False
0,4,14,0,30,False
0,0,15,0,39,False
0,0,11,0,34,False
8,4,8,0,20,False
0,3,20,0,17,False
0,3,10,0,25,False
0,0,17,0,28,False
0,0,14,0,27,False
0,0,24,0,35,False
0,3,13,3,24,False
0,0,10,0,23,False
0,3,11,0,31,False
0,0,13,0,24,False
0,0,12,0,26,False
0,4,12,0,31,False
0,0,10,0,29,False
0,0,9,0,34,False
0,0,7,0,29,False
0,0,8,0,20,False
2,0,10,0,33,False
0,0,12,0,37,False
0,3,12,0,36,False
0,2,4,0,35,False
0,0,6,0,38,False
0,2,9,0,37,False
0,0,9,0,37,False
0,0,9,0,26,False
2,0,10,0,29,False
0,0,10,0,29,False
0,0,9,0,36,False
0,2,11,0,25,False
0,2,7,0,28,False
0,0,11,0,38,False
0,0,11,0,36,False
0,0,11,0,37,False
0,0,12,0,31,False
0,1,11,0,43,False
1,0,9,0,29,False
1,0,12,0,25,False
3,1,10,0,28,False
0,0,8,0,27,False
0,0,8,0,31,False
0,0,7,0,29,False
0,1,4,0,29,False
1,0,9,0,37,False
1,2,13,0,31,False
0,0,5,0,46,False
0,1,9,0,36,False
0,0,7,0,30,False
1,0,15,0,37,False
1,0,10,0,48,False
0,1,11,0,30,False
2,0,11,0,41,False
0,1,10,1,38,False
1,1,8,0,28,False
1,1,17,0,51,False
0,0,13,0,33,False
0,0,20,0,30,False
0,1,14,0,30,False
0,1,11,0,25,False
0,1,9,0,30,False
1,1,18,0,30,False
1,1,13,0,58,False
2,1,14,0,32,False
0,1,12,0,42,False
1,2,13,0,31,False
1,2,14,1,24,False
0,1,13,0,28,False
1,1,12,0,34,False
1,1,12,1,26,False
0,1,15,0,23,False
1,1,12,1,29,False
0,2,10,0,27,False
1,2,10,1,26,False
1,1,9,0,24,False
1,1,9,0,25,False
1,1,11,0,23,False
0,2,10,1,23,False
0,1,7,0,27,False
0,1,9,0,26,False
1,1,6,1,26,False
1,1,9,0,26,False
1,1,9,0,26,False
1,1,9,0,23,False
0,0,12,0,26,False
1,1,11,1,27,False
0,1,8,1,30,False
0,1,7,1,20,False
1,0,9,0,22,False
1,1,7,0,22,False
1,1,4,0,26,False
1,1,7,0,35,False
1,0,10,0,36,False
1,1,7,0,27,False
0,1,8,0,29,False
0,2,7,0,22,False
0,1,7,0,26,False
0,1,8,0,27,False
1,0,8,0,41,False
1,1,8,0,45,False
0,1,7,0,100,False
0,1,6,0,45,False
0,1,5,0,52,False
0,1,6,0,37,False
0,1,7,0,31,False
1,1,7,0,23,False
0,0,5,0,27,False
0,1,5,0,25,False
1,1,5,0,28,False
1,1,7,0,21,False
0,0,7,0,25,False
1,1,7,0,22,False
0,0,7,0,34,False
0,1,5,1,29,False
0,1,6,0,30,False
0,1,6,1,19,False
0,0,5,1,25,False
0,1,7,0,26,False
1,1,6,0,30,False
0,0,8,0,23,False
0,0,8,0,17,False
1,1,7,0,21,False
0,1,5,1,21,False
0,0,6,0,21,False
0,0,9,0,26,False
0,0,7,1,19,False
0,0,7,0,20,False
0,0,10,0,18,False
0,0,7,0,16,False
0,1,6,0,19,False
0,1,7,0,16,False
0,0,6,0,15,False
0,1,6,0,19,False
0,0,7,0,17,False
0,0,7,0,18,False
0,0,7,0,16,False
0,0,5,0,17,False
0,0,5,0,16,False
0,0,5,0,16,False
0,0,6,0,20,False
0,0,6,0,22,False
0,0,7,0,22,False
0,0,3,0,19,False
0,1,13,0,20,False
0,0,6,0,15,False
0,1,4,0,20,False
0,0,6,0,16,False
1,0,6,0,20,False
0,0,5,0,21,False
0,1,4,0,17,False
0,0,5,0,20,False
0,0,5,0,19,False
0,0,7,0,18,False
0,0,5,0,17,False
0,0,6,0,17,False
0,1,4,0,18,False
0,0,4,0,28,False
0,0,5,0,56,False
0,0,4,0,25,False
1,1,4,0,18,False
0,1,5,0,15,False
0,1,5,0,18,False
0,0,5,0,36,False
0,0,3,0,27,False
0,0,4,0,22,False
0,0,2,0,19,True
