Elyn Saks,Boaz Almog,Alanna Shaikh,Cesar Harada,Iraola,isPartial
0,0,0,0,47,False
0,0,0,0,26,False
0,0,0,0,19,False
0,0,0,0,30,False
0,0,0,0,22,False
0,0,0,0,26,False
0,0,0,0,36,False
0,0,0,0,38,False
0,0,0,0,31,False
0,0,0,0,40,False
0,0,0,0,32,False
0,0,0,0,33,False
0,0,0,0,26,False
0,0,0,0,24,False
0,0,0,0,28,False
0,0,0,0,45,False
0,0,0,0,20,False
0,0,0,0,31,False
0,0,0,0,29,False
0,0,0,0,19,False
0,0,0,8,30,False
0,0,7,0,26,False
0,0,0,7,35,False
0,0,0,0,19,False
0,0,0,6,14,False
0,0,0,0,31,False
0,0,0,0,38,False
0,0,0,0,27,False
0,0,0,0,37,False
0,0,0,0,34,False
0,0,0,0,37,False
0,0,0,0,26,False
5,0,0,0,26,False
9,0,0,0,24,False
0,0,0,0,17,False
0,0,0,5,32,False
4,0,0,0,30,False
0,0,0,0,39,False
0,0,0,0,34,False
0,0,0,0,20,False
0,0,0,0,17,False
3,0,0,0,25,False
3,0,0,3,28,False
36,0,0,0,27,False
16,0,0,0,35,False
14,0,0,3,24,False
0,0,0,3,23,False
7,0,0,0,31,False
8,0,0,0,24,False
6,0,0,0,26,False
6,0,0,2,31,False
2,0,0,2,29,False
6,0,0,0,34,False
4,0,0,0,29,False
6,0,0,2,20,False
5,0,0,0,33,False
3,0,0,4,37,False
7,0,0,2,36,False
5,0,0,2,35,False
4,0,0,2,38,False
7,0,0,0,37,False
3,0,0,2,37,False
4,0,0,0,26,False
3,0,2,0,29,False
3,0,2,0,29,False
3,0,0,0,36,False
2,0,0,0,25,False
2,0,0,2,28,False
14,0,2,2,38,False
3,0,0,2,36,False
8,0,0,2,37,False
5,0,0,0,31,False
3,0,1,1,43,False
4,0,0,0,29,False
2,0,0,1,25,False
1,0,0,2,28,False
3,0,1,1,27,False
8,0,0,3,31,False
5,0,0,1,29,False
4,0,1,0,29,False
5,0,0,1,37,False
2,0,0,1,31,False
5,0,0,1,46,False
3,0,0,0,36,False
2,0,0,1,30,False
5,0,0,1,37,False
4,0,1,2,48,False
2,0,2,1,30,False
2,0,1,0,41,False
4,0,0,0,38,False
1,0,0,1,28,False
3,0,0,1,51,False
3,0,0,2,33,False
7,1,0,1,30,False
6,1,1,1,30,False
2,0,0,1,25,False
4,0,1,1,30,False
3,0,0,3,30,False
3,0,1,0,58,False
3,0,1,1,32,False
4,0,0,1,42,False
5,1,1,3,31,False
8,5,2,4,24,False
12,0,1,2,28,False
3,1,0,1,34,False
4,1,1,1,26,False
4,1,1,1,23,False
6,1,1,1,29,False
14,1,0,1,27,False
11,1,1,1,26,False
11,2,1,1,24,False
6,1,1,1,25,False
6,1,1,1,23,False
3,1,0,0,23,False
6,0,1,1,27,False
4,1,1,1,26,False
7,1,1,1,26,False
5,1,0,1,26,False
6,1,1,1,26,False
6,1,1,1,23,False
5,3,1,1,26,False
6,1,1,0,27,False
7,1,1,1,30,False
7,1,0,1,20,False
4,1,1,1,22,False
3,0,1,1,22,False
3,1,1,3,26,False
5,0,0,1,35,False
5,1,1,1,36,False
3,1,0,1,27,False
6,1,0,1,29,False
5,1,2,1,22,False
4,1,1,1,26,False
5,1,0,1,27,False
6,0,0,2,41,False
5,1,1,1,45,False
5,1,1,1,100,False
4,1,0,1,45,False
5,0,1,1,52,False
3,1,0,1,37,False
8,0,0,1,31,False
5,0,0,0,23,False
6,0,0,2,27,False
4,1,0,0,25,False
3,0,1,1,28,False
5,1,0,1,21,False
3,0,0,1,25,False
6,1,1,1,22,False
5,1,1,1,34,False
3,0,1,1,29,False
3,0,1,1,30,False
2,1,0,1,19,False
4,1,0,0,25,False
5,1,1,1,26,False
5,0,0,1,30,False
4,0,0,0,23,False
3,0,0,0,17,False
5,0,0,2,21,False
5,0,1,0,21,False
4,0,0,1,21,False
5,0,0,0,26,False
4,1,0,1,19,False
3,0,0,0,20,False
4,0,0,0,18,False
5,0,0,0,16,False
4,0,0,0,19,False
6,0,0,0,16,False
4,0,0,1,15,False
5,0,0,0,19,False
3,0,0,1,17,False
4,0,1,1,18,False
5,0,0,1,16,False
4,0,0,0,17,False
2,0,0,0,16,False
3,0,0,0,16,False
2,0,0,0,20,False
4,0,0,1,22,False
3,0,0,1,22,False
6,0,0,0,19,False
2,0,0,0,20,False
3,0,0,0,15,False
3,0,0,0,20,False
3,0,0,0,16,False
4,0,0,1,20,False
4,0,0,0,21,False
3,0,0,0,17,False
3,0,0,0,20,False
3,0,0,0,19,False
3,0,0,0,18,False
3,0,0,0,17,False
5,0,0,0,17,False
4,0,0,0,18,False
3,0,0,0,28,False
2,0,0,0,56,False
2,0,20,1,25,False
3,0,4,0,18,False
4,0,1,0,15,False
1,0,1,0,18,False
2,0,1,1,36,False
3,0,1,0,27,False
2,0,1,0,22,False
3,0,1,0,19,True
