Jared Ficklin,Todd Humphreys,Gabriel Barcia-Colombo,Mina Bissell,Iraola,isPartial
0,0,0,0,47,False
0,0,0,0,26,False
0,0,0,0,19,False
0,0,0,15,30,False
0,0,0,0,22,False
0,0,0,0,26,False
0,14,0,14,36,False
0,13,0,13,38,False
0,12,0,12,31,False
0,0,0,0,40,False
0,0,0,0,32,False
0,11,0,0,33,False
0,0,0,10,26,False
0,0,0,0,24,False
0,0,0,0,28,False
0,0,0,10,45,False
0,8,0,17,20,False
0,0,0,9,31,False
0,0,0,9,29,False
0,0,0,8,19,False
0,0,0,8,30,False
0,7,0,14,26,False
7,0,0,14,35,False
0,0,0,7,19,False
0,6,0,0,14,False
0,0,0,6,31,False
0,0,0,5,38,False
0,6,0,6,27,False
5,5,0,11,37,False
0,0,0,6,34,False
6,0,0,6,37,False
0,10,0,5,26,False
5,0,0,5,26,False
5,0,0,9,24,False
0,4,0,9,17,False
0,5,0,5,32,False
0,4,0,4,30,False
0,0,0,7,39,False
0,4,0,5,34,False
0,4,0,0,20,False
0,3,0,5,17,False
0,0,0,0,25,False
0,0,0,4,28,False
0,0,0,3,27,False
0,0,0,3,35,False
0,0,0,6,24,False
0,0,0,3,23,False
3,0,0,0,31,False
2,3,0,3,24,False
0,5,0,5,26,False
0,0,0,5,31,False
0,0,0,2,29,False
0,2,0,2,34,False
0,0,0,2,29,False
2,2,0,5,20,False
0,0,2,2,33,False
0,0,0,2,37,False
0,0,0,3,36,False
0,2,0,4,35,False
0,2,0,2,38,False
0,2,0,4,37,False
2,0,0,5,37,False
0,2,0,2,26,False
2,0,0,2,29,False
0,2,0,2,29,False
0,0,2,3,36,False
0,0,0,3,25,False
0,2,0,0,28,False
2,2,0,2,38,False
0,0,0,2,36,False
2,0,0,4,37,False
0,2,0,4,31,False
0,0,0,2,43,False
0,0,0,4,29,False
1,0,0,2,25,False
1,1,0,5,28,False
0,0,0,2,27,False
0,0,0,1,31,False
0,1,0,4,29,False
0,1,0,1,29,False
1,1,1,3,37,False
0,2,0,2,31,False
0,1,0,3,46,False
0,1,0,2,36,False
1,1,0,1,30,False
0,2,0,1,37,False
0,0,0,2,48,False
0,2,0,2,30,False
0,0,0,1,41,False
1,1,0,2,38,False
1,1,0,2,28,False
0,0,0,1,51,False
1,1,0,1,33,False
1,0,0,2,30,False
2,1,1,1,30,False
0,0,0,1,25,False
0,0,0,1,30,False
1,1,1,1,30,False
2,1,1,1,58,False
1,1,0,1,32,False
1,2,0,1,42,False
1,1,1,1,31,False
2,3,1,13,24,False
1,2,0,5,28,False
2,1,1,3,34,False
1,1,0,4,26,False
1,1,1,3,23,False
1,1,1,3,29,False
1,1,1,3,27,False
1,1,1,2,26,False
1,1,1,1,24,False
1,1,1,2,25,False
1,1,0,2,23,False
0,1,1,2,23,False
1,2,1,2,27,False
1,2,0,1,26,False
0,1,0,3,26,False
1,1,0,1,26,False
1,1,1,2,26,False
1,1,1,2,23,False
1,2,0,1,26,False
1,1,1,2,27,False
1,1,1,2,30,False
1,1,1,1,20,False
1,1,0,2,22,False
1,1,1,2,22,False
1,1,0,1,26,False
1,1,0,1,35,False
1,1,1,1,36,False
0,1,0,2,27,False
1,1,0,2,29,False
1,1,0,1,22,False
0,1,0,1,26,False
0,1,0,1,27,False
0,1,0,3,41,False
1,1,0,1,45,False
0,2,1,1,100,False
0,1,0,1,45,False
1,2,0,1,52,False
0,1,0,1,37,False
1,1,0,1,31,False
0,1,0,1,23,False
0,1,0,1,27,False
0,1,0,1,25,False
0,0,0,1,28,False
1,1,0,2,21,False
0,0,0,0,25,False
1,1,0,1,22,False
1,1,0,1,34,False
1,1,0,1,29,False
0,1,0,1,30,False
1,0,1,1,19,False
1,1,0,1,25,False
0,0,0,1,26,False
0,1,0,1,30,False
0,0,0,1,23,False
1,1,0,1,17,False
1,1,0,1,21,False
0,1,0,1,21,False
0,0,0,0,21,False
0,1,0,0,26,False
0,1,0,1,19,False
0,0,1,1,20,False
0,1,0,1,18,False
0,0,0,1,16,False
0,0,0,1,19,False
0,1,0,1,16,False
0,1,0,0,15,False
0,0,0,0,19,False
0,1,1,1,17,False
0,0,0,1,18,False
1,1,0,0,16,False
0,0,0,1,17,False
0,0,0,1,16,False
1,1,0,1,16,False
0,1,0,0,20,False
1,0,0,0,22,False
0,0,0,2,22,False
0,0,0,1,19,False
0,0,1,1,20,False
0,0,0,0,15,False
0,0,0,1,20,False
0,0,0,1,16,False
0,1,0,1,20,False
0,0,0,1,21,False
0,0,0,1,17,False
0,0,0,1,20,False
0,0,0,1,19,False
0,1,0,1,18,False
0,0,0,1,17,False
0,1,0,1,17,False
0,1,0,0,18,False
0,0,0,0,28,False
0,0,0,1,56,False
0,0,0,1,25,False
0,0,0,1,18,False
0,0,0,0,15,False
0,1,0,0,18,False
0,0,0,1,36,False
0,0,0,0,27,False
0,0,0,1,22,False
0,0,0,0,19,True
