Becci Manson,Mark Applebaum,Hannah Fry,Scilla Elworthy,Iraola,isPartial
0,0,0,0,33,False
0,16,0,0,24,False
0,20,0,0,20,False
0,16,0,0,31,False
0,0,0,0,27,False
0,0,0,0,27,False
0,0,0,14,35,False
0,0,0,0,39,False
0,0,0,0,36,False
0,0,12,0,49,False
0,0,0,0,31,False
0,0,0,0,40,False
0,10,0,0,20,False
0,11,11,0,31,False
0,0,9,0,18,False
0,10,0,0,44,False
0,9,0,0,26,False
0,9,0,9,30,False
0,0,0,0,27,False
0,0,0,0,21,False
0,0,0,0,27,False
0,7,0,0,18,False
0,0,0,0,47,False
0,0,0,0,18,False
0,0,0,0,13,False
0,0,0,6,39,False
0,17,6,0,44,False
0,0,6,0,33,False
0,5,0,0,44,False
0,0,0,0,35,False
0,0,12,0,34,False
0,0,0,0,32,False
0,5,0,0,23,False
0,0,0,5,11,False
0,0,0,0,18,False
0,9,5,0,37,False
0,4,0,4,34,False
0,4,0,0,41,False
0,4,0,0,30,False
0,4,4,0,16,False
0,0,0,3,18,False
0,3,0,0,21,False
0,0,3,0,30,False
0,3,3,6,28,False
0,3,3,0,36,False
0,0,6,0,33,False
0,0,3,0,23,False
0,6,3,0,37,False
0,8,3,3,22,False
0,3,3,3,27,False
0,5,2,0,27,False
0,0,2,0,30,False
0,2,2,0,31,False
0,2,5,0,27,False
0,2,0,0,23,False
0,5,2,2,37,False
0,2,0,0,36,False
0,4,0,2,37,False
0,3,2,0,36,False
0,4,2,0,38,False
0,2,2,0,40,False
0,2,2,2,38,False
0,2,0,0,33,False
0,6,2,0,27,False
0,0,2,0,31,False
0,2,5,0,32,False
0,0,0,2,27,False
0,2,4,2,28,False
0,2,2,0,40,False
0,3,2,2,36,False
0,2,5,0,33,False
0,3,2,0,32,False
0,0,0,0,47,False
0,2,3,0,28,False
0,2,2,0,27,False
0,3,1,0,29,False
0,1,4,0,27,False
0,0,1,1,28,False
0,3,0,1,29,False
0,3,1,1,31,False
0,3,3,0,38,False
0,1,4,0,26,False
0,1,2,0,51,False
0,1,0,1,38,False
0,1,1,1,29,False
0,2,1,0,39,False
0,1,1,2,51,False
0,1,1,1,28,False
0,0,2,1,46,False
0,2,0,1,39,False
0,2,1,0,29,False
0,2,1,0,48,False
0,1,2,0,38,False
0,2,2,1,30,False
0,1,1,1,27,False
1,1,2,0,28,False
0,1,3,0,28,False
0,2,1,1,30,False
0,1,1,1,57,False
0,2,2,0,35,False
0,1,2,1,42,False
0,1,1,1,30,False
0,1,1,0,24,False
2,8,9,4,29,False
1,3,2,2,33,False
1,5,1,2,23,False
1,2,1,1,23,False
1,1,2,1,27,False
1,3,3,1,29,False
0,1,2,1,27,False
1,2,1,1,26,False
1,2,1,1,25,False
1,1,1,1,25,False
1,1,2,1,25,False
0,3,3,1,26,False
1,4,3,1,25,False
0,2,4,3,27,False
0,1,4,1,26,False
0,2,3,1,28,False
1,2,2,1,24,False
0,2,2,1,26,False
0,2,5,2,27,False
0,2,5,2,32,False
0,2,1,1,20,False
0,2,2,2,23,False
0,2,1,2,22,False
0,1,2,1,28,False
1,2,2,1,34,False
1,2,3,1,37,False
0,1,3,1,30,False
1,2,2,1,33,False
1,2,6,0,23,False
1,1,13,1,29,False
0,1,34,1,30,False
1,2,29,1,41,False
0,3,14,2,46,False
1,2,10,1,100,False
0,1,18,1,42,False
0,1,10,1,52,False
0,2,7,1,40,False
0,3,31,1,32,False
0,3,11,1,23,False
0,2,8,1,29,False
1,3,5,1,24,False
0,3,9,1,27,False
1,3,34,1,22,False
0,3,9,1,25,False
1,2,17,1,23,False
0,3,16,0,33,False
0,2,46,1,31,False
0,2,42,1,30,False
1,1,15,1,19,False
0,1,11,2,24,False
0,1,8,2,26,False
0,1,17,0,32,False
0,2,26,1,24,False
0,1,17,0,18,False
0,3,12,0,24,False
0,1,14,1,21,False
0,1,10,1,21,False
0,1,8,0,26,False
0,1,26,1,19,False
0,1,10,1,21,False
0,1,6,1,17,False
0,3,9,1,18,False
0,2,11,2,18,False
0,1,8,1,18,False
0,2,10,0,15,False
0,1,15,2,18,False
0,1,15,0,18,False
0,2,14,1,18,False
0,1,8,1,17,False
0,1,12,0,19,False
0,2,11,0,14,False
0,1,11,1,17,False
0,0,16,0,20,False
0,0,27,1,24,False
0,1,44,1,22,False
0,2,36,1,19,False
0,1,30,0,19,False
0,1,22,0,15,False
0,2,21,0,22,False
0,2,19,0,17,False
0,1,18,1,20,False
0,1,19,0,22,False
0,1,15,0,18,False
0,1,19,0,24,False
0,1,21,1,19,False
0,1,16,0,18,False
0,1,18,1,18,False
0,1,28,1,16,False
0,0,43,1,20,False
0,1,30,0,30,False
0,0,25,0,57,False
0,1,17,1,27,False
0,1,23,0,18,False
0,1,62,1,14,False
0,1,19,1,17,False
0,1,21,0,40,False
0,2,14,0,26,False
0,1,16,0,22,False
0,0,12,0,20,True
