Beth Noveck,Tristram Stuart,Sarah-Jayne Blakemore,Andrew Blum,Iraola,isPartial
16,0,0,16,47,False
16,0,0,16,26,False
0,0,0,0,19,False
0,0,0,0,30,False
0,0,0,13,22,False
13,13,0,0,26,False
0,0,0,14,36,False
0,0,0,19,38,False
0,0,0,0,31,False
0,0,0,0,40,False
0,0,0,12,32,False
11,0,0,0,33,False
0,0,0,0,26,False
0,0,10,0,24,False
0,0,9,9,28,False
10,0,0,10,45,False
0,0,0,0,20,False
0,0,0,8,31,False
9,0,0,0,29,False
0,0,0,0,19,False
0,8,0,10,30,False
0,0,7,7,26,False
7,7,0,0,35,False
0,0,0,7,19,False
6,0,0,0,14,False
6,12,0,6,31,False
0,5,0,0,38,False
6,0,12,6,27,False
0,0,0,11,37,False
0,0,0,6,34,False
6,0,0,8,37,False
10,5,0,0,26,False
0,5,5,5,26,False
9,0,0,7,24,False
0,0,0,7,17,False
0,0,0,7,32,False
4,4,4,12,30,False
0,4,4,0,39,False
7,0,0,4,34,False
0,0,0,4,20,False
3,0,3,6,17,False
3,3,0,3,25,False
3,0,3,7,28,False
3,3,0,3,27,False
3,0,0,6,35,False
0,3,0,6,24,False
3,0,0,4,23,False
3,0,0,4,31,False
5,3,0,3,24,False
5,3,3,3,26,False
2,0,0,5,31,False
2,0,0,3,29,False
2,0,2,3,34,False
0,0,2,5,29,False
0,0,0,0,20,False
0,0,2,4,33,False
2,2,0,4,37,False
0,2,2,2,36,False
6,2,0,3,35,False
2,0,0,2,38,False
4,2,2,3,37,False
4,0,2,5,37,False
2,0,0,2,26,False
4,4,0,5,29,False
3,2,0,2,29,False
3,2,0,3,36,False
3,4,2,2,25,False
6,2,2,2,28,False
3,3,0,2,38,False
3,4,2,4,36,False
2,5,0,2,37,False
2,5,0,2,31,False
1,3,1,2,43,False
1,3,0,2,29,False
2,4,1,3,25,False
3,1,0,3,28,False
2,3,1,2,27,False
3,3,1,2,31,False
1,0,0,1,29,False
2,3,1,1,29,False
2,3,1,2,37,False
2,2,1,1,31,False
2,1,1,2,46,False
1,0,1,2,36,False
0,1,1,2,30,False
2,2,1,1,37,False
2,1,0,1,48,False
1,3,0,2,30,False
2,2,0,1,41,False
3,3,1,1,38,False
2,3,1,2,28,False
1,1,1,2,51,False
2,2,1,2,33,False
1,2,0,2,30,False
2,3,1,2,30,False
1,1,1,1,25,False
1,1,2,2,30,False
0,1,1,2,30,False
1,3,1,2,58,False
1,1,1,2,32,False
1,2,1,3,42,False
1,2,1,8,31,False
2,2,1,4,24,False
1,3,1,5,28,False
3,5,4,6,34,False
1,10,1,6,26,False
1,4,1,4,23,False
1,4,1,5,29,False
1,4,1,3,27,False
1,3,2,4,26,False
2,3,1,3,24,False
2,3,0,2,25,False
2,3,1,3,23,False
2,2,2,3,23,False
1,2,1,4,27,False
2,1,1,2,26,False
1,3,1,3,26,False
2,2,1,2,26,False
1,5,1,2,26,False
1,2,1,2,23,False
2,2,1,2,26,False
1,2,1,2,27,False
1,1,2,2,30,False
1,2,1,1,20,False
2,2,1,1,22,False
1,3,1,3,22,False
1,2,1,2,26,False
1,1,1,3,35,False
1,1,1,3,36,False
1,2,2,2,27,False
1,1,1,2,29,False
1,2,1,1,22,False
1,2,1,1,26,False
1,2,1,2,27,False
1,3,3,3,41,False
2,4,1,2,45,False
1,3,1,2,100,False
1,2,1,1,45,False
1,2,1,2,52,False
1,2,1,4,37,False
1,1,1,1,31,False
1,3,1,2,23,False
0,2,1,1,27,False
1,2,1,1,25,False
1,3,2,2,28,False
1,2,1,3,21,False
1,5,0,1,25,False
1,3,1,2,22,False
1,2,0,2,34,False
1,1,1,2,29,False
1,1,1,1,30,False
1,1,0,2,19,False
1,1,1,1,25,False
1,3,1,1,26,False
1,2,1,2,30,False
1,3,0,1,23,False
1,2,1,1,17,False
0,1,1,1,21,False
0,2,1,1,21,False
1,1,1,2,21,False
1,1,1,2,26,False
1,2,1,1,19,False
1,1,0,1,20,False
0,2,0,2,18,False
0,1,0,2,16,False
1,3,0,2,19,False
1,1,1,1,16,False
1,1,1,1,15,False
1,1,0,1,19,False
0,2,1,2,17,False
1,1,1,2,18,False
0,2,0,2,16,False
1,1,1,2,17,False
1,1,1,1,16,False
1,0,1,1,16,False
2,1,2,1,20,False
1,1,1,1,22,False
1,1,1,2,22,False
1,2,0,1,19,False
0,1,0,0,20,False
0,1,1,2,15,False
0,1,1,2,20,False
1,1,1,2,16,False
0,1,1,1,20,False
1,1,0,1,21,False
1,1,1,2,17,False
0,1,0,3,20,False
1,1,0,1,19,False
1,2,0,2,18,False
0,1,0,1,17,False
0,1,0,2,17,False
0,1,0,1,18,False
1,1,0,1,28,False
1,1,1,1,56,False
1,1,0,3,25,False
1,1,1,8,18,False
1,1,0,2,15,False
1,1,1,2,18,False
0,1,0,1,36,False
1,1,0,2,27,False
0,1,1,2,22,False
0,1,1,1,19,True
