Bahia Shehab,Aris Venetikidis,Vicki Arroyo,Amy Cuddy,Iraola,isPartial
0,0,0,0,26,False
0,0,0,0,19,False
0,0,0,0,16,False
0,0,12,0,25,False
0,0,0,0,21,False
0,0,0,0,21,False
0,0,0,0,28,False
0,0,0,0,31,False
0,0,0,0,29,False
0,0,0,0,39,False
0,0,0,0,24,False
0,0,0,0,32,False
0,0,0,0,16,False
0,0,0,0,25,False
0,0,0,0,14,False
0,0,0,0,35,False
0,0,0,0,21,False
0,0,0,0,24,False
0,0,7,0,21,False
0,0,0,0,17,False
0,0,0,0,21,False
0,0,0,6,14,False
0,0,0,6,37,False
0,0,0,0,14,False
0,0,0,0,10,False
0,0,0,0,31,False
0,0,4,0,35,False
0,0,5,5,26,False
0,0,0,4,35,False
0,0,0,5,27,False
0,0,0,4,27,False
0,0,0,0,25,False
0,0,0,0,18,False
0,0,0,0,9,False
0,0,0,0,14,False
0,0,4,0,30,False
0,0,0,0,27,False
0,0,0,3,32,False
0,0,0,0,24,False
0,0,0,0,12,False
0,0,0,0,14,False
0,0,3,0,16,False
0,0,0,0,24,False
0,0,0,3,22,False
0,0,2,2,29,False
0,0,0,2,26,False
0,0,2,2,19,False
0,0,0,2,29,False
0,0,0,0,17,False
0,0,0,0,21,False
0,0,0,3,22,False
0,0,2,2,24,False
0,0,0,0,25,False
0,0,0,2,22,False
0,0,0,6,18,False
0,0,0,2,29,False
0,0,0,2,28,False
0,0,2,2,30,False
0,0,0,2,29,False
0,0,0,2,30,False
0,0,0,2,32,False
0,0,2,0,30,False
0,0,1,1,26,False
0,0,1,1,22,False
0,0,0,0,25,False
0,0,0,1,25,False
0,0,0,1,21,False
0,0,1,0,23,False
0,0,0,0,31,False
0,0,1,0,28,False
0,0,0,0,26,False
0,1,0,1,25,False
0,0,0,1,37,False
0,0,0,1,22,False
0,0,0,1,21,False
0,0,1,0,23,False
0,0,0,0,21,False
0,0,1,1,22,False
0,0,0,0,23,False
0,0,1,1,25,False
0,0,1,1,30,False
1,0,1,2,21,False
0,0,0,3,40,False
0,1,1,2,30,False
0,0,0,2,23,False
0,0,0,1,31,False
0,0,1,1,40,False
0,0,1,1,22,False
0,0,1,2,36,False
0,0,1,1,31,False
0,0,1,2,23,False
0,0,2,0,38,False
0,0,1,2,30,False
0,0,0,1,24,False
0,0,0,1,22,False
0,0,0,1,22,False
0,0,1,1,22,False
0,0,1,1,24,False
0,0,0,1,45,False
0,0,0,1,27,False
0,0,1,3,33,False
0,0,1,1,24,False
0,0,0,3,19,False
0,0,0,1,23,False
0,0,1,1,26,False
3,2,1,61,18,False
1,1,1,29,18,False
1,1,1,29,21,False
1,1,1,39,23,False
1,0,0,27,21,False
1,1,0,28,20,False
1,0,1,23,20,False
0,0,1,27,19,False
1,0,1,35,19,False
1,1,1,33,21,False
0,0,1,30,20,False
0,0,0,35,22,False
1,0,1,36,21,False
0,0,1,38,22,False
0,0,0,37,19,False
0,0,0,40,20,False
1,0,1,39,21,False
0,0,0,42,25,False
0,0,0,37,16,False
0,0,1,40,18,False
1,0,1,33,17,False
1,0,2,34,22,False
0,0,0,30,27,False
0,0,0,58,29,False
0,0,0,48,23,False
0,0,0,47,26,False
0,0,1,31,18,False
0,0,0,36,23,False
0,0,0,41,24,False
1,0,0,41,33,False
0,0,0,53,36,False
0,0,0,40,79,False
0,0,0,37,33,False
0,0,1,33,41,False
0,0,0,39,32,False
0,0,0,43,25,False
0,0,0,42,18,False
0,0,0,40,23,False
1,0,1,82,19,False
0,0,1,86,22,False
1,0,0,100,17,False
1,0,0,70,20,False
2,0,0,55,18,False
0,0,0,57,26,False
1,0,1,51,24,False
0,0,0,37,24,False
0,0,1,40,15,False
0,0,0,49,19,False
0,0,0,52,21,False
0,0,0,49,25,False
0,0,1,35,19,False
0,0,0,39,14,False
0,0,0,47,19,False
0,0,0,46,17,False
1,0,1,37,16,False
0,0,0,34,20,False
0,0,0,36,15,False
0,0,0,34,17,False
0,0,0,30,14,False
1,0,0,35,14,False
1,0,0,65,15,False
0,0,0,42,14,False
0,0,0,25,12,False
1,0,0,33,14,False
0,0,1,36,14,False
0,0,0,33,14,False
0,0,0,28,14,False
0,0,0,26,15,False
0,0,0,27,11,False
0,0,0,26,13,False
0,0,0,26,16,False
0,0,0,29,19,False
0,0,0,32,18,False
0,0,0,31,15,False
0,0,0,21,15,False
0,0,0,29,12,False
0,0,0,21,17,False
0,0,0,30,13,False
0,0,0,28,16,False
0,0,0,26,18,False
1,0,0,25,14,False
1,0,0,20,19,False
0,0,0,22,15,False
1,0,0,28,15,False
1,0,0,26,14,False
0,0,0,23,13,False
0,0,0,15,16,False
0,0,0,19,24,False
0,0,0,22,45,False
0,0,0,18,22,False
0,0,0,20,14,False
0,0,0,20,11,False
0,0,0,16,13,False
0,0,0,20,31,False
0,0,0,17,21,False
0,0,0,21,18,False
0,0,0,20,16,True
