Beau Lotto + Amy O'Toole,Heather Brooke,Ryan Merkley,Pankaj Ghemawat,Iraola,isPartial
0,70,0,2,6,False
0,64,0,0,4,False
3,62,3,3,3,False
0,66,0,2,4,False
0,79,2,0,3,False
2,60,0,2,4,False
0,75,0,2,5,False
0,73,0,2,5,False
0,59,0,0,4,False
0,66,0,2,5,False
0,79,0,2,4,False
0,82,0,0,4,False
1,71,0,1,3,False
1,57,0,1,3,False
1,73,0,1,4,False
1,71,0,0,6,False
0,83,0,1,3,False
0,85,0,2,4,False
0,97,0,1,4,False
0,79,0,1,3,False
1,72,1,0,4,False
0,76,0,1,3,False
1,85,0,2,5,False
0,65,0,1,2,False
1,79,1,0,2,False
1,74,1,1,4,False
0,69,0,1,5,False
0,73,0,0,4,False
0,69,1,0,5,False
1,78,0,1,5,False
1,77,0,1,5,False
1,73,0,1,3,False
0,72,0,0,4,False
0,75,0,1,3,False
0,74,0,1,2,False
1,73,0,0,4,False
1,70,0,1,4,False
0,65,0,2,5,False
0,70,0,1,5,False
1,78,0,1,3,False
0,73,0,2,2,False
0,76,0,0,3,False
0,86,0,0,4,False
0,86,0,1,4,False
0,84,0,1,5,False
0,89,0,1,3,False
0,88,0,1,3,False
0,100,0,1,4,False
0,100,0,1,3,False
1,92,0,1,3,False
0,81,0,1,4,False
0,78,0,0,4,False
1,81,0,1,5,False
0,95,0,1,4,False
0,90,0,0,3,False
0,94,0,0,4,False
0,73,0,0,5,False
0,78,0,1,5,False
0,77,0,1,5,False
0,77,0,0,5,False
0,78,0,1,5,False
1,62,0,1,5,False
0,65,0,1,4,False
0,63,0,0,4,False
0,67,0,0,4,False
0,61,0,1,5,False
0,73,0,0,3,False
0,66,0,1,4,False
0,59,0,1,5,False
2,56,0,0,5,False
1,54,0,0,5,False
0,54,0,0,4,False
0,56,0,0,6,False
0,54,0,1,4,False
0,47,0,0,3,False
0,55,0,0,4,False
0,52,0,0,4,False
0,59,0,1,4,False
0,58,0,0,4,False
0,61,0,0,4,False
0,50,0,1,5,False
0,51,0,0,4,False
0,47,0,0,6,False
0,50,0,0,5,False
0,44,0,0,4,False
0,41,0,0,5,False
0,37,0,1,7,False
0,40,0,0,4,False
0,40,0,1,6,False
1,39,0,1,5,False
0,40,0,0,4,False
1,43,0,0,7,False
0,37,0,1,4,False
0,38,0,1,4,False
1,35,0,0,4,False
0,38,0,1,3,False
0,34,0,1,4,False
0,33,0,1,4,False
0,32,0,0,8,False
0,37,0,0,4,False
0,35,0,0,6,False
0,33,0,0,4,False
0,36,0,0,3,False
0,33,0,0,4,False
0,37,0,0,5,False
1,32,0,1,3,False
2,31,0,1,3,False
0,35,0,1,4,False
0,31,0,0,4,False
0,28,0,0,3,False
0,29,0,1,3,False
0,30,0,0,3,False
0,27,0,0,3,False
0,28,0,0,3,False
0,31,0,0,4,False
0,30,0,0,3,False
0,27,0,0,3,False
0,26,0,0,4,False
0,24,0,0,4,False
0,26,0,0,3,False
0,26,0,0,4,False
0,23,0,1,4,False
0,24,0,0,4,False
0,23,0,1,3,False
0,25,0,0,3,False
0,25,0,0,3,False
0,24,0,0,3,False
0,23,0,0,5,False
0,22,0,0,5,False
0,23,0,0,4,False
1,22,0,0,4,False
0,21,0,0,3,False
0,21,0,0,4,False
0,20,0,0,4,False
0,20,0,0,5,False
0,20,0,0,6,False
0,19,0,0,13,False
0,19,0,0,6,False
0,22,0,0,7,False
0,23,0,0,5,False
0,19,0,0,4,False
0,18,0,0,3,False
0,18,0,0,4,False
0,19,0,0,3,False
0,15,0,0,4,False
0,13,0,0,3,False
0,15,0,0,3,False
0,13,1,0,3,False
0,13,0,0,5,False
0,12,0,0,4,False
0,13,0,0,4,False
0,13,0,0,3,False
0,16,0,0,3,False
1,11,0,0,3,False
0,11,0,0,4,False
0,12,1,0,3,False
0,12,0,0,2,False
0,11,0,0,3,False
0,11,0,0,3,False
1,12,0,0,3,False
0,9,0,0,3,False
0,10,0,0,3,False
1,11,0,0,3,False
0,10,0,0,2,False
0,8,0,0,2,False
1,8,0,0,3,False
0,14,0,0,2,False
0,8,0,0,2,False
1,8,1,0,3,False
0,8,0,0,2,False
1,10,1,0,2,False
0,7,1,0,2,False
0,7,1,0,2,False
0,8,4,0,2,False
0,8,1,0,2,False
1,7,0,0,3,False
0,7,1,0,3,False
0,7,0,0,3,False
0,7,0,0,3,False
0,6,1,0,3,False
0,7,0,0,2,False
0,6,0,0,3,False
0,7,0,0,2,False
0,6,0,0,3,False
0,9,0,0,3,False
0,7,0,0,2,False
0,6,0,0,3,False
0,6,1,0,3,False
0,6,3,0,2,False
0,6,1,0,2,False
0,6,0,0,2,False
0,6,1,0,2,False
0,6,0,0,4,False
1,5,0,0,7,False
0,5,0,0,3,False
0,12,0,0,2,False
0,8,0,0,2,False
0,6,0,0,2,False
0,5,0,0,5,False
0,6,0,0,4,False
0,4,0,0,3,False
0,4,0,0,3,True
