David Pizarro,Lemn Sissay,Doris Kim Sung,Sanjay Pradhan,Iraola,isPartial
23,0,0,10,30,False
16,15,0,0,16,False
28,0,0,0,12,False
13,0,0,9,19,False
16,0,0,8,13,False
16,8,0,0,16,False
20,0,0,8,23,False
8,8,0,0,24,False
17,15,0,0,19,False
17,15,0,0,25,False
7,15,0,0,20,False
12,0,0,0,21,False
18,6,0,0,16,False
16,0,0,0,15,False
16,5,0,0,18,False
10,6,0,6,28,False
18,5,0,0,12,False
37,0,0,0,19,False
74,0,0,5,18,False
45,10,0,0,12,False
20,0,0,0,19,False
19,4,0,4,16,False
12,4,0,4,22,False
18,4,0,0,12,False
10,5,0,4,9,False
14,4,0,4,20,False
12,7,0,3,24,False
13,7,0,0,17,False
13,7,0,0,23,False
9,7,0,0,21,False
8,3,0,0,23,False
21,5,0,0,16,False
20,3,0,3,16,False
9,8,0,0,15,False
8,4,0,0,11,False
7,3,0,0,20,False
5,4,0,0,19,False
4,3,0,0,24,False
11,3,0,2,21,False
10,2,0,0,13,False
7,6,0,2,11,False
8,2,0,2,15,False
9,4,0,0,17,False
10,8,0,2,17,False
10,5,0,0,22,False
11,5,0,3,15,False
6,2,0,2,15,False
4,4,0,0,19,False
6,2,0,0,15,False
12,2,0,2,16,False
7,3,0,0,19,False
11,4,0,0,18,False
7,2,0,0,22,False
9,2,0,0,18,False
5,1,0,1,13,False
9,4,0,0,21,False
7,2,0,0,23,False
9,2,0,0,23,False
4,4,0,1,22,False
4,3,0,1,24,False
6,2,0,1,23,False
6,2,0,0,23,False
7,2,0,1,16,False
8,4,0,1,18,False
5,2,0,1,18,False
8,3,0,0,22,False
5,4,0,2,16,False
4,4,0,0,17,False
5,3,0,1,23,False
18,1,0,2,23,False
5,4,0,1,23,False
5,1,1,1,19,False
8,2,0,3,27,False
6,2,0,1,18,False
9,2,0,2,15,False
8,2,0,1,18,False
12,1,0,3,17,False
15,1,0,0,19,False
9,1,0,1,18,False
8,1,0,1,18,False
10,2,0,0,23,False
8,2,1,0,19,False
5,3,0,1,29,False
11,0,0,1,22,False
8,1,0,1,19,False
11,2,0,0,23,False
8,2,0,1,30,False
7,1,0,1,19,False
10,2,0,1,26,False
6,1,0,0,24,False
7,1,1,0,17,False
6,2,0,1,32,False
6,2,0,1,21,False
5,2,0,1,19,False
6,1,0,1,19,False
14,2,0,1,15,False
63,2,1,1,19,False
100,2,0,1,19,False
24,2,0,0,36,False
24,1,0,1,20,False
19,2,0,1,27,False
13,4,0,1,19,False
17,3,0,0,15,False
32,2,0,1,18,False
16,2,0,1,21,False
11,5,1,1,16,False
14,4,2,1,14,False
32,3,1,1,18,False
9,2,0,1,17,False
10,4,1,1,16,False
12,2,0,1,15,False
14,1,0,1,16,False
38,2,0,1,14,False
38,1,0,1,15,False
13,3,0,0,17,False
13,2,0,1,16,False
17,3,0,1,16,False
12,2,0,1,16,False
6,2,0,1,16,False
9,1,0,1,14,False
10,1,1,1,16,False
13,1,1,0,17,False
15,2,0,1,19,False
10,1,1,1,13,False
12,1,0,1,14,False
9,2,1,1,14,False
9,1,0,0,16,False
8,4,0,1,22,False
6,3,0,0,23,False
7,1,0,1,17,False
6,2,1,1,18,False
5,1,1,1,14,False
7,1,0,0,16,False
8,2,0,1,17,False
10,2,0,1,25,False
4,1,0,1,28,False
9,5,0,1,63,False
61,8,0,1,28,False
44,4,0,2,32,False
16,2,0,0,23,False
12,2,1,1,19,False
7,34,0,1,14,False
12,6,0,1,17,False
5,5,0,1,16,False
9,3,0,1,17,False
7,4,0,1,13,False
6,3,0,0,15,False
6,2,0,1,14,False
5,3,0,1,21,False
5,3,0,1,18,False
12,4,0,0,19,False
15,5,0,1,12,False
5,7,1,0,15,False
4,8,0,0,16,False
3,4,0,1,19,False
5,3,0,1,15,False
17,3,0,1,11,False
10,3,0,1,13,False
4,3,0,1,13,False
7,2,0,1,13,False
12,8,0,1,16,False
5,3,0,0,12,False
7,3,0,1,12,False
10,3,0,0,11,False
6,3,0,1,10,False
9,6,0,1,12,False
8,5,0,1,10,False
6,15,0,1,9,False
4,4,1,1,12,False
7,2,0,1,11,False
8,3,0,1,12,False
15,3,0,1,10,False
7,8,0,2,11,False
4,3,0,2,10,False
4,3,1,1,10,False
6,8,1,2,12,False
6,3,0,2,14,False
5,3,0,1,14,False
14,7,0,2,12,False
6,5,0,2,12,False
4,3,0,1,10,False
6,8,0,1,13,False
3,3,0,1,10,False
3,3,0,1,12,False
3,2,0,1,13,False
5,5,0,1,11,False
4,5,0,1,13,False
6,17,0,1,12,False
3,20,0,0,11,False
3,11,0,2,11,False
2,10,0,1,10,False
2,7,0,1,11,False
3,6,0,1,18,False
5,6,0,1,35,False
4,9,0,1,15,False
6,9,0,1,11,False
4,11,0,1,9,False
6,10,0,1,11,False
3,25,0,1,23,False
4,8,0,1,17,False
5,6,0,0,13,False
3,13,0,1,12,True
