Stephen Lawler,Bill Stone,Alan Russell,Jonathan Harris,Iraola,isPartial
0,87,30,51,23,False
0,76,30,61,46,False
0,88,50,37,28,False
15,68,29,73,29,False
0,84,38,29,29,False
13,59,25,38,25,False
13,79,40,22,26,False
0,45,41,57,48,False
0,67,30,34,26,False
23,92,38,46,23,False
12,58,38,35,12,False
11,60,21,43,16,False
9,66,28,56,22,False
0,73,26,36,30,False
8,58,14,33,22,False
0,50,31,50,28,False
8,52,30,54,19,False
8,63,27,27,27,False
0,39,14,25,25,False
0,56,29,51,16,False
0,70,29,32,29,False
7,57,11,43,27,False
0,66,30,46,21,False
0,45,18,43,27,False
0,57,24,41,18,False
6,49,15,41,20,False
5,56,31,29,35,False
6,56,21,32,21,False
5,38,12,39,34,False
5,42,20,23,34,False
5,60,18,24,33,False
0,40,30,31,21,False
5,35,32,24,24,False
0,27,35,22,22,False
0,47,29,18,25,False
0,37,18,41,25,False
4,43,21,28,21,False
0,29,29,16,25,False
0,45,23,30,27,False
4,44,11,31,24,False
0,36,12,28,30,False
0,48,27,31,25,False
3,48,22,38,28,False
0,46,23,48,24,False
3,36,16,48,32,False
3,49,29,28,20,False
0,48,20,36,26,False
3,28,25,34,26,False
5,44,20,34,24,False
2,50,26,40,21,False
0,40,22,36,26,False
0,35,18,32,26,False
2,50,24,27,29,False
5,40,11,33,19,False
2,45,21,39,16,False
3,47,12,36,34,False
2,36,18,27,34,False
6,54,22,44,31,False
0,45,21,31,35,False
2,33,15,28,31,False
0,61,17,43,27,False
0,38,11,39,27,False
2,36,23,37,26,False
2,41,19,33,34,False
3,38,22,33,29,False
2,44,17,32,32,False
2,56,18,40,29,False
2,57,21,26,34,False
2,53,12,33,39,False
7,42,16,35,32,False
1,45,16,26,38,False
1,46,21,29,35,False
1,47,22,31,35,False
1,50,20,34,23,False
3,46,20,32,30,False
1,54,18,36,26,False
2,35,17,40,25,False
1,44,17,27,31,False
0,48,18,40,20,False
1,47,17,34,25,False
2,49,21,35,27,False
1,43,19,28,33,False
1,47,15,31,45,False
2,36,18,22,36,False
2,50,14,33,32,False
0,43,13,28,44,False
2,48,14,28,41,False
1,40,16,28,35,False
1,40,14,30,38,False
1,40,13,19,33,False
1,42,13,30,25,False
1,39,22,25,37,False
1,43,17,29,36,False
1,40,16,21,30,False
1,35,18,31,26,False
1,34,15,24,24,False
1,44,18,30,29,False
1,42,19,27,34,False
1,38,14,44,51,False
1,44,13,32,32,False
0,33,19,29,50,False
2,39,16,28,23,False
1,47,16,24,24,False
1,50,18,31,26,False
3,48,15,27,28,False
1,44,16,31,23,False
1,41,15,24,25,False
1,37,15,25,26,False
1,40,15,30,25,False
1,39,14,24,24,False
1,40,15,24,20,False
1,41,19,27,23,False
1,39,13,28,23,False
1,40,19,29,23,False
1,38,13,28,23,False
1,48,15,35,28,False
1,35,15,28,28,False
1,39,14,22,24,False
1,37,18,28,26,False
1,35,16,24,25,False
2,39,22,33,25,False
1,38,19,33,28,False
1,44,17,23,28,False
1,44,17,26,24,False
1,49,16,26,26,False
1,35,12,26,24,False
1,39,10,28,26,False
1,44,17,24,33,False
1,40,12,21,37,False
1,41,16,23,28,False
1,40,19,22,28,False
1,40,16,26,22,False
1,41,16,27,25,False
2,43,14,28,26,False
1,39,11,26,35,False
1,42,15,27,45,False
2,41,10,25,97,False
1,38,13,32,45,False
1,42,13,24,49,False
1,40,15,23,38,False
1,43,11,28,26,False
1,37,11,28,24,False
1,39,11,27,24,False
1,47,12,22,22,False
2,50,16,25,25,False
5,50,14,24,18,False
5,50,13,30,23,False
1,50,12,24,20,False
2,48,16,21,28,False
6,64,10,26,28,False
4,81,11,40,28,False
3,77,11,23,20,False
2,87,8,20,21,False
1,98,12,18,29,False
3,94,48,22,31,False
2,89,34,18,26,False
2,68,12,27,17,False
1,100,12,21,20,False
1,57,10,23,18,False
1,61,10,17,18,False
1,48,9,18,21,False
1,62,10,16,18,False
0,46,8,20,17,False
1,44,11,18,19,False
0,45,9,18,16,False
1,42,9,22,18,False
1,40,8,23,17,False
2,39,10,23,12,False
1,40,8,25,18,False
2,42,7,26,18,False
1,40,11,22,16,False
1,42,9,33,15,False
2,35,9,26,19,False
1,39,11,22,17,False
1,35,13,18,16,False
1,35,10,27,19,False
1,38,11,21,20,False
1,28,8,22,20,False
2,36,10,23,20,False
0,34,12,19,19,False
1,43,8,23,16,False
1,34,9,25,18,False
2,33,10,21,15,False
1,37,8,20,18,False
1,37,10,19,16,False
1,39,8,21,17,False
1,37,9,23,22,False
1,37,10,22,19,False
0,35,8,18,19,False
1,40,6,20,16,False
1,35,8,16,18,False
1,33,10,22,17,False
1,33,7,25,28,False
1,42,9,17,51,False
0,38,7,15,21,False
0,58,8,20,16,False
1,37,11,20,16,False
1,35,9,18,14,False
1,43,10,18,33,False
1,42,9,25,28,False
1,37,8,21,22,False
1,35,8,17,19,True
