Candy Chang,Ernesto Sirolli,Jonas Eliasson,Janine Shepherd,Iraola,isPartial
0,16,0,16,47,False
0,0,0,0,26,False
0,19,0,0,19,False
0,15,15,0,30,False
0,13,0,0,22,False
0,0,13,13,26,False
14,0,0,0,36,False
0,0,0,13,38,False
0,12,0,0,31,False
0,12,0,16,40,False
0,12,0,12,32,False
0,0,0,0,33,False
0,0,0,0,26,False
0,0,0,0,24,False
8,9,0,9,28,False
10,0,0,0,45,False
8,0,0,8,20,False
0,0,0,0,31,False
0,0,0,17,29,False
8,0,0,17,19,False
11,0,8,0,30,False
7,7,0,14,26,False
0,7,0,21,35,False
10,0,0,0,19,False
6,0,0,6,14,False
6,6,0,6,31,False
5,5,0,5,38,False
0,0,9,12,27,False
5,5,5,5,37,False
0,0,0,0,34,False
6,6,6,6,37,False
5,5,0,5,26,False
5,0,5,0,26,False
7,0,0,4,24,False
4,0,4,0,17,False
5,0,0,0,32,False
8,8,4,0,30,False
4,0,0,4,39,False
0,0,0,11,34,False
4,4,0,6,20,False
3,3,0,5,17,False
0,0,3,3,25,False
0,0,3,0,28,False
0,0,0,3,27,False
0,0,3,6,35,False
5,3,0,0,24,False
0,3,3,3,23,False
3,0,0,3,31,False
0,4,3,5,24,False
0,4,0,0,26,False
2,2,2,0,31,False
7,0,4,2,29,False
2,0,0,5,34,False
2,0,5,2,29,False
0,0,2,0,20,False
2,0,0,0,33,False
2,0,2,2,37,False
2,0,0,2,36,False
0,0,0,2,35,False
2,0,2,2,38,False
2,0,2,2,37,False
4,0,2,2,37,False
2,0,3,2,26,False
2,0,0,4,29,False
0,0,2,3,29,False
2,2,2,2,36,False
3,0,2,2,25,False
3,0,2,3,28,False
2,3,0,2,38,False
2,0,2,3,36,False
2,2,2,2,37,False
3,0,2,2,31,False
1,1,0,3,43,False
3,1,1,4,29,False
1,1,0,3,25,False
2,0,4,2,28,False
3,0,3,2,27,False
1,1,1,2,31,False
1,1,1,1,29,False
6,1,2,3,29,False
2,2,0,1,37,False
3,1,0,3,31,False
3,0,1,3,46,False
3,0,2,1,36,False
2,0,1,2,30,False
3,0,1,2,37,False
8,0,3,1,48,False
10,0,1,1,30,False
6,0,1,1,41,False
6,1,2,2,38,False
5,0,0,2,28,False
5,0,1,1,51,False
6,0,1,1,33,False
5,1,1,1,30,False
5,0,1,7,30,False
4,1,1,1,25,False
6,1,1,1,30,False
4,2,1,1,30,False
9,1,1,1,58,False
4,1,1,2,32,False
6,1,1,2,42,False
5,0,2,2,31,False
7,1,1,2,24,False
7,1,2,7,28,False
17,0,1,1,34,False
7,1,1,3,26,False
26,7,1,5,23,False
17,19,2,10,29,False
11,9,1,5,27,False
8,7,2,3,26,False
11,3,2,3,24,False
13,3,1,2,25,False
8,4,1,2,23,False
12,3,1,1,23,False
9,1,1,2,27,False
6,2,1,2,26,False
9,3,1,2,26,False
10,3,2,1,26,False
15,3,1,12,26,False
11,2,1,3,23,False
10,2,1,1,26,False
8,4,1,3,27,False
8,3,1,2,30,False
6,2,1,2,20,False
7,3,1,1,22,False
6,3,1,2,22,False
9,3,0,3,26,False
7,3,1,1,35,False
9,2,1,1,36,False
9,3,1,1,27,False
6,3,1,1,29,False
4,2,1,2,22,False
4,2,1,2,26,False
5,3,1,2,27,False
5,13,1,1,41,False
5,3,2,1,45,False
7,2,1,1,100,False
8,2,0,2,45,False
9,2,1,1,52,False
5,2,1,2,37,False
7,2,2,2,31,False
5,2,1,1,23,False
7,1,0,1,27,False
5,1,1,0,25,False
6,1,1,1,28,False
5,3,1,1,21,False
5,2,0,1,25,False
5,1,1,1,22,False
5,1,1,1,34,False
3,2,1,2,29,False
5,1,1,1,30,False
4,1,1,1,19,False
3,1,1,1,25,False
3,2,1,1,26,False
5,2,1,2,30,False
4,1,1,2,23,False
4,1,1,3,17,False
3,2,1,2,21,False
4,1,1,1,21,False
3,2,1,2,21,False
3,1,0,2,26,False
3,1,1,2,19,False
4,1,1,1,20,False
2,1,1,2,18,False
4,2,1,1,16,False
4,3,0,2,19,False
3,2,1,1,16,False
2,0,1,2,15,False
3,1,1,2,19,False
3,2,1,2,17,False
3,2,1,7,18,False
2,1,0,2,16,False
3,1,0,1,17,False
3,1,1,11,16,False
2,1,1,3,16,False
3,1,0,2,20,False
2,2,0,2,22,False
3,1,0,2,22,False
2,1,0,2,19,False
1,1,2,2,20,False
3,1,2,1,15,False
2,1,1,1,20,False
2,1,1,1,16,False
3,1,0,1,20,False
1,1,1,1,21,False
2,1,1,1,17,False
2,2,0,1,20,False
2,1,1,1,19,False
2,1,1,2,18,False
2,1,1,2,17,False
2,1,1,1,17,False
1,1,1,1,18,False
2,1,1,1,28,False
3,1,1,1,56,False
3,1,0,1,25,False
3,1,1,1,18,False
2,2,0,1,15,False
2,0,1,1,18,False
2,1,1,1,36,False
2,1,1,1,27,False
2,1,1,1,22,False
2,1,1,1,19,True
