Munir Virani,Paolo Cardini,Bobby Ghosh,Ludwick Marishane,Iraola,isPartial
0,0,0,0,47,False
0,0,0,0,26,False
0,0,0,0,19,False
0,0,0,0,30,False
0,0,0,0,22,False
0,0,13,0,26,False
0,0,0,0,36,False
0,0,0,0,38,False
0,0,0,0,31,False
0,0,12,0,40,False
0,0,0,0,32,False
0,0,0,0,33,False
0,0,0,0,26,False
0,0,0,0,24,False
0,0,0,0,28,False
0,0,0,0,45,False
0,8,0,0,20,False
0,0,0,0,31,False
0,0,0,0,29,False
0,0,0,0,19,False
0,0,0,0,30,False
0,0,0,0,26,False
0,0,0,0,35,False
0,0,7,0,19,False
0,0,0,0,14,False
0,0,6,0,31,False
0,0,5,0,38,False
0,6,0,0,27,False
0,0,0,0,37,False
0,0,0,0,34,False
0,0,0,0,37,False
0,0,5,0,26,False
0,0,0,0,26,False
0,0,4,0,24,False
0,0,0,0,17,False
0,0,0,0,32,False
0,0,0,0,30,False
0,0,0,0,39,False
0,0,8,0,34,False
0,0,0,0,20,False
0,3,0,0,17,False
0,0,0,0,25,False
0,0,7,0,28,False
0,0,3,0,27,False
0,0,5,0,35,False
0,0,0,0,24,False
3,3,0,0,23,False
0,0,3,0,31,False
0,2,0,0,24,False
0,0,3,0,26,False
0,0,4,0,31,False
0,0,2,0,29,False
0,0,2,0,34,False
0,0,4,0,29,False
0,2,5,0,20,False
0,0,0,0,33,False
0,2,2,0,37,False
0,2,4,0,36,False
0,0,0,0,35,False
0,0,2,0,38,False
0,0,2,0,37,False
2,2,2,0,37,False
0,0,3,0,26,False
0,0,2,0,29,False
2,2,2,0,29,False
0,0,3,0,36,False
0,2,0,0,25,False
0,0,2,0,28,False
0,2,3,2,38,False
0,0,3,0,36,False
0,0,2,0,37,False
0,0,2,0,31,False
0,1,1,0,43,False
0,1,1,0,29,False
0,1,1,1,25,False
0,1,1,0,28,False
0,1,3,0,27,False
1,1,0,0,31,False
0,0,1,0,29,False
1,1,4,0,29,False
1,1,2,0,37,False
0,1,2,0,31,False
0,1,1,0,46,False
0,0,2,0,36,False
1,0,1,0,30,False
1,0,2,0,37,False
0,0,2,0,48,False
0,1,2,1,30,False
1,1,2,0,41,False
0,1,2,1,38,False
1,1,0,0,28,False
0,1,2,1,51,False
0,0,1,0,33,False
0,0,3,1,30,False
1,0,1,2,30,False
0,1,2,1,25,False
0,0,1,0,30,False
1,0,2,1,30,False
0,0,1,3,58,False
1,0,4,0,32,False
0,1,1,1,42,False
0,1,1,8,31,False
0,0,1,1,24,False
0,1,1,2,28,False
0,1,4,1,34,False
1,0,1,1,26,False
1,1,1,1,23,False
1,4,3,6,29,False
0,1,2,3,27,False
0,1,3,1,26,False
0,1,7,3,24,False
0,1,1,3,25,False
1,1,1,1,23,False
1,1,2,1,23,False
0,0,4,1,27,False
1,1,4,2,26,False
0,1,1,1,26,False
0,1,1,1,26,False
0,0,2,1,26,False
0,1,1,1,23,False
0,0,1,1,26,False
0,0,1,2,27,False
1,1,1,1,30,False
1,1,2,2,20,False
1,1,2,1,22,False
0,1,5,2,22,False
0,0,5,0,26,False
0,0,5,2,35,False
0,1,4,2,36,False
0,1,1,2,27,False
0,1,1,1,29,False
0,1,1,1,22,False
0,1,3,1,26,False
1,1,1,2,27,False
1,1,1,1,41,False
0,1,1,2,45,False
0,1,1,2,100,False
0,1,1,2,45,False
0,1,1,1,52,False
1,1,1,3,37,False
0,1,1,3,31,False
0,1,2,3,23,False
0,0,1,2,27,False
0,1,1,1,25,False
0,1,1,1,28,False
0,1,1,7,21,False
0,0,1,2,25,False
0,1,2,3,22,False
0,0,1,2,34,False
0,1,1,1,29,False
0,1,1,2,30,False
0,1,1,1,19,False
0,1,1,1,25,False
0,1,1,1,26,False
0,1,1,1,30,False
0,0,1,1,23,False
0,0,1,2,17,False
1,1,1,3,21,False
0,1,1,3,21,False
0,1,2,1,21,False
0,2,1,2,26,False
0,0,1,2,19,False
0,1,1,0,20,False
0,0,1,1,18,False
0,1,5,1,16,False
0,0,1,1,19,False
0,1,1,1,16,False
0,0,0,1,15,False
0,0,1,1,19,False
0,0,1,1,17,False
0,1,1,1,18,False
0,1,3,2,16,False
0,0,2,1,17,False
0,0,2,1,16,False
0,0,1,0,16,False
0,0,1,1,20,False
0,1,1,0,22,False
0,1,1,0,22,False
0,0,1,1,19,False
0,0,1,1,20,False
0,1,1,1,15,False
0,1,0,1,20,False
0,1,1,1,16,False
0,0,1,1,20,False
0,0,1,1,21,False
0,0,1,1,17,False
0,0,1,0,20,False
0,0,1,1,19,False
0,1,1,1,18,False
0,0,1,2,17,False
0,0,1,1,17,False
0,0,2,1,18,False
0,0,2,2,28,False
0,1,0,1,56,False
0,0,1,1,25,False
0,1,0,1,18,False
0,1,1,1,15,False
0,0,1,1,18,False
0,1,1,0,36,False
0,0,1,0,27,False
0,1,1,1,22,False
0,0,1,1,19,True
