Jeff Smith,Lemon Andersen,Ellen 't Hoen,Markham Nolan,Iraola,isPartial
36,0,0,0,10,False
44,0,0,0,5,False
46,0,0,0,4,False
44,0,0,0,6,False
40,0,0,0,5,False
49,0,0,0,5,False
100,0,0,0,8,False
56,0,0,0,8,False
41,0,0,0,6,False
37,0,0,0,8,False
38,0,0,0,7,False
47,0,0,0,7,False
57,0,0,0,5,False
52,0,0,0,5,False
45,0,0,2,6,False
38,0,0,0,9,False
34,0,0,2,4,False
33,0,0,0,6,False
48,0,0,0,6,False
44,0,0,2,4,False
36,0,0,0,6,False
35,0,0,1,5,False
39,0,0,1,7,False
39,0,0,0,4,False
40,1,0,0,3,False
31,0,0,0,7,False
38,0,0,0,8,False
39,0,0,0,6,False
32,1,0,0,8,False
33,0,0,0,7,False
36,0,0,0,8,False
43,0,0,0,5,False
32,0,0,0,5,False
31,1,0,0,5,False
32,1,0,1,4,False
35,0,1,0,7,False
34,0,0,0,6,False
46,1,0,0,8,False
35,1,0,0,7,False
35,0,0,0,4,False
31,0,0,0,4,False
30,0,0,0,5,False
30,1,0,0,6,False
31,0,0,0,6,False
33,0,0,0,7,False
29,0,0,1,5,False
29,0,0,0,5,False
31,0,0,0,6,False
34,0,0,0,5,False
33,0,0,0,5,False
33,0,0,0,6,False
30,0,0,1,6,False
25,0,0,0,7,False
29,0,0,0,6,False
25,0,0,0,4,False
29,0,0,0,7,False
32,0,0,0,8,False
36,0,0,0,8,False
41,0,0,0,7,False
33,0,0,0,8,False
32,0,0,0,8,False
34,0,0,0,8,False
27,0,0,0,5,False
27,0,0,0,6,False
27,0,0,0,6,False
25,0,0,0,7,False
29,0,0,0,5,False
35,0,0,0,6,False
25,0,0,0,8,False
27,0,0,0,8,False
31,0,0,0,8,False
28,0,0,0,6,False
28,0,0,0,9,False
29,0,0,0,6,False
26,0,0,0,5,False
28,0,0,0,6,False
29,0,0,0,6,False
28,0,0,0,6,False
27,0,0,0,6,False
28,0,0,0,6,False
27,0,0,0,8,False
25,0,0,0,6,False
30,0,0,0,10,False
28,0,0,0,7,False
29,0,0,0,6,False
27,0,0,0,8,False
28,0,0,0,10,False
27,0,0,0,6,False
25,0,0,0,9,False
25,0,0,0,8,False
25,0,0,0,6,False
26,0,0,0,11,False
24,0,0,0,7,False
25,0,0,0,6,False
22,0,0,0,6,False
23,0,0,0,5,False
27,0,0,0,6,False
22,0,0,0,6,False
22,0,0,0,12,False
22,0,0,0,7,False
26,1,0,0,9,False
21,1,0,0,6,False
25,0,0,0,5,False
24,0,0,0,6,False
26,0,0,0,7,False
22,2,0,0,5,False
22,0,0,0,5,False
24,1,0,0,6,False
24,1,0,0,6,False
25,0,0,0,5,False
21,0,0,0,5,False
24,1,0,0,5,False
29,0,0,0,5,False
23,0,0,0,5,False
24,0,0,0,6,False
24,0,0,0,5,False
23,1,0,0,5,False
22,1,0,0,5,False
22,0,0,0,5,False
21,0,0,0,5,False
26,0,0,0,5,False
22,0,0,0,6,False
21,0,0,0,6,False
21,0,0,0,4,False
23,0,0,0,5,False
20,0,0,0,5,False
22,0,0,0,5,False
21,0,0,0,7,False
23,0,0,0,8,False
21,0,0,0,6,False
21,0,0,0,6,False
23,0,0,1,5,False
25,0,0,0,5,False
24,0,0,0,6,False
21,0,0,0,8,False
21,0,0,0,9,False
22,0,0,0,21,False
19,0,0,0,9,False
21,0,0,0,11,False
19,0,0,0,8,False
21,0,0,0,6,False
21,0,0,0,5,False
20,0,0,0,6,False
23,0,0,0,5,False
27,0,0,0,6,False
21,0,0,0,4,False
19,0,0,0,5,False
22,0,0,0,5,False
19,0,0,0,7,False
28,0,0,0,6,False
23,0,0,0,6,False
19,0,0,0,4,False
19,0,0,0,5,False
21,0,0,0,5,False
19,0,0,0,6,False
19,0,0,0,5,False
23,0,0,0,4,False
20,0,0,0,4,False
20,0,0,0,4,False
30,0,0,0,4,False
21,0,0,0,5,False
20,0,0,0,4,False
20,0,0,0,4,False
20,0,0,0,4,False
18,0,0,0,3,False
20,0,0,0,4,False
20,0,0,0,3,False
22,0,0,0,3,False
21,0,0,0,4,False
21,0,0,0,4,False
20,0,0,0,4,False
18,0,0,0,3,False
23,0,0,0,4,False
20,0,0,0,3,False
20,0,0,0,3,False
18,0,0,0,4,False
18,0,0,0,5,False
19,0,0,0,5,False
21,0,0,0,4,False
19,0,0,0,4,False
19,0,0,0,3,False
19,0,0,0,4,False
19,0,0,0,3,False
19,0,0,0,4,False
18,0,0,0,4,False
18,0,0,0,4,False
20,0,0,0,4,False
19,0,0,0,4,False
19,0,0,0,4,False
22,0,0,0,4,False
17,0,0,0,3,False
17,0,0,0,4,False
24,0,0,0,6,False
29,0,0,0,12,False
18,0,0,0,5,False
25,0,0,0,4,False
22,0,0,0,3,False
24,0,0,0,4,False
23,0,0,0,8,False
24,0,0,0,6,False
20,0,0,0,4,False
22,0,0,0,4,True
